平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,吻奶珊的喵酱,王冰冰#王冰冰#  如果流浪是你的天赋，那么你一定是我最美的追逐。@吃花椒的喵酱 ,2,33,105,https://m.weibo.cn/detail/P3zyOAG66,,2024-12-06 09:33:05
微博,四川观察,【#想去冰雪大世界偶遇冰冰#】12月4日，哈尔滨冰雪大世界面向全国发起招募，凡是名字中含有“冰冰”或“雪雪”（名字必须为叠字，以个人有效身份证作为依据）的游客，均可在第二十六届哈尔滨冰雪大世界开园后（运营期内）凭个人有效身份证免费入园游玩一次。#冬天最好的解压药是看雪#网友：恭喜王冰冰 ...全文,15,29,46,https://m.weibo.cn/detail/P3siEBO84,P3siEBO84,2024-12-05 15:04:04
微博,哎哟哥哥在三年二班,王冰冰 晚上好 壁纸④张 @吃花椒的喵酱 ,1,126,51,https://m.weibo.cn/detail/P3uNBbrrB,,2024-12-05 21:25:47
微博,影剧大叔,王冰冰的颜值真是央视之光，美得能与娱乐圈明星一较高下 ,1,43,62,https://m.weibo.cn/detail/P3zxN0FoY,P3zxN0FoY,2024-12-06 09:30:34
微博,戳爷的火醬,#名字含冰冰或雪雪可免费玩冰雪大世界#@范冰冰 @李冰冰 @王冰冰 带我去 ,0,6,21,https://m.weibo.cn/detail/P3uoCogKr,P3uoCogKr,2024-12-05 20:24:15
微博,龙首原上望长安,王冰冰  大家晚上好 今日份壁纸做好啦 ,6,19,43,https://m.weibo.cn/detail/P3uY5fg17,,2024-12-05 21:51:37
微博,赵璞,#名字含冰冰或雪雪可免费玩冰雪大世界#第一个想到的是王冰冰，暗示这么明显了，央视确定不去采访一下吗？ ,8,28,266,https://m.weibo.cn/detail/P3uPL2XM4,,2024-12-05 21:31:05
微博,霹雳时光机,喜报！范冰冰、李冰冰、王冰冰，获得哈尔滨冰雪大世界免费入园游玩资格一次！ ,1,28,39,https://m.weibo.cn/detail/P3rx7vkqC,P3rx7vkqC,2024-12-05 13:06:56
微博,野间小舞,《今日🐯谈》 ,60,28,232,https://m.weibo.cn/detail/P2zMklS7v,P2zMklS7v,2024-11-29 20:16:05
微博,丝图侦探,王冰冰 ,10,8,120,https://m.weibo.cn/detail/P1U2hn4A7,P1U2hn4A7,2024-11-25 10:00:01
微博,晏凌羊,王冰冰和李子柒一起参加活动，一个最高赞的评论是：她俩都在等待自己的如意郎君。 ,22,81,1733,https://m.weibo.cn/detail/P1B1bEZaJ,,2024-11-23 09:35:09
微博,吻奶珊的喵酱,王冰冰#王冰冰#  亲爱的王冰冰小姐: 今天我在长白山山顶为你飘落了雪， 此刻我正在喜欢着你， 喜欢到全世界树林倒下那么喜欢。@吃花椒的喵酱 ,0,3,38,https://m.weibo.cn/detail/P3CQUr1uk,,2024-12-06 17:55:55
微博,挪威森林猫---,还是不能嗑异性恋cp，曾经嗑过的王冰冰徐嘉余，周密周芯竹，都挺烂的 ,0,0,0,https://m.weibo.cn/detail/P3D5shASj,,2024-12-06 18:31:45
微博,综艺追踪,#起猛了# 看到撒贝宁和王冰冰玩赛车烙铁，说真的，你们俩真是酷到没朋友了！ 综艺追踪的微博视频 ,0,0,0,https://m.weibo.cn/detail/P3BJ2sSld,,2024-12-06 15:03:47
微博,自信的超越极限cyjx,王冰冰，漂亮的小姐姐王冰冰 ,0,1,0,https://m.weibo.cn/detail/P3BaUbgTe,,2024-12-06 13:39:41
微博,兜兜娱乐屋,巴黎的天热热的，可我的心是冰冰的#王冰冰#巴黎街头偶遇王冰冰 #霸王茶姬 #CHAGEETOGETHER#微博VC计划#  兜兜娱乐屋的微博视频 ,0,1,0,https://m.weibo.cn/detail/P3AVEu1c4,,2024-12-06 13:02:07
微博,一只冰冰棒ocr,王冰冰 ,0,2,4,https://m.weibo.cn/detail/P3AqyzTYT,,2024-12-06 11:45:30
微博,蓝媒视频官方微博,【微互动丨你去过冰雪大世界吗？】#王冰冰说最大奖项来自冰雪大世界#，#王冰冰可免费游冰雪大世界#，#冰雪大世界摇人免费游#，你去过冰雪大世界吗？  网页链接 ,0,0,0,https://m.weibo.cn/detail/P3zVYeDG4,,2024-12-06 10:30:09
微博,青少年科技创新报,【李冰冰、王冰冰，尔滨有请】12月4日，哈尔滨冰雪大世界发文宣布，即日起，景区面向全国发起招募，凡是名字中含有“冰冰”或“雪雪”（名字必须为叠字，以个人有效身份证作为依据）的游客，均可在第二十六届哈尔滨冰雪大世界开园后（运营期内）凭个人有效身份证免费入园游玩一次，报名时间截止于12月8 ...全文,1,0,0,https://m.weibo.cn/detail/P3zSsxmPz,,2024-12-06 10:21:29
微博,吃花蜜的喵酱,王冰冰冰冰小红📖更新 想给秋日续个费 选自最高清 图片源 ,18,89,328,https://m.weibo.cn/detail/P3uCNbXLL,,2024-12-05 20:59:10
微博,中国蓝新闻,王冰冰  【#王冰冰说最大奖项来自冰雪大世界#】日前，哈尔滨冰雪大世界面向全国发起招募，凡是名字中含有“冰冰”或“雪雪”（名字必须为叠字，以个人有效身份证作为依据）的游客，可免费入园游玩一次。@吃花椒的喵酱 转发相关博文，并配文“是我有生以来遇到的最大奖项了”。 ...全文,37,40,78,https://m.weibo.cn/detail/P3zH46Io0,,2024-12-06 09:53:25
微博,冷酷的年糕杀手b版,xhs那篇笔记有2000多个赞了 甚至还有上万粉丝的摄影师点赞收藏的 这不得不又让我怀疑我写了个啥…哈哈哈 印象深的是刚开始有大量人点赞的时候 一个央视体育频道的主持人点赞收藏了 看她主页刚买xt50 她的主页有王冰冰和奥运冠军！！！（尖叫 激动） 蛮神奇的 大数据的力量 ,0,0,1,https://m.weibo.cn/detail/P3zB7qMcK,,2024-12-06 09:38:47
微博,影剧大叔,王冰冰的颜值真是央视之光，美得能与娱乐圈明星一较高下 ,1,43,62,https://m.weibo.cn/detail/P3zxN0FoY,,2024-12-06 09:30:34
微博,龙首原上望长安,王冰冰  大家晚上好 今日份壁纸做好啦 ,6,19,43,https://m.weibo.cn/detail/P3uY5fg17,,2024-12-05 21:51:37
微博,逃亡企划日报社,都到了四川，两位美女何时能来贵地游玩呢！李子柒王冰冰现身绵阳 #想接四川文旅事业运# 逃亡企划日报社的微博视频 ,0,0,0,https://m.weibo.cn/detail/P3zn8bQsD,,2024-12-06 09:04:19
