微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
2827386331.0,,科技新一,2024-07-03 18:34:03,帮朋友问，山东的，今年高考成绩不错，在吉林大学、山东大学、四川大学三所学校之间纠结，综合比较，以及未来的发展，你们觉得去哪所学校比较好？ ,31.0,478.0,1253.0,中国,山东,,商务微信:newone9988 团队招拍摄、剪辑，加微信webthinker,2173.0,624.1万,m,https://m.weibo.cn/u/2827386331?,https://m.weibo.cn/detail/OlRTfrfM7,OlRTfrfM7
1784473157.0,,中国新闻网,2024-12-02 17:08:31,【#山东大学数学学院教授武术家燕子杰逝世#】据齐鲁晚报消息，山东大学数学学院12月1日发布讣告，山东大学数学学院教授，著名学者武术家燕子杰先生12月1日在济南逝世，享年88岁。 2014年，山东大学官网曾刊文《燕子杰：教数学的梅花桩大师》。文章援引他弟子的说法称：“师父当年在北京大学物理系学习 ...全文,40.0,56.0,384.0,中国,北京,北京,北京中新网信息科技有限公司,1309.0,8129.3万,m,https://m.weibo.cn/u/1784473157?,https://m.weibo.cn/detail/P30PGpE6U,P30PGpE6U
7725603154.0,,济阳融媒,2024-11-11 17:17:47,【#山大趵突泉校区斑斓落叶点缀初冬#】11月11日，网友向#晚报菌情报站#发来情报，山东大学趵突泉校区初冬时节展现出无与伦比的校园美景，花园里银杏、枫树、白蜡等各种树木层林尽染，斑斓的色彩层次丰富。银杏落叶如同金色的地毯，安静的校园中古老的建筑和油画色调的景致相映衬，让人感觉仿佛在画中一 ...全文,27.0,29.0,29.0,中国,山东,济南,服务基层、服务群众、服务大局。,153.0,2867,m,https://m.weibo.cn/u/7725603154?,https://m.weibo.cn/detail/OFMnleFHx,OFMnleFHx
5948790343.0,,啬挞,2024-11-20 18:49:18,#易烊千玺 喜欢和小猫交朋友的大朋友#  宝宝为什么会有山东大学的月饼 @TFBOYS-易烊千玺 ,7.0,12.0,78.0,中国,广西,柳州,,259.0,1.1万,f,https://m.weibo.cn/u/5948790343?,https://m.weibo.cn/detail/P1cmDsrUC,P1cmDsrUC
1841306841.0,,隐于庭的小法师,2024-10-28 18:25:25,和一个今天新认识的毕业院校写的山东大学但实际是中国海洋毕业的朋友聊天……  聊到五院四系。 很显然，随着部分院校的进一步掉队，当一个法学生告诉你他是四系的，那70%的概率是我的校友，30%的概率是珞珈山综合职业技术学院的，人家剩下两系可不在乎啥四系。 ...全文,4.0,28.0,83.0,中国,湖北,宜昌,前法官，现律师，不变的是永远18岁的人设和永远浪在路上的心。搓火球免费，法律咨询不免费。未来的日子，将持续卖萌与吐槽。不信？看我搓个火球砸你…,379.0,305.8万,m,https://m.weibo.cn/u/1841306841?,https://m.weibo.cn/detail/ODEPQ6iU4,ODEPQ6iU4
3022732373.0,,徐顺达,2024-09-20 18:33:22,我们都想不通为什么他们寒窗苦读十余年，毕业之后当宿管？ 去年山东大学也出过类似新闻，是一回事麽？  先说说山东大学去年聘用2位名校硕士当公寓的事，被录用的两人，一位是哈尔滨工业大学建筑学硕士，一位是澳大利亚阿德莱德大学葡萄酒商务专业硕士。谁看了都会觉得“大材小用”、“杀鸡焉用牛刀”！ ...全文,17.0,65.0,268.0,中国,天津,天津,中国技术创业协会校企专委负责人,1197.0,225.2万,m,https://m.weibo.cn/u/3022732373?,https://m.weibo.cn/detail/OxSEcjjLz,OxSEcjjLz
1647210043.0,,百姓关注,2024-10-24 13:11:36,【#山东一高校曝男生多次偷拍女厕被抓# 学校：正在处理此事】#山东多名大学生发帖怒斥偷拍男# 10月22日，山东大学多名学生发帖谴责一男生在理综楼女厕所多次偷拍女生的行迹。有学生表示，一女生拍到偷拍男的正脸后发贴怒斥，但没多久帖子就被学校删除了。还有截图显示，疑似该男生承认多次偷拍，并求饶 ...全文,207.0,319.0,3592.0,中国,贵州,贵阳,热线爆料三种方法：①拨打热线13984842424或0851-85377666；②下载《百姓关注》手机客户端爆料；③《百姓关注》微信号菜单进入爆料,564.0,383.4万,m,https://m.weibo.cn/u/1647210043?,https://m.weibo.cn/detail/OD14twVIv,OD14twVIv
1347322121.0,,史凝眸,2024-09-08 16:21:10,只改一个字！！让山东大学上档次 ,28.0,508.0,778.0,中国,福建,三明,做生活的勇者，我们同行！❤️,201.0,79.1万,m,https://m.weibo.cn/u/1347322121?,https://m.weibo.cn/detail/Ow2EA5h2C,Ow2EA5h2C
1730784747.0,,牛华勇,2024-11-11 23:22:05,三天内，两位敬爱的师长走了。一位是我校英语学院的张耘教授，一位是山东大学的黄少安教授。到这个年龄虽然应该学习得看开一些。但两位师长，都是极其令人尊重的，无论是学问还是做人，都是我辈楷模！两位前辈千古！ ,1.0,13.0,49.0,中国,北京,北京,物澤芳華，學以啟世；和光同塵，為而不爭。,4658.0,16.5万,m,https://m.weibo.cn/u/1730784747?,https://m.weibo.cn/detail/OFOLd9M1a,OFOLd9M1a
5375248381.0,,刘昊霖Andy,2024-10-24 19:51:25,#山东大学男生多次偷拍女厕后求饶# #山大回应网传男子教学楼女厕偷拍# 建议校园取消高考，研考、公考、教资考资格，学信档案上一定要留下这样记录，将来求职也寸步难行！！ ,12.0,20.0,200.0,中国,北京,北京,刘家有儿，人称昊霖。,6.0,40.2万,m,https://m.weibo.cn/u/5375248381?,https://m.weibo.cn/detail/OD3GLjVh9,OD3GLjVh9
