微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
1799906660,P3zyOAG66,吻奶珊的喵酱,2024-12-06 09:33:05,王冰冰#王冰冰#  如果流浪是你的天赋，那么你一定是我最美的追逐。@吃花椒的喵酱 ,2,33,105,中国,浙江,温州,随心所欲,487,1.6万,f,https://m.weibo.cn/u/1799906660?,https://m.weibo.cn/detail/P3zyOAG66,
3203137375,,四川观察,2024-12-05 15:04:04,【#想去冰雪大世界偶遇冰冰#】12月4日，哈尔滨冰雪大世界面向全国发起招募，凡是名字中含有“冰冰”或“雪雪”（名字必须为叠字，以个人有效身份证作为依据）的游客，均可在第二十六届哈尔滨冰雪大世界开园后（运营期内）凭个人有效身份证免费入园游玩一次。#冬天最好的解压药是看雪#网友：恭喜王冰冰 ...全文,15,29,46,中国,四川,成都,合作邮箱：sichuanguanchayy@qq.com,930,1460.4万,f,https://m.weibo.cn/u/3203137375?,https://m.weibo.cn/detail/P3siEBO84,P3siEBO84
6296575654,P3uNBbrrB,哎哟哥哥在三年二班,2024-12-05 21:25:47,王冰冰 晚上好 壁纸④张 @吃花椒的喵酱 ,1,126,51,中国,浙江,温州,行到水穷处，坐看云起时,131,2152,m,https://m.weibo.cn/u/6296575654?,https://m.weibo.cn/detail/P3uNBbrrB,
5755011426,,影剧大叔,2024-12-06 09:30:34,王冰冰的颜值真是央视之光，美得能与娱乐圈明星一较高下 ,1,43,62,中国,湖北,黄冈,知名电影博主，商务jinengsusu,155,27.7万,m,https://m.weibo.cn/u/5755011426?,https://m.weibo.cn/detail/P3zxN0FoY,P3zxN0FoY
5519199499,,戳爷的火醬,2024-12-05 20:24:15,#名字含冰冰或雪雪可免费玩冰雪大世界#@范冰冰 @李冰冰 @王冰冰 带我去 ,0,6,21,中国,江苏,南京,how you don't miss me?,1348,1.4万,m,https://m.weibo.cn/u/5519199499?,https://m.weibo.cn/detail/P3uoCogKr,P3uoCogKr
6341534190,P3uY5fg17,龙首原上望长安,2024-12-05 21:51:37,王冰冰  大家晚上好 今日份壁纸做好啦 ,6,19,43,中国,陕西,西安,别取关，换了个昵称而已，会继续发冰冰截修,479,449,m,https://m.weibo.cn/u/6341534190?,https://m.weibo.cn/detail/P3uY5fg17,
1130556244,P3uPL2XM4,赵璞,2024-12-05 21:31:05,#名字含冰冰或雪雪可免费玩冰雪大世界#第一个想到的是王冰冰，暗示这么明显了，央视确定不去采访一下吗？ ,8,28,266,中国,北京,北京,车评人🚗 |主持人🎤|马拉松、越野跑跑者🏃‍♂️| 鞋狗👟,842,151.7万,m,https://m.weibo.cn/u/1130556244?,https://m.weibo.cn/detail/P3uPL2XM4,
6505463575,,霹雳时光机,2024-12-05 13:06:56,喜报！范冰冰、李冰冰、王冰冰，获得哈尔滨冰雪大世界免费入园游玩资格一次！ ,1,28,39,中国,北京,北京,您的电子榨菜和八卦秘书  📮chichimubin@qq.com  讨厌我又要看我的人一辈子都发不了财呢～,543,35.5万,f,https://m.weibo.cn/u/6505463575?,https://m.weibo.cn/detail/P3rx7vkqC,P3rx7vkqC
6614073323,,野间小舞,2024-11-29 20:16:05,《今日🐯谈》 ,60,28,232,中国,黑龙江,黑河,试图掳走小仓鼠,563,3520,f,https://m.weibo.cn/u/6614073323?,https://m.weibo.cn/detail/P2zMklS7v,P2zMklS7v
7621564678,,丝图侦探,2024-11-25 10:00:01,王冰冰 ,10,8,120,中国,湖南,株洲,分享美图和视频，以及二创视频剪辑，如有侵权请告知,1016,7.1万,m,https://m.weibo.cn/u/7621564678?,https://m.weibo.cn/detail/P1U2hn4A7,P1U2hn4A7
1476817753,P1B1bEZaJ,晏凌羊,2024-11-23 09:35:09,王冰冰和李子柒一起参加活动，一个最高赞的评论是：她俩都在等待自己的如意郎君。 ,22,81,1733,中国,广东,广州,无婚无业、靠骂前夫起家、沦落到靠卖三无产品和吹嘘自己是20年前不值钱的市高考状元混日。空想家，废话师，伪善家，一个又丑又穷、没男人要的怨妇。,634,79万,f,https://m.weibo.cn/u/1476817753?,https://m.weibo.cn/detail/P1B1bEZaJ,
1799906660,P3CQUr1uk,吻奶珊的喵酱,2024-12-06 17:55:55,王冰冰#王冰冰#  亲爱的王冰冰小姐: 今天我在长白山山顶为你飘落了雪， 此刻我正在喜欢着你， 喜欢到全世界树林倒下那么喜欢。@吃花椒的喵酱 ,0,3,38,中国,浙江,温州,随心所欲,487,1.6万,f,https://m.weibo.cn/u/1799906660?,https://m.weibo.cn/detail/P3CQUr1uk,
6358376844,P3D5shASj,挪威森林猫---,2024-12-06 18:31:45,还是不能嗑异性恋cp，曾经嗑过的王冰冰徐嘉余，周密周芯竹，都挺烂的 ,0,0,0,中国,辽宁,N/A,,233,104,f,https://m.weibo.cn/u/6358376844?,https://m.weibo.cn/detail/P3D5shASj,
7321661076,P3BJ2sSld,综艺追踪,2024-12-06 15:03:47,#起猛了# 看到撒贝宁和王冰冰玩赛车烙铁，说真的，你们俩真是酷到没朋友了！ 综艺追踪的微博视频 ,0,0,0,中国,北京,北京,,45,35.3万,f,https://m.weibo.cn/u/7321661076?,https://m.weibo.cn/detail/P3BJ2sSld,
7504701186,P3BaUbgTe,自信的超越极限cyjx,2024-12-06 13:39:41,王冰冰，漂亮的小姐姐王冰冰 ,0,1,0,中国,北京,北京,我好中意你啊！,2,195,m,https://m.weibo.cn/u/7504701186?,https://m.weibo.cn/detail/P3BaUbgTe,
7557626714,P3AVEu1c4,兜兜娱乐屋,2024-12-06 13:02:07,巴黎的天热热的，可我的心是冰冰的#王冰冰#巴黎街头偶遇王冰冰 #霸王茶姬 #CHAGEETOGETHER#微博VC计划#  兜兜娱乐屋的微博视频 ,0,1,0,中国,浙江,杭州,,204,7.6万,m,https://m.weibo.cn/u/7557626714?,https://m.weibo.cn/detail/P3AVEu1c4,
