id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip
5009425637048357,O3XcDtzBb,5944229833,吃鸡爪的喵酱,王冰冰超话我们闻风而来，向花而去，与春天撞了个满怀。晚安冰冰晚安各位小伙伴,,,,,1,30,34,2024-03-07 23:00,王冰冰超话,['https://wx2.sinaimg.cn/large/006uhnIJgy1hnitoi94m2j32803y8npd.jpg'],,,福建
5009411599504440,O3WPZDSxq,7491881878,吃花椒的喵酱宝,王冰冰超话明天女神节你想怎么过,,,,,1,14,17,2024-03-07 22:04,王冰冰超话,"['https://wx4.sinaimg.cn/large/008b1aIuly1hnis32uy49j30zk0k0q65.jpg', 'https://wx1.sinaimg.cn/large/008b1aIuly1hnis33pwg1j30zk0k0acq.jpg', 'https://wx2.sinaimg.cn/large/008b1aIuly1hnis34p25tj30zk0k0n0h.jpg', 'https://wx1.sinaimg.cn/large/008b1aIuly1hnis35ookqj30zk0k0q55.jpg']",,,陕西
5009411447194649,O3WPKubEJ,6854681250,双翼千里马,王冰冰超话美女可好,,,,,0,13,3,2024-03-07 22:03,王冰冰超话,,,,河北
5009411202352959,O3WPm9S6X,6854681250,双翼千里马,王冰冰超话看看你大哥所作:酒窝荡漾似清泉，应该《粉面香腮带笑靥》注:酒窝在脸上。荡漾在水面。清泉的泉眼能有多大。三个话题不再一个层面上，那点墨汁还想作词。问问你的大哥,,,,,0,2,3,2024-03-07 22:02,王冰冰超话,,,,河北
5009406295018674,O3WHrl3Am,7384892383,二月春风似剪刀er,王冰冰超话有没有人关注到梁燕事件啊，太让人心痛了！北京中医药大学硕士生梁燕无端遭受北京教工委恐吓威胁，一个善良好学的学生无奈割伤手掌手臂，母亲报案却离奇失联，梁燕和她的男友也先后失联，舅舅为其发声，却被不明身份的人士带走，至今下落不明，可网上的帖子超话屡屡被删，事发一月有余，至今没有任何相关部门站出来说明事实真相，心寒啊！希望更多人可以关注她，支持她，我们一起等梁燕回家！寻亲舅舅下落不明超话详情可见链接：O春燕何时归O网页链接,,,,,0,2,8,2024-03-07 21:43,王冰冰超话,,,,湖北
5009403490863994,O3WCV3CLo,7765643959,反内卷六组组长,王冰冰超话前面忘了，中间忘了，后面忘了，左边忘了，右边忘了，上面忘了，下面忘了，你忘了，我忘了，他忘了，时间忘了，季节忘了，年龄忘了。笑容忘了，泪水忘了，疼痛忘了，欢乐忘了，梦想忘了，希望忘了，恐惧忘了，勇气忘了。书籍忘了，音乐忘了，电影忘了，旅行忘了，冒险忘了，挑战忘了，成功忘了，失败忘了。友情忘了，爱情忘了，亲情忘了，陌生人的善意忘了，自己的善良忘了，别人的恶意忘了，自己的宽容忘了。山川忘了，大海忘了，城市忘了，乡村忘了，星空忘了，日出忘了，晚霞忘了，雨雪忘了。笔尖忘了，画布忘了，镜头忘了，舞台忘了，掌声忘了，批评忘了，荣耀忘了，耻辱忘了。总之忘了,,,,,0,10,24,2024-03-07 21:32,王冰冰超话,"['https://wx3.sinaimg.cn/large/008txQJVly1hnir5m2zikj31jk0v9aj4.jpg', 'https://wx2.sinaimg.cn/large/008txQJVly1hnir5mcwloj31jk0v90zv.jpg', 'https://wx4.sinaimg.cn/large/008txQJVly1hnir5mlr74j31jk0v9wlv.jpg', 'https://wx2.sinaimg.cn/large/008txQJVly1hnir5mu4bcj30zk0mmdha.jpg']",,,黑龙江
5009395687883088,O3Wqkx4KA,6854681250,双翼千里马,王冰冰超话怎么了,,,,,0,5,0,2024-03-07 21:01,王冰冰超话,,,,河北
5009393433707764,O3WmHfyyE,3211959447,琅琊郡云蒙居士,王冰冰超话我成为王冰冰超话超FUN啦发帖纪念一下~,,,,,0,0,4,2024-03-07 20:52,王冰冰超话,['https://wx4.sinaimg.cn/large/bf729c97ly1hnipzy6xy9j20u01r2gpk.jpg'],,,山东
5009386567631316,O3WbCw1fK,7756518066,冰糖葫芦妹咬下来,王冰冰超话氵,,,,,0,5,1,2024-03-07 20:24,王冰冰超话,['https://wx2.sinaimg.cn/large/008sVyG6gy1hnip7mttunj30vf0vfq9f.jpg'],,,广东
5009385986460724,O3WaGr6Je,7762255128,cblgffshyh,开着拖拉机吹着风，喂着小牛挤着奶，“冰敦敦”的北纬47°溯源之旅也太惬意了吧#王冰冰蒋敦豪冰敦敦组合飞鹤奶粉#中国宝宝黄金奶源#源头找答案#微博VC计划#Lcblgffshyh的微博视频,,,,"王冰冰蒋敦豪冰敦敦组合 飞鹤奶粉  ,源头找答案",0,1,0,2024-03-07 20:22,微博视频号,,"http://f.video.weibocdn.com/u0/JzOhT6EZgx08d6tX83gI01041200vuRd0E010.mp4?label=mp4_720p&template=1080x1920.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1714197252&ssig=a7YkWRJXxf&KID=unistore,video",,浙江
