用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url_2,id,url
六六娱乐,1221458,2024/10/22 19:13,小孩哥你是真有本事啊 #小学生 #万万没想到 #小孩哥 #娱乐评论大赏,0分:30秒,18217,771,6613,224,126191,7.43E+18,,https://www.douyin.com/discover?modal_id=7428524599048015145,7428524599048015145,https://www.douyin.com/video/7428524599048015145
鱼子,222,2024/10/23 11:29,小孩哥：0帧起手怎么挡？#小孩哥 #丈母娘,0分:13秒,80695,1429,7031,0,91877,7.43E+18,,https://www.douyin.com/discover?modal_id=7428808035771960586,7428808035771960586,https://www.douyin.com/video/7428808035771960586
大热,2334618,2024/10/22 19:22,先天医学圣体#小孩哥 #离谱 #天才 #一起看,0分:22秒,197550,4801,9096,111,77848,7.43E+18,,https://www.douyin.com/discover?modal_id=7428558923344448818,7428558923344448818,https://www.douyin.com/video/7428558923344448818
@温馨,204,2024/10/21 12:43,我每天都看小孩哥的视频，有时候在抖音上看到有人诋毁小孩哥，我就伤心痛苦，是怎样的畜生舍得诋毁小孩哥，我的眼泪流成河,0分:0秒,2005,47,159,0,11,7.43E+18,,https://www.douyin.com/discover?modal_id=7428084765351333180,7428084765351333180,https://www.douyin.com/video/7428084765351333180
@Ze,439,2024/10/21 15:51,#看一遍笑一遍 #小孩哥 #你已经看了好几遍了,0分:12秒,79122,3271,6761,0,160353,7.43E+18,,https://www.douyin.com/discover?modal_id=7428133395076582714,7428133395076582714,https://www.douyin.com/video/7428133395076582714
念秋小孩哥,1091,2024/10/23 19:36,2024.03.08（中下）秋风直播分享22分钟【高清版必须高清版】#秋风 #直播录屏分享 @秋风,22分:31秒,429,128,23,0,12,7.43E+18,,https://www.douyin.com/discover?modal_id=7428933453426494720,7428933453426494720,https://www.douyin.com/video/7428933453426494720
千里江山,221,2024/10/22 16:24,男孩坐在客厅看电视，不料桌上的佤族水酒突然炸盖而出，小孩哥：要是没有监控 我是不是…… #小孩哥  #真相大白,0分:11秒,45788,1200,8588,132,161754,7.43E+18,,https://www.douyin.com/discover?modal_id=7428512933367369019,7428512933367369019,https://www.douyin.com/video/7428512933367369019
压岁钱养猫的小孩哥,13105,2024/10/20 20:04,这种事情简直太有意义了！小孩哥！算你厉害！#流浪猫 #流浪猫救助 #领养代替购买,0分:47秒,189936,4128,11364,98,39483,7.43E+18,,https://www.douyin.com/discover?modal_id=7427827572039372089,7427827572039372089,https://www.douyin.com/video/7427827572039372089
小孩哥爱学习,997,2024/10/24 6:45,#你们的孩子也是这样吗???????? #记录孩子的点点滴滴 #一路见证萌娃长大视频 #看看这小孩在干嘛,2分:7秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429105692096711995,7429105692096711995,https://www.douyin.com/video/7429105692096711995
小孩哥,0,2024/10/24 0:52,,0分:10秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429014959029226752,7429014959029226752,https://www.douyin.com/video/7429014959029226752
搞笑视频小孩哥,6,2024/10/23 21:29,笑死，我就是赌王！ #liarsbar,6分:31秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428962648793828644,7428962648793828644,https://www.douyin.com/video/7428962648793828644
小孩哥！,0,2024/10/23 20:46,,0分:10秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428951434013527334,7428951434013527334,https://www.douyin.com/video/7428951434013527334
娱乐吃瓜酱,3874694,2024/10/22 18:49,小孩哥的童年完整了*#小孩哥 #灵异事件 #万万没想到 #挨打的理由 @抖音小助手 cr：@寂寞才说爱,0分:25秒,2460,110,61,0,1957,7.43E+18,,https://www.douyin.com/discover?modal_id=7428549272762649910,7428549272762649910,https://www.douyin.com/video/7428549272762649910
看??笑??话??,927,2024/10/21 19:41,小孩哥上央视新闻了#小孩哥 #小孩哥小孩姐名场面,0分:59秒,258,21,51,7,250,7.43E+18,,https://www.douyin.com/discover?modal_id=7428192672935890211,7428192672935890211,https://www.douyin.com/video/7428192672935890211
小孩哥—小苹果,54,2024/10/23 23:30,今天小孩哥今天的耐心长一些#让阅读成为一种习惯 #一年级,3分:43秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428993801751924004,7428993801751924004,https://www.douyin.com/video/7428993801751924004
扒圈圈,1752319,2024/10/23 23:41,小孩哥好牛啊！,0分:28秒,180,5,4,0,32,7.43E+18,,https://www.douyin.com/discover?modal_id=7428996553404140863,7428996553404140863,https://www.douyin.com/video/7428996553404140863
大聪明菌,2197,2024/10/23 7:49,厉害的小孩儿哥，梦想还是要有的。#小孩哥 #内容过于真实 #梦想还是要有的,0分:0秒,12,3,1,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428751273601649930,7428751273601649930,https://www.douyin.com/video/7428751273601649930
搞笑视频小孩哥,6,2024/10/23 21:27,不装了，摊牌了，鬼也只是我的手段而已！#liarsbar,6分:5秒,2,0,0,0,1,7.43E+18,,https://www.douyin.com/discover?modal_id=7428962083003206966,7428962083003206966,https://www.douyin.com/video/7428962083003206966
听泉赏宝(鉴仁泉),30,2024/10/23 17:52,顶级小孩哥#直播录屏分享 #直播回放,18分:50秒,53,4,2,0,35,7.43E+18,,https://www.douyin.com/discover?modal_id=7428906719352212794,7428906719352212794,https://www.douyin.com/video/7428906719352212794
小孩哥沐沐,9,2024/10/23 13:50,#人类幼崽 #萌娃日常 #唐诗,5分:52秒,9,1,2,0,7,7.43E+18,,https://www.douyin.com/discover?modal_id=7428844331093593378,7428844331093593378,https://www.douyin.com/video/7428844331093593378
千里江山,221,2024/10/22 16:24,男孩坐在客厅看电视，不料桌上的佤族水酒突然炸盖而出，小孩哥：要是没有监控 我是不是…… #小孩哥  #真相大白,0分:11秒,45804,1199,8589,132,161857,7.43E+18,,https://www.douyin.com/discover?modal_id=7428512933367369019,7428512933367369019,https://www.douyin.com/video/7428512933367369019
小孩哥—小苹果,54,2024/10/23 11:00,哥哥也整崩溃了教不下去了，哈哈#一年级拼音,0分:33秒,1,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428800532711525644,7428800532711525644,https://www.douyin.com/video/7428800532711525644
小孩哥.???♀?,528,2024/10/23 10:31,你的外套又有新的共享者了,0分:0秒,114,1,16,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428793069090213178,7428793069090213178,https://www.douyin.com/video/7428793069090213178
压岁钱养猫的小孩哥,13105,2024/10/20 20:04,这种事情简直太有意义了！小孩哥！算你厉害！#流浪猫 #流浪猫救助 #领养代替购买,0分:47秒,189959,4128,11366,98,39485,7.43E+18,,https://www.douyin.com/discover?modal_id=7427827572039372089,7427827572039372089,https://www.douyin.com/video/7427827572039372089
笨蛋小孩哥,31,2024/10/23 16:46,#奶龙 可爱捏#别划走,0分:3秒,2,0,1,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428889579580689704,7428889579580689704,https://www.douyin.com/video/7428889579580689704
小孩哥,48,2024/10/23 18:22,早早收摊啦?? #摆摊日记 #努力就会有收获,2分:29秒,2,2,2,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428914471772441894,7428914471772441894,https://www.douyin.com/video/7428914471772441894
小孩哥爱学习,997,2024/10/24 6:45,#你们的孩子也是这样吗???????? #记录孩子的点点滴滴 #一路见证萌娃长大视频 #看看这小孩在干嘛,2分:7秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7429105692096711995,7429105692096711995,https://www.douyin.com/video/7429105692096711995
小孩哥??,34,2024/10/23 22:17,看看孩子说啥#孩子年龄小但他什么都懂,0分:26秒,1,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428975015413976346,7428975015413976346,https://www.douyin.com/video/7428975015413976346
小孩哥,0,2024/10/23 22:28,我的发！！！,0分:3秒,0,0,0,0,0,7.43E+18,,https://www.douyin.com/discover?modal_id=7428977872745811259,7428977872745811259,https://www.douyin.com/video/7428977872745811259
