用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
大蓝,2901,2024-10-23 12:26:17,#公交车 #公交车上趣事多 #小孩哥 #布加迪 #小米su7,0分:40秒,3467,146,3749,25,11469,7428822657128205579,,https://www.douyin.com/discover?modal_id=7428822657128205579
看👀笑😂话🌺,927,2024-10-21 19:41:29,小孩哥上央视新闻了#小孩哥 #小孩哥小孩姐名场面,0分:59秒,261,21,51,7,250,7428192672935890211,,https://www.douyin.com/discover?modal_id=7428192672935890211
苏州KSG王者荣耀分部,129947,2024-10-23 22:04:39,流浪-巅峰第一也是（一年级） #苏州KSG #电竞 #小猿口算,0分:25秒,1089,10,41,0,46,7428970719494606121,KSG电子竞技俱乐部官方账号,https://www.douyin.com/discover?modal_id=7428970719494606121
爱临沂,479919,2024-10-22 10:12:16,临沂中学生手搓火箭 惊呆网友#临沂 #小孩哥 @小恒ovo,0分:12秒,336,17,15,0,176,7428415946190097699,临沂市广播电视台——爱临沂网,https://www.douyin.com/discover?modal_id=7428415946190097699
我的偶像巨顽皮,8335321,2024-10-23 17:50:11,教得好解救的是人民，教不好解剖的是人民,0分:29秒,264255,10021,7419,283,129556,7428905475783003407,娱乐视频自媒体,https://www.douyin.com/discover?modal_id=7428905475783003407
广西都市频道,180111,2024-10-23 11:08:19,近日，广西南宁。小孩哥手拿辣条，就这样头也不回，一路“披荆斩棘”。#广西南宁 #小孩哥,0分:9秒,42,4,5,0,57,7428801427486657792,广西广播电视台都市频道官方抖音账号,https://www.douyin.com/discover?modal_id=7428801427486657792
包头新闻网,589125,2024-10-24 08:27:00,小孩哥骑车楼梯极限下降迷倒万千路人 #小孩哥 #帅气出场 #极限挑战 #迷人,0分:14秒,47,6,2,0,5,7428926713628839194,包头新闻网官方账号,https://www.douyin.com/discover?modal_id=7428926713628839194
光影中国,5047779,2024-10-23 20:01:33,小孩哥的心也跟着碎了（来源：@新华社快看 ）03,0分:7秒,394,40,9,0,15,7428939979918806324,光影中国网官方抖音号,https://www.douyin.com/discover?modal_id=7428939979918806324
新华社快看,8311922,2024-10-22 10:00:05,逻辑很清晰的小孩哥，凭实力站上的C位，妈妈：其实我憋笑憋得很辛苦,0分:48秒,2702,227,59,20,635,7428413864879967528,新华社快看官方账号,https://www.douyin.com/discover?modal_id=7428413864879967528
热度新闻,2838519,2024-10-22 16:57:47,小孩哥餐厅吃饭听到生日歌， 给隔壁爷爷送上祝福后得到蛋糕 ，小孩：凭本事吃蛋糕,0分:18秒,3915,147,71,4,75,7428521499063110950,江西旅游广播热度新闻栏目,https://www.douyin.com/discover?modal_id=7428521499063110950
扒圈圈,1752312,2024-10-23 23:41:32,小孩哥好牛啊！,0分:28秒,181,5,4,0,33,7428996553404140863,,https://www.douyin.com/discover?modal_id=7428996553404140863
新华社,68908162,2024-10-21 15:08:48,“小孩哥”不慎摔下步道，第一个电话没打给妈妈，却抽泣着打给了119（记者：周磊）,0分:36秒,53164,1084,762,60,882,7428121872094481698,新华通讯社官方账号,https://www.douyin.com/discover?modal_id=7428121872094481698
六六🌱,1930,2024-10-23 18:58:38,阿静昨晚的6公里🫶 小孩哥和小孩姐昨晚pk，输了跑步，但是今天小孩哥会不会被小孩姐家董事长🫣🫣🤭#孙恩盛 #安静公主,5分:26秒,149,10,7,0,3,7428923764131237177,,https://www.douyin.com/discover?modal_id=7428923764131237177
Freedom,2804,2024-10-21 13:59:33,来自小孩哥的压迫感#是时候展现真正的技术了 #路人视角 #街舞 #小孩子,0分:34秒,261021,9522,29063,410,152926,7428104506426051880,,https://www.douyin.com/discover?modal_id=7428104506426051880
洛阳晚报教育周刊,406573,2024-10-23 13:05:31,愿全世界的妈妈都能被温柔以待 #暖心 #小孩哥 #给妈妈过生日 #人类幼崽,0分:14秒,244,5,3,0,13,7428832748611095820,《洛阳晚报教育周刊》官方账号,https://www.douyin.com/discover?modal_id=7428832748611095820
海边小卖部,210,2024-10-24 07:21:05,#小孩哥 #社会人,0分:10秒,455,76,35,16,989,7429114978847739195,,https://www.douyin.com/discover?modal_id=7429114978847739195
@凪卄,2389,2024-10-23 17:30:24,小孩哥：在我这你永远都得低着头说话 #逆天 #意想不到的结局 #意不意外,0分:11秒,281,19,37,0,1791,7428901007565802764,,https://www.douyin.com/discover?modal_id=7428901007565802764
河南广播电视台民生频道,24036136,2024-10-22 19:34:57,10月21日，吉林，小孩哥的心碎时刻 球滚到马路中间 ，司机小心翼翼减速 没想到还是压扁了，司机：为了你的安全 这个锅我背了 来源@蓝桥春雪^ #小孩哥 #心碎时刻,0分:6秒,1677,210,27,3,110,7428561071545388340,河南广播电视台民生频道官方抖音号,https://www.douyin.com/discover?modal_id=7428561071545388340
新华社快看,8311922,2024-10-23 15:53:37,10月21日，吉林。以为车减速是要避让，没想到是为了瞄准。网友：球被压爆的瞬间，小孩哥的心也跟着碎了,0分:7秒,1200,59,65,4,163,7428875522274364722,新华社快看官方账号,https://www.douyin.com/discover?modal_id=7428875522274364722
三言两娱,2607011,2024-10-21 10:50:56,不是这匹配机制阴成啥了#搞笑 #万万没想到 #小孩哥,0分:21秒,683,32,15,3,546,7428055415067348243,,https://www.douyin.com/discover?modal_id=7428055415067348243
星娱BANANA,1615440,2024-10-23 20:51:55,大爷：这不是鸽子 是我的脚鸭子 #娱乐评论大赏 #搞笑 #小孩哥,0分:22秒,240,2,14,0,793,7428952978448583987,,https://www.douyin.com/discover?modal_id=7428952978448583987
视听传媒,2350413,2024-10-22 15:14:59,10月17日，上海。被三岁小孩哥科普了常识，“这样是甜哒，这样是不甜哒”，网友：这么多年，设计师是一声也不吭啊。(感谢来源：@王福财（不瘦30斤不改id版） ),0分:12秒,285,21,8,0,86,7428494090393734415,潍坊人民广播电台,https://www.douyin.com/discover?modal_id=7428494090393734415
小孩哥,584,2024-09-30 10:27:56,#巴雷特学长 #gxp官方旗舰店 #gxp真理子杯,0分:32秒,1540,273,47,2,514,7420257220647980340,,https://www.douyin.com/discover?modal_id=7420257220647980340
小孩哥,72354,2024-10-19 21:56:27,可调焦距版显微镜,0分:11秒,6115,1526,550,0,601,7427485223668976955,,https://www.douyin.com/discover?modal_id=7427485223668976955
平顶山广播电视台,844957,2024-10-22 13:31:26,妈妈让小孩哥拿出周末作业  蛤蟆、面包虫都拿出来了 就是没有作业  网友：扒开蛤蟆嘴看看 也许被吃了呢,0分:11秒,227,12,8,5,47,7428468331688004891,平顶山广播电视台,https://www.douyin.com/discover?modal_id=7428468331688004891
世界青田,419337,2024-10-17 16:50:01,“e”人小孩哥坐公交车，一屁股坐在陌生爷爷腿上#小孩哥 #勇敢的人先享受世界,0分:16秒,207,5,6,0,11,7426632261962894642,青田传媒集团,https://www.douyin.com/discover?modal_id=7426632261962894642
江西旅游广播,2864879,2024-10-22 15:33:46,周末带孩子刮腻子体验生活,0分:9秒,336,48,46,7,297,7428499870245227785,江西旅游广播官方抖音号,https://www.douyin.com/discover?modal_id=7428499870245227785
