微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
1064324292.0,,https://m.weibo.cn/detail/P3ClLpHmk,,2024-12-06 16:39:11,中国,德州,P3ClLpHmk,民进德州市委会,,,0.5,,2024-12-08 21:20:58,,,山东,,,
5417540087.0,,https://m.weibo.cn/detail/OBG6DcgY2,https://m.weibo.cn/u/7939302315?,2024-10-15 17:58:55,中国,济南,OBG6DcgY2,承瘾,倒计时22天山东大学SDU#考研# ,m,0.9868708421728368,0.0,2024-12-08 21:20:58,19.0,24小时在线,山东,1,1.0,0.0
5450756900.0,,https://m.weibo.cn/detail/P3VJzerD6,https://m.weibo.cn/u/7939302315?,2024-12-08 18:00:00,中国,青岛,P3VJzerD6,小马甲不能丢丢,倒计时22天山东大学SDU#考研# ,m,0.9868708421728368,0.0,2024-12-08 21:20:58,19.0,24小时在线,山东,1,1.0,0.0
5456589573.0,,https://m.weibo.cn/detail/P3K8wdyn4,https://m.weibo.cn/u/7607999052?,2024-12-07 12:28:31,中国,,P3K8wdyn4,-零零幺,不要空着肚子去超市 山东大学(青岛校区) 青岛·山东大学(青岛校区) ,m,0.999999010856486,0.0,2024-12-08 21:20:58,78.0,,山东,5,0.0,0.0
5460341213.0,,https://m.weibo.cn/detail/P3CFvs10X,https://m.weibo.cn/u/2880758390?,2024-12-06 17:27:49,中国,济南,P3CFvs10X,高钙咩,🏸❤️🔥山东大学SDU 济南·山东大学中心校区 ,f,0.9959286478435108,4.0,2024-12-08 21:20:58,529.0,,山东,181,1.0,0.0
5510544196.0,,https://m.weibo.cn/detail/P3jmzADrx,https://m.weibo.cn/u/6390388325?,2024-12-04 16:19:00,中国,武汉,P3jmzADrx,晴川繁花,梦想可导，时间可微，你的未来有♾️的可能； 奔赴未来无“极限”，期待“相交”于顶峰； 未来收敛于精彩，理想与前程共轭——山大数院语录#山东大学# ,m,0.9999909916253612,8.0,2024-12-08 21:20:58,80.0,让暴风雨来的更猛烈吧,湖北,72,1.0,0.0
5515147296.0,,https://m.weibo.cn/detail/P3qnBmbgg,https://m.weibo.cn/u/7482131030?,2024-12-05 10:10:45,中国,,P3qnBmbgg,·祈愿殿下·,#山东大学数学学院教授武术家燕子杰逝世#燕老千古 🙏🙏🙏话说武术选修还是很有必要的，倒也不必休学…… ,m,0.9998250775836572,0.0,2024-12-08 21:20:58,554.0,投稿合作请+V：Hhzy0109,山东,2.5万,0.0,0.0
5515535735.0,,https://m.weibo.cn/detail/OBDWjzmjA,https://m.weibo.cn/u/1770165364?,2024-10-15 12:28:00,日本,,OBDWjzmjA,草摩夹的透酱,幼儿园灵魂拷问家长“喜欢男孩还是女孩？”  📰调查问卷内容能多 “离谱”？山东龙口市一所幼儿园自 9 月开学给家长连送三份问卷，其中不仅问及 “喜欢男孩还是女孩”、“家庭年人均可支配收入”，连家中的宠物和装修风格也成为被调查的内容😲 当地教体局说，这是山东大学科研项目委托发放的问卷。 ...全文,f,0.999999999875266,0.0,2024-12-08 21:20:58,698.0,广东广播电视台珠江经济台，中国经济广播第一台！,日本,32.5万,0.0,0.0
5519199499.0,P3uoCogKr,https://m.weibo.cn/detail/P3uoCogKr,https://m.weibo.cn/u/3547942163?,2024-12-05 20:24:15,中国,南京,P3uoCogKr,戳爷的火醬,【单县中心医院圆满承办菏泽市护理学会学术会议】         为进一步提升菏泽市安宁疗护服务水平及护理人员的安全管理意识，推动全市安宁疗护及护患安全管理工作高质量发展，11月30日，由菏泽市护理学会主办，单县中心医院承办的“菏泽市首届安宁疗护专业委员会第二次学术会议暨护患安全管理专业委员会 ...全文,m,0.9999998820315816,1.0,2024-12-08 21:20:58,131.0,鲁网菏泽官方微博,江苏,2509,0.0,0.0
5519199499.0,,https://m.weibo.cn/detail/P3uoCogKr,https://m.weibo.cn/u/7766637137?,2024-12-05 20:24:15,中国,南京,P3uoCogKr,戳爷的火醬,#山东大学数学学院教授武术家燕子杰逝世#燕子杰教授的离世是学术界和武术界的一大损失他的生平事迹和卓越成就将永远铭刻在人们的心中。愿燕子杰先生安息！ ,m,0.9999999537802534,20.0,2024-12-08 21:20:58,4482.0,我们在初雪时重逢。,江苏,1.7万,0.0,0.0
5519199499.0,P3uoCogKr,https://m.weibo.cn/detail/P3uoCogKr,https://m.weibo.cn/u/2027480085?,2024-12-05 20:24:15,中国,南京,,戳爷的火醬,#何以中国弦歌不辍#【何以中国丨“何以中国·弦歌不辍”网络主题宣传活动在曲阜启动】泱泱华夏，历史悠久，文脉绵长。11月30日，由中央网信办、国家文物局、人民日报社、山东省委网信委指导的“何以中国·弦歌不辍”网络主题宣传活动在山东济宁曲阜启动。启动仪式上，山东大学儒学高等研究院教授、孔子研 ...全文,f,0.9979060717754472,0.0,2024-12-08 21:20:58,3324.0,看水母，懂烟台。水母网初建于2000年12月28日，是烟台第一家大型综合门户网站，拥有国家一类新闻网站资质。,江苏,543万,0.0,0.0
5519199499.0,P3uoCogKr,https://m.weibo.cn/detail/P3uoCogKr,https://m.weibo.cn/u/5828010217?,2024-12-05 20:24:15,中国,南京,P3uoCogKr,戳爷的火醬,好久好久好久没发手机里的碎片～ 秋天🍂一些记录～ 和耿宝在济南去了想去很久的山东大学～ 赶在秋天的末尾去了白瀑寺～ 吃到了特别好吃的铁锅炖，一直想再吃！ 吃了一个吃完以后💩是绿色的面包！ 去了趵突泉！ 买了可爱的耳机壳，粗糙的小狗🐶～ 还有没拍照，但是我麻将赢了三家的光辉时刻 ...全文,f,0.978119823593625,1.0,2024-12-08 21:20:58,366.0,走的是阳光道，奔的是日子甜,江苏,143,1.0,0.0
5521882911.0,,https://m.weibo.cn/detail/P3WfMkvwa,https://m.weibo.cn/u/6047067900?,2024-12-08 19:19:22,中国,,P3WfMkvwa,____不吵不闹的六月,一连串毫无规律的符号，还是东夷文化系统的早期文字？  丁公陶文 龙山文化（约公元前2300~前1800年） 1991年山东省邹平市丁公遗址出土 山东大学博物馆 大道之行：儒家文化特展，故宫博物院 北京·故宫博物院-午门 ,f,0.9999576097530308,2.0,2024-12-08 21:20:58,247.0,博物馆、美术馆控。个人公众号“老物件儿”和小程序“最爱老物件儿”，通过对博物馆展品的文字与图片介绍，普及与推广古代艺术。,山东,830,3.0,0.0
5521882911.0,,https://m.weibo.cn/detail/P3DRHeJiS,https://m.weibo.cn/u/5733670322?,2024-12-06 20:30:36,中国,,P3DRHeJiS,____不吵不闹的六月,【黑龙江省首届大学生新文科实践创新大赛决赛成功举行】11月27日，由黑龙江省教育厅主办、黑龙江大学承办的黑龙江省首届大学生新文科实践创新大赛决赛成功举行。黑龙江省教育厅二级巡视员车成全，全国新文科教育研究中心执行主任、山东大学原党委副书记仝兴华，黑龙江大学副校长井立强，评委组组长中国 ...全文,m,0.9999999999998576,0.0,2024-12-08 21:20:58,65.0,黑龙江省教育厅官方微博、教育官微联盟成员，传递黑龙江教育资讯，展示黑龙江教育形象，服务广大师生和人民群众。,山东,7617,0.0,0.0
5553636865.0,,https://m.weibo.cn/detail/P3v5JzpNE,https://m.weibo.cn/u/7718387169?,2024-12-05 22:10:28,中国,太原,P3v5JzpNE,琪琪2020520,#济南家教# 家教编号：24120107 学员地址：济南槐荫区绿地泉景嘉园 辅导科目：数理化 学员情况：初三年级、男生，一对一老师上门 时间安排：每周1 次；每次2小时（具体时间段协商） 教员要求：要求山东大学，男女不限，有家教经验，要细心有耐心，有责任心。 老师薪水：90元/小时 ,m,0.9999989751107572,0.0,2024-12-08 21:20:58,1147.0,接单和进群关注后私聊，信息费预付，非诚勿扰。,山西,7058,0.0,0.0
5553636865.0,,https://m.weibo.cn/detail/P3z1G3yoy,https://m.weibo.cn/u/6281312110?,2024-12-06 08:11:27,中国,太原,P3z1G3yoy,琪琪2020520,请问有没有济南校区的同学可以今天或明天帮忙取件+盖章（到中心校区就业中心）+寄回，有偿，非常感谢！❤️        本人在青岛校区，报名表出了一点问题，需要重新盖就业中心的章，实在有点远赶不过去啦！  蹲蹲～山东大学SDU 青岛·山东大学(青岛校区) ,f,0.9996807294213004,1.0,2024-12-08 21:20:58,508.0,一个升起月亮的身体，必然驮住了无数次日落～🌙@我的小小英雄主义_,山西,64,2.0,1.0
5553636865.0,,https://m.weibo.cn/detail/P3z1G3yoy,https://m.weibo.cn/u/7490505562?,2024-12-06 08:11:27,中国,太原,P3z1G3yoy,琪琪2020520,何以中国｜真正的山东大汉！山东大学儒学高等研究院教授杨朝明解密“六边形战士”孔子网页链接 ,f,0.9990505599899208,0.0,2024-12-08 21:20:58,501.0,我是垦利区融媒体中心官方微博账号,山西,10.2万,0.0,1.0
5553636865.0,,https://m.weibo.cn/detail/P3v5JzpNE,https://m.weibo.cn/u/7599168126?,2024-12-05 22:10:28,中国,太原,P3v5JzpNE,琪琪2020520,山东大学SDU  毋庸置疑，美国是头号敌人！ ,m,0.9976681996859648,0.0,2024-12-08 21:20:58,335.0,莆田市俞建,山西,14,0.0,0.0
5599258815.0,,https://m.weibo.cn/detail/P3m9E6Laz,https://m.weibo.cn/u/6057968751?,2024-12-04 23:25:23,中国,北京,P3m9E6Laz,__Deal__,#听见微博# #微博声浪计划# *本期案件无恐怖，少少量血腥描述，请放心入场* 特别感谢今非NotToday、旺仔苹果牛奶和FF-Foo在上周的赞赏，爱意收到！感谢支持！   前言/Foreword/在首尔市麻浦区，有一家颇具名气的生鱼片店，老板老徐是一位中年男人，拥有一儿一女。儿子从小就表现出超常的踢球天赋，于是 ...全文,f,0.9999997242194876,1.0,2024-12-08 21:20:58,5.0,无所世事是由核桃和斑马主持的一档故事漫谈类声音节目。期待并感谢大家的收听和关注，我们努力码故事，希望各位听得愉快~,北京,26,1.0,0.0
5625102330.0,,https://m.weibo.cn/detail/P3iw94nsm,https://m.weibo.cn/u/1195071123?,2024-12-04 14:09:49,中国,济南,P3iw94nsm,inside_dream,学无止境，气有浩然。我所热爱的终将坚持下去！也没有任何放弃的理由！也为了不给我的母校寿光一中丢脸，哪怕没有鲜花和掌声，我依然是我自己的希望之星。不断鞭策，不断激励，勇敢做自己，做最好的自己！学习是一定会让人有所收获，也会有所改变的，突破渴望、成就梦想，我是寿光一中2003级校友魏禄业 ...全文,m,0.9999999859753504,0.0,2024-12-08 21:20:58,8377.0,笔名魏然，退役军人，潍坊市作家协会会员，1986年七月初六生于山东寿光，2008年5月曾为四川震区的少年儿童创作长篇励志小说《重金属》。,山东,1978,0.0,0.0
