时间,平台,关键词,开始时间,截止时间,精度
2024-10-15 19:24,['微博'],山东大学,2024-09-30,2024-10-25,低
2024-12-06 19:08,['微博'],山东大学,2024-12-16,2024-12-16,低
2024-12-06 19:16,['微博'],王冰冰,2024-12-10,2024-12-10,低
2024-12-06 19:22,['抖音'],山东大学,2024-12-10,2024-12-16,低
2024-12-06 19:24,['抖音'],山东大学,2024-12-10,2024-12-16,低
2024-12-06 19:26,['微博'],王冰冰,2024-09-30,2024-10-25,低
2024-12-06 19:33,['微博'],山东大学,2024-12-10,2024-12-16,低
2024-12-06 19:36,['微博'],王冰冰,2024-12-10,2024-12-10,低
2024-12-08 21:20,['微博'],山东大学,2024-12-10,2024-12-10,高
2024-12-09 01:58,['抖音'],,,,低
