平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,中国新闻网,【#山东大学数学学院教授武术家燕子杰逝世#】据齐鲁晚报消息，山东大学数学学院12月1日发布讣告，山东大学数学学院教授，著名学者武术家燕子杰先生12月1日在济南逝世，享年88岁。 2014年，山东大学官网曾刊文《燕子杰：教数学的梅花桩大师》。文章援引他弟子的说法称：“师父当年在北京大学物理系学习 ...全文,40,56,384,https://m.weibo.cn/detail/P30PGpE6U,,2024-12-02 17:08:31
微博,闪电新闻,【#原来古人最快乐的事情也是吃肉#】山东大学考古学院教授宋艳波介绍，在北辛遗址一处灰坑中，发现6个个体的猪下颌骨。原来在7000年前，北辛人就开始吃猪肉了，从各个北辛文化遗址陆续出土的猪骨数量判断，猪已经成为北辛人主要的饲养对象。山东 闪电新闻的微博视频 ,3,8,42,https://m.weibo.cn/detail/P2gxT9Btt,,2024-11-27 19:18:19
微博,山东大学,【知新楼积木模型】限时返场！！！拼知新，“拼”未来，快来和姗姗一起，把独属于山大的热爱与情怀捧在手心！ 作为一栋矗立在山大人心中的独特地标，知新楼承载了深厚的文化积淀。每一块砖石都记录着历史的沧桑，每一扇窗户都眺望着未来的希望。 关注@山东大学 并转发此微博，姗姗将送出20套知新楼积木 ...全文,101,76,76,https://m.weibo.cn/detail/P2IIlxzp5,,2024-11-30 19:01:00
微博,啬挞,#易烊千玺 喜欢和小猫交朋友的大朋友#  宝宝为什么会有山东大学的月饼 @TFBOYS-易烊千玺 ,7,12,78,https://m.weibo.cn/detail/P1cmDsrUC,P1cmDsrUC,2024-11-20 18:49:18
微博,隐于庭的小法师,和一个今天新认识的毕业院校写的山东大学但实际是中国海洋毕业的朋友聊天……  聊到五院四系。 很显然，随着部分院校的进一步掉队，当一个法学生告诉你他是四系的，那70%的概率是我的校友，30%的概率是珞珈山综合职业技术学院的，人家剩下两系可不在乎啥四系。 ...全文,4,28,83,https://m.weibo.cn/detail/ODEPQ6iU4,ODEPQ6iU4,2024-10-28 18:25:25
微博,周少说,就业压力真的大！一位网友吐槽，表示山东大学25届毕业生秋季就业双选会上，来了一大堆企业，没想到全是不知名的企业，看到这些企业，真是瞬间破防了。对于这样的情况，说实话，这很正常，知名企业就那些，不可能全都来。从另一个角度来说，不能因为人家不是知名企业就嫌弃，甚至是嘲讽，很多时候，别小 ...全文,18,24,106,https://m.weibo.cn/detail/ODtGs4fDi,,2024-10-27 14:02:04
微博,曾经是只小可爱,今天看论文，发现这么一篇论文，第一单位是山东大学的，合作单位有新加坡的南洋理工跟台湾地区的亚洲大学。虽然学术交流很正常，但你把People's Republic of China跟Taiwan并列，你山东大学就这么没有敏感度吗 ,11,12,83,https://m.weibo.cn/detail/P3iZCud97,,2024-12-04 15:22:27
微博,新黄河,【山东大学发布讣告：#著名经济学家黄少安逝世#，享年62岁】11月11日晚间，山东大学经济研究院发布讣告：  中国共产党党员，我国著名经济学家，山东大学讲席教授、教育部长江学者特聘教授、国家哲学社会科学领军人才黄少安同志，因病医治无效，于2024年11月11日14时32分在济南逝世，享年62岁。 ...全文,71,222,597,https://m.weibo.cn/detail/OFOrDv8lh,,2024-11-11 22:33:52
微博,徐顺达,我们都想不通为什么他们寒窗苦读十余年，毕业之后当宿管？ 去年山东大学也出过类似新闻，是一回事麽？  先说说山东大学去年聘用2位名校硕士当公寓的事，被录用的两人，一位是哈尔滨工业大学建筑学硕士，一位是澳大利亚阿德莱德大学葡萄酒商务专业硕士。谁看了都会觉得“大材小用”、“杀鸡焉用牛刀”！ ...全文,17,65,268,https://m.weibo.cn/detail/OxSEcjjLz,OxSEcjjLz,2024-09-20 18:33:22
微博,百姓关注,【#山东一高校曝男生多次偷拍女厕被抓# 学校：正在处理此事】#山东多名大学生发帖怒斥偷拍男# 10月22日，山东大学多名学生发帖谴责一男生在理综楼女厕所多次偷拍女生的行迹。有学生表示，一女生拍到偷拍男的正脸后发贴怒斥，但没多久帖子就被学校删除了。还有截图显示，疑似该男生承认多次偷拍，并求饶 ...全文,207,319,3592,https://m.weibo.cn/detail/OD14twVIv,OD14twVIv,2024-10-24 13:11:36
微博,史凝眸,只改一个字！！让山东大学上档次 ,28,508,778,https://m.weibo.cn/detail/Ow2EA5h2C,Ow2EA5h2C,2024-09-08 16:21:10
微博,温儒敏,2011年我从北大退休，受聘为山东大学一級教授，就住在济南的山大宿舍南院。那时山大全校聘任的一级教授有13位，大多不住在济南，而我是搬家到此地过日子的。课不多，也较少应酬，那是难得的安宁的日子。后来因为编教材来回奔波，在北大语文所也有些事要做，又搬回北京住，就改为兼任山大讲席教授。这一 ...全文,25,13,228,https://m.weibo.cn/detail/OqnoT7rPp,,2024-08-02 10:08:22
微博,牛华勇,三天内，两位敬爱的师长走了。一位是我校英语学院的张耘教授，一位是山东大学的黄少安教授。到这个年龄虽然应该学习得看开一些。但两位师长，都是极其令人尊重的，无论是学问还是做人，都是我辈楷模！两位前辈千古！ ,1,13,49,https://m.weibo.cn/detail/OFOLd9M1a,OFOLd9M1a,2024-11-11 23:22:05
微博,刘昊霖Andy,#山东大学男生多次偷拍女厕后求饶# #山大回应网传男子教学楼女厕偷拍# 建议校园取消高考，研考、公考、教资考资格，学信档案上一定要留下这样记录，将来求职也寸步难行！！ ,12,20,200,https://m.weibo.cn/detail/OD3GLjVh9,OD3GLjVh9,2024-10-24 19:51:25
微博,文欧价值,近日，教育部高等教育司公布第二批32个“人工智能+高等教育”应用场景典型案例，科大讯飞助力北京航空航天大学、北京理工大学、北京邮电大学、山东大学、武汉理工大学等5所高校打造的案例成功入选。💪🌹教育部公布第二批“人工智能+高等教育”应用场景典型案例，科大讯飞助力多项案例入选 ,2,4,22,https://m.weibo.cn/detail/P2zFOgNdf,,2024-11-29 20:00:01
微博,沐沐春风,洪楼教堂，大概是存于每一个在老校读书的山大人心中的景致，于我这个本硕博十多年的老学生更是如此。每每经过，都会不由想起那些年那些人那些事，所有的所有，都是最美的时光 ,0,0,5,https://m.weibo.cn/detail/P3WDIoMX4,,2024-12-08 20:18:21
微博,滴露微尘III,#开国将帅# 2004年12月8日，内蒙古军区原政委廷懋少将在京病逝，享年91岁。廷懋是1955授衔的5位蒙古族开国将军之一，他早年曾就读于冯庸大学附属中学，后考入了青岛的山东大学物理系，大三时因参加声援“一二·九”运动的山东大学学生救国会而被开除。1936年到北平参加了中华民族解放先锋队。1937年10月 ...全文,38,34,38,https://m.weibo.cn/detail/P3TpYnNsT,,2024-12-08 12:06:15
微博,____不吵不闹的六月,参加了三年华为杯数模研赛， 这次终于如愿来到颁奖典礼现场了  华为之夜晚宴挺丰盛， 运气好抽中了三等奖智能台灯 就是有点大不太好带  看别人成群结队， 一起和校旗合照， 感觉南大也太孤单了  明年研赛由矿大承办， 希望还能有机会去现场叭 ...全文,0,0,6,https://m.weibo.cn/detail/P3WfMkvwa,,2024-12-08 19:19:22
微博,Perry_121,自考本科 有没有报计算机科学与技术的同学？山东大学 ,0,1,0,https://m.weibo.cn/detail/P3W7Z3YZR,,2024-12-08 19:00:10
微博,正义联盟小狗_i,今天也是都市丽人了一把🪞 济南·山东大学中心校区 ,0,8,25,https://m.weibo.cn/detail/P3TvNvrvh,,2024-12-08 12:20:36
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,奶油泡泡mio,果然沿海城市是我的舒适区 青岛·山东大学(青岛校区) ,0,2,3,https://m.weibo.cn/detail/P3VWxqnj3,,2024-12-08 18:31:59
微博,Eddie22894,今天—— 第二次去的体育馆 紧张的考公人 没结账成功的零食 还有好吃的番茄虾滑!就是水放多了 青岛·山东大学(青岛校区) ,0,4,0,https://m.weibo.cn/detail/P3VRzfFa9,,2024-12-08 18:19:44
微博,小马甲不能丢丢,每年冬天的关键词都是：忙碌！ #attention2⃣️study# 青岛·山东大学(青岛校区) ,0,0,2,https://m.weibo.cn/detail/P3VJzerD6,,2024-12-08 18:00:00
微博,老赵随手拍L1,#一张图证明我来过这里# 济南·山东大学附属山东省肿瘤医院 ,0,0,0,https://m.weibo.cn/detail/P3VDqps28,,2024-12-08 17:44:53
微博,王圈圈不爱转圈圈,山大一日游结束🔚 青岛·山东大学(青岛校区) ,0,1,1,https://m.weibo.cn/detail/P3VzJ6nt2,,2024-12-08 17:35:46
微博,珍珍_EA,山大一日游～ 青岛·山东大学(青岛校区) ,0,0,2,https://m.weibo.cn/detail/P3VlN0RVp,,2024-12-08 17:01:26
微博,赵丽婚姻律师,第一届“安嘉杯”全国高校家事法模拟法庭大赛正在如火如荼的进行中！  下午是决赛，很荣幸能作为决赛的评委之一，和各大高校的师生以及在婚姻家事领域有丰富经验的学者、法官、律师们，一起对家事法进行深度的探讨和学习。  这次大赛由北京交通大学法学院和北京市安嘉律师事务所主办 ...全文,0,0,0,https://m.weibo.cn/detail/P3VjYcwLX,,2024-12-08 16:56:57
微博,山东大学,我爱拍山大 建筑，是校园生活里的诗意栖息。 ,1,2,8,https://m.weibo.cn/detail/P3V6BAytN,,2024-12-08 16:24:02
微博,不okay绷,在一个晴朗的日子拔掉最后一颗智齿 济南·山东大学齐鲁口腔医院 ,0,2,5,https://m.weibo.cn/detail/P3UXh2oyi,,2024-12-08 16:01:02
微博,我们无缘1992,山东大学SDU ,0,1,0,https://m.weibo.cn/detail/P3USXbCDZ,,2024-12-08 15:50:24
微博,陳陈晨辰尘陈,离开单位的疲惫，享受充实自己的忙碌 上课很痛苦 但当学生很幸福 下一步目标：学会忙生活！ #生活手记# 济南·山东大学中心校区 ,0,0,2,https://m.weibo.cn/detail/P3URrCUVd,,2024-12-08 15:46:41
微博,河北博物院,【#200多名专家给永乐大典加标点#】山东大学文学院讲席教授、《文史哲》主编杜泽逊介绍：“我们从全国70多所高校聘请了200多名专家，网上办公，专门给《永乐大典》打标点，最年轻的有‘00后’。” #医生救人的命我们救书的命#（via：人民网）中国历史研究院的微博视频 ,0,2,2,https://m.weibo.cn/detail/P3UKGn2ZE,,2024-12-08 15:30:00
微博,泰安日报,#他竟是真正意义上的山东大汉# 【观澜亭｜身高一米九？孔子竟是真正意义上的“山东大汉”】日前，“何以中国·弦歌不辍”网络主题宣传活动在享有“东方圣城”美誉的山东曲阜启动，中国古代思想家、政治家、教育家，儒家学派创始人孔子再次成为众所瞩目的焦点。 在启动仪式上，山东大学儒学高等研究院教 ...全文,0,0,0,https://m.weibo.cn/detail/P3UKeftHe,,2024-12-08 15:28:54
微博,淄博发布,#这就是淄博#这就是淄博# ：《山大“智囊团”来淄入企送“技”》  山大“智囊团”来淄入企送“技” ,0,0,0,https://m.weibo.cn/detail/P3UtRhS6o,,2024-12-08 14:48:34
微博,北方的海007,2024年12月7日，美籍华人演奏家、作曲家高虹女士琵琶大师班在山东大学洪楼校区艺术学院309音乐厅举办。（摄影/北海） ,0,0,1,https://m.weibo.cn/detail/P3Um3ve3H,,2024-12-08 14:29:21
