用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
李诞吐槽大会,3251,2024-10-01 19:05:00,渣男经典语录谈恋爱就觉得难受#李诞 #渣男语录 #内容过于真实,2分:15秒,4,0,0,0,0,7420698703364721960,,https://www.douyin.com/discover?modal_id=7420698703364721960
李诞故事会,4134,2024-10-01 20:30:00,渣男经典语录！#李诞 #渣男语录 #内容过于真实,2分:15秒,1,0,0,0,0,7420736238304447778,,https://www.douyin.com/discover?modal_id=7420736238304447778
李诞小卖部拾趣,1401,2024-09-30 08:15:01,#李诞 #李诞的小卖部 #吃瓜 #脱口秀 #徐志胜,0分:36秒,6720,295,23085,41,3006,7420222958280510730,,https://www.douyin.com/discover?modal_id=7420222958280510730
李诞吐槽大会,3251,2024-10-01 16:35:00,回娘家惊现老公精神出轨，离婚边缘心软求原谅的抉择#李诞 #主打的就是一个真实 #内容过于真实 #出轨的男人最真实心态,2分:44秒,0,0,0,0,0,7420382092841815331,,https://www.douyin.com/discover?modal_id=7420382092841815331
AI知识爱生活,313,2024-09-30 12:35:36,李诞最全脱口秀合集：经典又好笑，不愧是台柱子 #脱口秀 #吐槽大会 #我在抖音看综艺 #神级现场#综艺,43分:18秒,39,14,1,0,4,7420290118784716095,,https://www.douyin.com/discover?modal_id=7420290118784716095
李诞吐槽大会,3251,2024-10-01 17:19:00,母胎单身31年第一次有恋爱的感觉#李诞 #李诞的小卖部 #内容过于真实 #母胎单身,2分:30秒,9,2,0,0,3,7420698437718527284,,https://www.douyin.com/discover?modal_id=7420698437718527284
李诞吐槽大会,3251,2024-10-01 19:26:00,结婚七年孩子父亲没有责任担当#李诞 #责任与担当 #日常唠嗑,1分:17秒,0,0,0,0,0,7420734609178070312,,https://www.douyin.com/discover?modal_id=7420734609178070312
李诞吐槽大会,3251,2024-09-30 22:30:00,爱情难题也需要“做法”#李诞 #离谱操作 #爱情挽回,3分:10秒,7,1,0,0,3,7420381080529767695,,https://www.douyin.com/discover?modal_id=7420381080529767695
李诞的小卖部,3033,2024-09-30 01:11:17,别人怎么对你 都是你自己允许的 #触动心坎的那些话 #压力 #李诞 #李诞的小卖部,0分:35秒,12435,3507,528,198,4300,7420113622203977000,,https://www.douyin.com/discover?modal_id=7420113622203977000
盘桃大会,869126,2024-09-25 13:04:14,好离谱的理由 #李诞 #李诞的小卖部  #离谱  #班主任,0分:39秒,80503,2666,15698,2395,257058,7418442005493075237,爱奇艺旗下影视综账号,https://www.douyin.com/discover?modal_id=7418442005493075237
李诞吐槽大会,3251,2024-10-01 19:30:00,有没有同款老公来看看解决方法#李诞 #钓鱼佬 #离谱,1分:59秒,0,0,0,0,0,7420382097870785807,,https://www.douyin.com/discover?modal_id=7420382097870785807
李诞故事集,3143,2024-10-01 19:43:00,应该嫁给爱情还是嫁给合适呢#李诞 #唠嗑系列 #嫁给爱情还是合适,2分:4秒,0,0,0,0,0,7420739560721616180,,https://www.douyin.com/discover?modal_id=7420739560721616180
@,428,2024-09-30 22:22:28,#脱口秀 #看一遍笑一遍 #李诞 #徐志胜,0分:57秒,3458,318,26,22,497,7420441342196583707,,https://www.douyin.com/discover?modal_id=7420441342196583707
李诞吐槽大会,3251,2024-10-01 20:57:00,如何摆脱原生家庭的负面影响#李诞 #原生家庭的伤害 #好好爱自已❤❤,1分:2秒,0,0,0,0,0,7420734995725094159,,https://www.douyin.com/discover?modal_id=7420734995725094159
李诞吐槽大会,3251,2024-09-30 23:02:00,兄弟赶快放下#李诞 #挽回 #爱情,2分:40秒,5,2,1,0,5,7420382579347475752,,https://www.douyin.com/discover?modal_id=7420382579347475752
李诞故事集,3143,2024-10-01 20:29:00,自己的婚姻成为父母亲的游戏#李诞 #日常唠嗑 #婚姻不是儿戏 #离谱剧情,2分:24秒,0,0,0,0,0,7420740752776498467,,https://www.douyin.com/discover?modal_id=7420740752776498467
李诞吐槽大会,3251,2024-10-01 19:05:00,渣男经典语录谈恋爱就觉得难受#李诞 #渣男语录 #内容过于真实,2分:15秒,4,0,0,0,0,7420698703364721960,,https://www.douyin.com/discover?modal_id=7420698703364721960
李诞故事会,4134,2024-10-01 20:30:00,渣男经典语录！#李诞 #渣男语录 #内容过于真实,2分:15秒,1,0,0,0,0,7420736238304447778,,https://www.douyin.com/discover?modal_id=7420736238304447778
李诞小卖部拾趣,1401,2024-09-30 08:15:01,#李诞 #李诞的小卖部 #吃瓜 #脱口秀 #徐志胜,0分:36秒,6720,295,23085,41,3006,7420222958280510730,,https://www.douyin.com/discover?modal_id=7420222958280510730
李诞吐槽大会,3251,2024-10-01 16:35:00,回娘家惊现老公精神出轨，离婚边缘心软求原谅的抉择#李诞 #主打的就是一个真实 #内容过于真实 #出轨的男人最真实心态,2分:44秒,0,0,0,0,0,7420382092841815331,,https://www.douyin.com/discover?modal_id=7420382092841815331
AI知识爱生活,313,2024-09-30 12:35:36,李诞最全脱口秀合集：经典又好笑，不愧是台柱子 #脱口秀 #吐槽大会 #我在抖音看综艺 #神级现场#综艺,43分:18秒,39,14,1,0,4,7420290118784716095,,https://www.douyin.com/discover?modal_id=7420290118784716095
李诞吐槽大会,3251,2024-10-01 17:19:00,母胎单身31年第一次有恋爱的感觉#李诞 #李诞的小卖部 #内容过于真实 #母胎单身,2分:30秒,9,2,0,0,3,7420698437718527284,,https://www.douyin.com/discover?modal_id=7420698437718527284
李诞吐槽大会,3251,2024-10-01 19:26:00,结婚七年孩子父亲没有责任担当#李诞 #责任与担当 #日常唠嗑,1分:17秒,0,0,0,0,0,7420734609178070312,,https://www.douyin.com/discover?modal_id=7420734609178070312
李诞吐槽大会,3251,2024-09-30 22:30:00,爱情难题也需要“做法”#李诞 #离谱操作 #爱情挽回,3分:10秒,7,1,0,0,3,7420381080529767695,,https://www.douyin.com/discover?modal_id=7420381080529767695
李诞的小卖部,3033,2024-09-30 01:11:17,别人怎么对你 都是你自己允许的 #触动心坎的那些话 #压力 #李诞 #李诞的小卖部,0分:35秒,12435,3507,528,198,4300,7420113622203977000,,https://www.douyin.com/discover?modal_id=7420113622203977000
盘桃大会,869126,2024-09-25 13:04:14,好离谱的理由 #李诞 #李诞的小卖部  #离谱  #班主任,0分:39秒,80503,2666,15698,2395,257058,7418442005493075237,爱奇艺旗下影视综账号,https://www.douyin.com/discover?modal_id=7418442005493075237
李诞吐槽大会,3251,2024-10-01 19:30:00,有没有同款老公来看看解决方法#李诞 #钓鱼佬 #离谱,1分:59秒,0,0,0,0,0,7420382097870785807,,https://www.douyin.com/discover?modal_id=7420382097870785807
李诞故事集,3143,2024-10-01 19:43:00,应该嫁给爱情还是嫁给合适呢#李诞 #唠嗑系列 #嫁给爱情还是合适,2分:4秒,0,0,0,0,0,7420739560721616180,,https://www.douyin.com/discover?modal_id=7420739560721616180
@,428,2024-09-30 22:22:28,#脱口秀 #看一遍笑一遍 #李诞 #徐志胜,0分:57秒,3462,318,26,22,497,7420441342196583707,,https://www.douyin.com/discover?modal_id=7420441342196583707
李诞吐槽大会,3251,2024-10-01 20:57:00,如何摆脱原生家庭的负面影响#李诞 #原生家庭的伤害 #好好爱自已❤❤,1分:2秒,0,0,0,0,0,7420734995725094159,,https://www.douyin.com/discover?modal_id=7420734995725094159
李诞吐槽大会,3251,2024-09-30 23:02:00,兄弟赶快放下#李诞 #挽回 #爱情,2分:40秒,5,2,1,0,5,7420382579347475752,,https://www.douyin.com/discover?modal_id=7420382579347475752
李诞故事集,3143,2024-10-01 20:29:00,自己的婚姻成为父母亲的游戏#李诞 #日常唠嗑 #婚姻不是儿戏 #离谱剧情,2分:24秒,0,0,0,0,0,7420740752776498467,,https://www.douyin.com/discover?modal_id=7420740752776498467
李诞吐槽大会,3251,2024-10-01 19:05:00,渣男经典语录谈恋爱就觉得难受#李诞 #渣男语录 #内容过于真实,2分:15秒,4,0,0,0,0,7420698703364721960,,https://www.douyin.com/discover?modal_id=7420698703364721960
李诞故事会,4134,2024-10-01 20:30:00,渣男经典语录！#李诞 #渣男语录 #内容过于真实,2分:15秒,1,0,0,0,0,7420736238304447778,,https://www.douyin.com/discover?modal_id=7420736238304447778
李诞小卖部拾趣,1401,2024-09-30 08:15:01,#李诞 #李诞的小卖部 #吃瓜 #脱口秀 #徐志胜,0分:36秒,6720,295,23085,41,3006,7420222958280510730,,https://www.douyin.com/discover?modal_id=7420222958280510730
李诞吐槽大会,3251,2024-10-01 16:35:00,回娘家惊现老公精神出轨，离婚边缘心软求原谅的抉择#李诞 #主打的就是一个真实 #内容过于真实 #出轨的男人最真实心态,2分:44秒,0,0,0,0,0,7420382092841815331,,https://www.douyin.com/discover?modal_id=7420382092841815331
