时间,平台,关键词,开始时间,截止时间,精度

2025-02-15 20:10,['微博'],哪吒,,,低
2025-05-20 20:49,['微博'],雷军|小米,,,高
2025-05-21 12:44,['微博'],雷军|小米,,,中
2025-05-22 10:19,"['微博', '抖音']",于东来|胖东来|柴怼怼,2025-04-01,2025-05-20,中
2025-05-22 10:21,['微博'],第五人格,2025-04-09,2025-04-30,低
2025-05-22 10:21,['微博'],山东大学,2025-05-15,2025-05-22,高
2025-05-22 10:22,['抖音'],田思会,2019-12-30,2025-05-22,高
2025-05-22 10:22,['抖音'],田思会,2019-12-30,2025-05-22,高
2025-05-22 10:23,['抖音'],雅安,2025-05-22,2025-05-22,高
2025-05-22 10:27,['抖音'],哪吒,2019-12-30,2025-05-22,高
2025-05-22 10:27,['抖音'],哪吒,2019-12-30,2025-05-22,高
2025-05-22 10:28,['抖音'],哪吒,2019-12-30,2025-05-22,高
2025-05-22 10:29,['抖音'],黄杨,,,低
2025-05-22 10:42,"['微博', '抖音']",仙术杯,,,低
2025-05-22 10:46,"['微博', '抖音']",蹲方魂,,,低
2025-05-22 10:48,['抖音'],守望先锋,,,低
2025-05-22 10:48,['抖音'],守望先锋,,,低
2025-05-22 10:50,['抖音'],丁真,,,低
2025-05-22 10:53,['抖音'],韩国霸道总裁吃饭,2025-05-01,2025-05-22,高
2025-05-22 11:11,['抖音'],山东大学,2025-05-15,2025-05-22,高
2025-05-22 11:11,['微博'],国家乒乓球,2025-05-15,2025-05-22,中
2025-05-22 11:13,['微博'],国家乒乓球,2025-05-15,2025-05-22,低
2025-05-22 11:13,['抖音'],威海,2025-01-01,2025-05-01,中
2025-05-22 11:15,['微博'],关税,2025-05-01,2025-05-22,低
2025-05-22 11:15,['抖音'],龙门石窟,2025-05-15,2025-05-22,低
2025-05-22 11:15,['微博'],娱乐，黄杨钿甜，耳环,2025-05-21,2025-05-22,中
2025-05-22 11:15,['抖音'],韩国霸道总裁吃饭,,,低
2025-05-22 11:16,"['微博', '抖音']",红狼夺舍,,,中
2025-05-22 11:16,['抖音'],云顶之奕,2019-12-30,2025-05-22,中
2025-05-22 11:18,['抖音'],美国山海经,2025-05-01,2025-05-22,低
2025-05-22 11:18,"['微博', '抖音']",山东大学,2025-05-01,2025-05-22,低
2025-05-22 11:18,"['微博', '抖音']",大东北是我的家乡,,,低
2025-05-22 11:19,"['微博', '抖音']",桃黑黑,2025-05-15,2025-05-21,中
2025-05-22 11:19,"['微博', '抖音']",东北雨姐,,,低
2025-05-22 11:20,['微博'],黄杨钿甜,2025-05-12,2025-05-22,低
2025-05-22 11:20,"['微博', '抖音']",京东外卖,2025-03-01,2025-05-22,高
2025-05-22 11:23,['抖音'],王者荣耀,2025-05-01,2025-05-22,低
2025-05-22 11:23,"['微博', '抖音']",王者荣耀,2025-05-01,2025-06-07,中
2025-05-22 11:25,['抖音'],山东大学威海,2025-05-19,2025-05-22,中
2025-05-22 11:26,['抖音'],山东大学威海,2025-05-19,2025-05-22,低
2025-05-22 11:26,['抖音'],广西,2025-05-15,2025-05-22,高
2025-05-22 11:28,"['微博', '抖音']",林俊杰脱粉,,,低
2025-05-22 11:29,['微博'],耳环,,,中
2025-05-22 11:29,['微博'],雷军|小米,2025-03-28,2025-05-22,高
2025-05-22 11:30,"['微博', '抖音']",孙颖莎,2025-05-15,2025-05-22,低
2025-05-22 11:30,['微博'],雷军|小米,2025-03-28,2025-05-22,高
2025-05-22 11:30,['微博'],明日方舟,,,高
2025-05-22 11:31,"['微博', '抖音']",虐待 AND围棋,2025-05-19,2025-05-22,高
2025-05-22 11:31,['微博'],雷军|小米,2025-03-28,2025-05-22,高
2025-05-22 11:32,"['微博', '抖音']",虐待 OR 围棋,2025-05-19,2025-05-22,低
2025-05-22 11:32,['微博'],山东大学,2025-05-21,2025-05-22,低
2025-05-22 11:34,"['微博', '抖音']",围棋,2025-05-19,2025-05-22,低
