平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,马孔多作坊,可能是最近总看李诞的小卖部直播吧，又刷到黑尾酱去英国读书的视频，感慨她真的好漂亮，于是在想俩人为什么be，翻到某篇文里写李诞喜欢黑尾酱的是她“幼稚天真，敏感忧伤”，想起他的两本书里关于典典的描述，李诞那句“我血是蓝色的啊朋友们”。两个敏感的人相爱。我天，破碎的少女心为之一动。 ,2,1,77,https://m.weibo.cn/detail/OzpDL3m54,OzpDL3m54,2024-09-30 20:23:14
微博,新浪娱乐,#徐志胜回应脱口秀大叫驴#  哈哈#没有人比徐志胜更懂嗓门大的痛#！他细数嗓门大的落寞时刻，“别人是春风化雨，我是春雷”，和司机聊天却被系统检测为吵架现场回应@李诞 评他“大叫驴脱口秀”演化成了“脱口秀大叫驴”，“前面那个，是在形容我的艺术风格，后面那个，是在剥夺我做人的资格！” ...全文,3,2,49,https://m.weibo.cn/detail/Ozxxs7uRi,,2024-10-01 16:29:40
微博,星冰乐kiki,李诞直播讲述股市大师段永平对自己的感触……祝大家找到热爱，并不痛苦的做下去。一直都觉得，世界上最幸运的事就是能找到自己热爱的事情，并努力下去，每一次的成就感都让自己很快乐。#A股疯涨普通人是否要入局# ,82,6,318,https://m.weibo.cn/detail/OzomfwACK,,2024-09-30 17:07:21
微博,老猫笔记,李诞说呼兰他A股大赚，两眼放光 老猫笔记的微博视频 ,3,4,35,https://m.weibo.cn/detail/OzmTzjGEn,OzmTzjGEn,2024-09-30 13:23:56
微博,你别说还真是这样,其实我觉得最好的脱口秀领笑员阵容是李诞、杨笠、鲁豫、大张伟，会把关会点评会聊天会鼓励支持。现在这几个节目就真的就跟评委一样，高高在上点评分析段子结构、价值分析、观众喜好什么… 还有罗永浩，看到好多repo都是在吐槽他爹味 ,22,34,873,https://m.weibo.cn/detail/Ozgs30thK,,2024-09-29 20:59:39
微博,南方周末,#李诞说外行不能理解贫嘴和幽默#【李诞：贫嘴，我是绝对不要的；幽默是少言，但准确的】李诞在《文学馆之夜》里谈到：“贫嘴和幽默的分别，是外行特别不能理解的。幽默是少言的，他进来的话，他一直在那贫嘴，我是绝对不要的，他虽然看起来很热闹很好笑，是绝对不要的。就是不说的人，就那么几个字很准 ...全文,11,14,53,https://m.weibo.cn/detail/Oz4gxd68O,Oz4gxd68O,2024-09-28 13:58:20
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,李诞工作室,李诞 朋友们事情没有你想的那么糟❗️这位姐妹说自己和男友感情稳定，却隐隐觉得危机四伏、波涛汹涌。@李诞 说不要给危机以关注，就不会有危机，不要给波涛以关注，它就不会汹涌。不要为了将来不一定发生的不好，惩罚现在的好，共勉！ 李诞工作室的微博视频 ,2,6,44,https://m.weibo.cn/detail/OzcVR58b0,,2024-09-29 12:02:06
微博,一千多岁大鲤鱼精,李诞以前的东西我没看过也不了解，印象中好像他也引起过一些争议，但是看这人直播，说的东西还挺实在的。  比如说一个女性问婚姻，就说自己原来在国外留学，回国相亲找了个老公，在二线城市，老公答应以后跟她出国生活，但是意愿越来越不强，英语也学不下去了，自己留在这个地方找工作也只有几千块钱的 ...全文,2,2,13,https://m.weibo.cn/detail/Oz8Bb6wRZ,Oz8Bb6wRZ,2024-09-29 01:00:11
微博,_彪形麗人孫大聖_,李诞在直播间聊到如何冥想，这两天对我帮助很大。他说冥想就是观察自己的呼吸，可能你会忍不住走神想别的事，但是没关系。你就想象你在火车站看着情绪像火车一样来来往往，可能你会跟着它往前走一段，但别走太远就回来。这样你就像一个看火车的人，心里知道：“哦，这些是我的情绪，它们会来，也会走。 ...全文,114,13,867,https://m.weibo.cn/detail/OyMsEwQhX,OyMsEwQhX,2024-09-26 16:38:44
微博,我又了解山姆了,李诞有点牛，我真怕他变成下一个蔡澜或是别的什么老饕。从来没在直播间买过东西，除了这个猪油酥酥，也就是猪油渣。上次在上海工作遇到李诞，他说猪油渣是温州一个威士忌吧尝到的，太惊艳了。我以为猪油渣顶了天了也就是像贵阳的脆哨罢了。我承认我错了，现在只要像他一样一躺着就吃一堆，这回真的真的 ...全文,9,20,428,https://m.weibo.cn/detail/OyFQPv7Yk,,2024-09-25 23:49:05
微博,Miss__Ostrich,谁懂脱人在节目里还能听到cue到李诞的段子的感觉希望后面再cue到的千万别剪 ,0,0,0,https://m.weibo.cn/detail/OzzAIzpR7,,2024-10-01 21:43:13
微博,用户28886,提前三个小时祝你生日快乐李瑞超  蛋蛋@李诞 天天开心健康平安 ,0,0,0,https://m.weibo.cn/detail/OzzuS73F6,,2024-10-01 21:28:48
微博,_Jiajia_h,《要的都是有亏欠》 可怜的现代人，感情上越来越蠢。 看李诞直播，感觉这届网友个个都做长期心理咨询，个个都在上亲密关系沟通课。PUA这种词是最初级了，回避型依恋、不配得感、trust issue……都信手拈来的，并形成了一套完整的、明显反复讲述过多次的自我叙事。但仍然，上了那么多课、读了那么多书， ...全文,0,0,0,https://m.weibo.cn/detail/Ozzuraj0D,,2024-10-01 21:27:44
微博,叫什么随便啦啊,老觉得这本书是Dan～！的学术生存日记（请用李诞读信的口气念出来），老没读下去，准备包个封面～～～￼ ,0,0,0,https://m.weibo.cn/detail/Ozzu6cBTe,,2024-10-01 21:26:54
微博,小簌susu,8月-9月书单： 1. 第七天（余华） 2. 解密（麦家） 3. 李诞脱口秀工作手册（李诞） 4. 假面饭店（东野圭吾） @便便咖啡 @JoannaZa 8月书单都忘发了，一起补上祝我们节日快乐 ,0,0,0,https://m.weibo.cn/detail/OzzpPgWyE,,2024-10-01 21:16:23
微博,洛杉矶的小妾,我闺蜜给李诞当了小妾了 ,0,0,0,https://m.weibo.cn/detail/Ozzp9kqKa,,2024-10-01 21:14:43
微博,諗绥,随着时间，每个人都会形成自己的语言风格，我对自己写的乱七八糟东西的风格定义为: 矫情逼风 李诞的播客还蛮不错，前几天听的第13期: “我的语言来自何处？”，感觉讲得挺好。 ,0,1,0,https://m.weibo.cn/detail/OzzmCq1MT,,2024-10-01 21:08:29
微博,逃跑特长生,非常不想特别恶心人的说，因为没有李诞所以不想看脱口秀了。 所以看了，每天下饭时候都会打开，但我吃饭的速度居然比不上他更新的速度。 哎，恶心就恶心吧，确实没有李诞在的时候好看。 ,0,0,0,https://m.weibo.cn/detail/Ozz0GmB8x,,2024-10-01 20:14:26
微博,俄亥俄Carolina,哈哈哈徐志胜是真的素材不够了感觉，把直播李诞地称呼都提了 ,0,0,0,https://m.weibo.cn/detail/OzyVwlwmM,,2024-10-01 20:01:43
微博,快吃饭睡觉w,#罗永浩 脱口秀悖论#真的很喜欢罗永浩的大局观 每一次给灯都拍到我的点上 我宣布 罗永浩 李诞 鲁豫 就是最懂脱口秀的三个人 ,0,3,4,https://m.weibo.cn/detail/OzyUSD16e,,2024-10-01 20:00:09
微博,你别说还真是这样,其实我觉得最好的脱口秀领笑员阵容是李诞、杨笠、鲁豫、大张伟，会把关会点评会聊天会鼓励支持。现在这几个节目就真的就跟评委一样，高高在上点评分析段子结构、价值分析、观众喜好什么… 还有罗永浩，看到好多repo都是在吐槽他爹味 ,22,34,873,https://m.weibo.cn/detail/Ozgs30thK,,2024-09-29 20:59:39
微博,阿绒毛茸茸,几年不看脱口秀了，怎么现在只剩王建国？？？池子和李诞嘞？？？是因为坐上头等舱就写不出好笑的段子了吗？？？ ,0,0,0,https://m.weibo.cn/detail/OzyMzdmfT,,2024-10-01 19:39:39
