平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,名侦探柯南情报局,名侦探柯南剧场版《引爆摩天楼》重制版将于10月2日在韩国🇰🇷上映！ 韩国🇰🇷电影周边海报！#名侦探柯南# ,10,15,86,https://m.weibo.cn/detail/Ozy2h3f9I,,2024-10-01 17:45:36
微博,cerise03,我去柯南展的vlog出锅了(((o(*ﾟ▽ﾟ*)o))) 请问为什么我的语速这么慢。。可是这是我的正常语速。。所以你们知道我剪那些读书视频的时候是多崩溃了(╯°□°）╯︵ ┻━┻总之，柯南餐厅再难吃我也会去吃，柯南电影再难看我也会去看w(ﾟДﾟ)w cerise03的微博视频 ,0,4,24,https://m.weibo.cn/detail/OzxfDdrKR,OzxfDdrKR,2024-10-01 15:45:46
微博,钩钩人,天啊看西瓜说柯南看了一个月了每次画画都会看，居然还没有能看完所有的才看到三百多集一共五百多投稿 啊啊啊啊啊 西瓜视频太上瘾了！！ ,0,2,49,https://m.weibo.cn/detail/OztBjEbxB,OztBjEbxB,2024-10-01 06:28:13
微博,叶不羞羞羞羞羞羞,#名侦探柯南#新兰 最般配的情侣    X：pingkeki #新兰 最般配的情侣# ,1119,254,9564,https://m.weibo.cn/detail/Ozd44tx1j,,2024-09-29 12:22:21
微博,-狄里-,#灰原哀# #CP30灰原哀街道#  一个摊宣，画册实物请看p10-12或微博相册～ 时间：10.6-10.7  街道：柯南专区-灰原哀街道 摊位：陆C05 ,45,62,243,https://m.weibo.cn/detail/Ozr4t1RIG,Ozr4t1RIG,2024-10-01 00:01:47
微博,柯学馆,名侦探柯南 上海的朋友又幸福了！二次元“足不出沪”，那么上海到底有谁啊？ #名侦探柯南# 主题书店就在上海！#开学开新谷##十一漫游记#  里面有好多的日版原作漫画、剧场版漫画和公式书杂志，还有平和告白的105卷，还有很多日谷，帆布包，还有全套名侦探柯南30周年纪 ...全文,5,10,54,https://m.weibo.cn/detail/OzqpGnxzD,,2024-09-30 22:21:18
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,原代琼,我妹今晚在那看了柯南，于是兴致勃勃回去把书柜里的漫画掏来给她看了(。喂要这么做姐姐吗 ,0,11,74,https://m.weibo.cn/detail/OzquL2iYq,OzquL2iYq,2024-09-30 22:33:48
微博,My_way丿Mai_way丿Teppei,揣手努聚集+人偶摄影会+鸟取杯垫+韩国相关 #名侦探柯南# ,27,10,88,https://m.weibo.cn/detail/OzrBN7L2K,,2024-10-01 01:23:53
微博,工藤家的新兰君,【北荣町观光问讯处销售的商品】 《#名侦探柯南# 贴纸（3种）》各1张 600日元（含税） 每张纸上有 10 张贴纸。 请收集并在各地使用♫ ,1,7,23,https://m.weibo.cn/detail/OzybOCAyi,,2024-10-01 18:09:07
