平台,用户名,内容,分享数,评论数,点赞数,url,uni_id,发布时间
微博,,,0,0,0,https://m.weibo.cn/detail/N/A,,
微博,龙首原上望长安,王冰冰  大家晚上好 截修·《说走就走·哈尔滨 | 冰天雪地任逍遥》 横屏5120×2880，竖屏2880×5120 冰冰就是冰天雪地中的暖宝宝 （大家记得加载原图） ,9,22,33,https://m.weibo.cn/detail/P8dbsixEu,P8dbsixEu,2025-01-05 21:46:38
微博,羽星幻,王冰冰 三个路拍        来源:🍠  from0 ,5,26,31,https://m.weibo.cn/detail/P88F9a0nh,,2025-01-05 10:16:03
微博,海尔,#新年送你一套小红花# 知道宝子们已经等不及啦出发！尔滨，我们来啦戳👇1月5日13：00锁定《说走就走•哈尔滨｜冰天雪地任逍遥》直播间，我们哥俩带宝子们一起跟随央视总台主持人王冰冰@吃花椒的喵酱 和任鲁豫@任鲁豫 ，走进哈尔滨冰雪大世界，见证在冰雪世界里的温暖奇迹，解锁海尔 ...全文,107,44,178,https://m.weibo.cn/detail/P80Rx5qct,P80Rx5qct,2025-01-04 14:24:35
微博,吻奶珊的喵酱,王冰冰王冰冰 原来你是我最想留住的幸运。@吃花椒的喵酱  ,2,130,84,https://m.weibo.cn/detail/P7STvgaoo,,2025-01-03 18:07:28
微博,吃花蜜的喵酱,王冰冰 近距离看冰冰·吉林春晚录制 来自小红📖用户Yuan. 吃花蜜的喵酱的微博视频 ,11,58,229,https://m.weibo.cn/detail/P7SPEbUJt,,2025-01-03 17:57:58
微博,清风娱评,王冰冰和央视的同事一起吃饺子，她现在状态大好，皮肤白皙嫩滑，新发型很减龄，一点不像34岁，说她是大学生也不为过 ,0,14,78,https://m.weibo.cn/detail/P7I8Eyp5A,P7I8Eyp5A,2025-01-02 14:44:35
微博,小雨陪你追短剧,娱乐圈可爱多   明天下午两点将要上线的短剧王冰冰&amp;陈冠峄&amp;程澄《七日缘浅恋曲未央》抢先看，需要自取！1女V4男！  K：网页链接 D:网页链接   王乐乐遭遇了男友张朗的背叛。一次对天空的许愿让她的生活发生了翻天覆地的变化，霸道总裁秦放突然出现在她的房间，她也因 ...全文,0,5,36,https://m.weibo.cn/detail/P75fUtn12,P75fUtn12,2024-12-29 11:45:20
微博,Lidaren初见ZZ,#最难忘的跨年夜舞台#✨#跨年舞台高能瞬间# 许魏洲×王冰冰《河山大好》全景+直拍😘  ♪  心情大好 出去走走  碧海蓝天 吹吹风      河山大好 出去走走  别窝在家 当懒虫  ♪  许魏洲、王冰冰的嗓音真的太搭了！！！空气中都弥漫着甜甜的氛围～《河山大好》真的不是峨眉山、庐山、黄山、嵩 ...全文,31,55,266,https://m.weibo.cn/detail/P6ZGx37qA,P6ZGx37qA,2024-12-28 21:34:26
微博,娱小浠,王冰冰素颜像高中生，气质好，难怪这么多人喜欢她 ,14,30,247,https://m.weibo.cn/detail/P70DJ2FF2,P70DJ2FF2,2024-12-29 00:00:16
微博,央视频,【#王冰冰邀你感受美好与温暖#】总台直播电商平台#央央好物即将上线#，快跟随总台记者王冰冰@吃花椒的喵酱 一起关注#央央好物#，感受生活的舒心、放心、安心，一起分享美好与温暖！ 央视频的微博视频 ,36,40,87,https://m.weibo.cn/detail/P6u2f36bE,,2024-12-25 13:00:01
微博,再见冰与鱼之歌,第五章 陌生  今天是游泳队出门充电日，这阳光蓝天过于给力，以致于爱笑的眼睛都快睁不开了。 “惠姐，看我这张拍的怎么样？” “不错，不错，给我也拍一张。” 咔嚓-- “来，让我看看，咦，等等，你的相册怎么把这张照片置顶了……” 甲鱼赶忙说到：“你有没有想过，我们可能被困在了2022年。” 看着 ...全文,0,0,0,https://m.weibo.cn/detail/P8egvizPZ,,2025-01-06 00:31:49
微博,三小只的快乐老家,#说走就走# #新年送你一套小红花# 定格美好瞬间，启航全新旅程。锁定央视频，与总台记者王冰冰一同开启新年之旅，让心愿照亮前行的道路。 三小只的快乐老家的微博视频 ,0,0,0,https://m.weibo.cn/detail/P8e8LloN3,,2025-01-06 00:12:45
