微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
,,,,,,,,,,,,,,,,https://m.weibo.cn/detail/N/A,,0.5
5821279480.0,OzOCb3I97,定焦数码,2024-10-03 11:58:00,都说了，国内的软件，没啥问题的，不用太纠结，也不用一直问我 ,44.0,314.0,879.0,中国,广东,惠州,专职于原创数码评论（商务Wechat：dingjiaoup）,598.0,219万,m,https://m.weibo.cn/u/5821279480?,https://m.weibo.cn/detail/OzOCb3I97,,0.08191379465782045
2142609687.0,,科技圣斗士,2024-10-03 12:40:01,我二姐手机里有这几个软件干嘛的？是不是诈骗？ ,8.0,33.0,40.0,中国,福建,,关于手机，电脑，数码，新能源车，通信相关的问题可以问我，略懂略懂，欢迎咨询，感谢关注！,3173.0,216.8万,m,https://m.weibo.cn/u/2142609687?,https://m.weibo.cn/detail/OzOTe7Jod,OzOTe7Jod,0.030456443052371163
1689987521.0,,怂的载体,2024-10-03 13:06:45,“离不开”的五大软件，你能离开哪个 ？ ,11.0,95.0,47.0,中国,北京,北京,,274.0,41万,m,https://m.weibo.cn/u/1689987521?,https://m.weibo.cn/detail/OzP458Vo9,OzP458Vo9,0.16368320385113733
1636222790.0,,玉崽的心,2024-10-03 16:05:22,我是不太懂软件找side这件事，I mean 大家对side的外貌要求难道不会比传统的要求更高吗？ ,1.0,7.0,18.0,中国,上海,上海,早睡早起真的很重要  🍠：263154887 📮：chenyukang95@163.com,794.0,15.5万,m,https://m.weibo.cn/u/1636222790?,https://m.weibo.cn/detail/OzQeA77hd,OzQeA77hd,0.03871151500730341
6362364294.0,,女生头像bo,2024-10-03 15:33:02,𝙞𝙋𝙝𝙤𝙣𝙚设备文件夹名称ꔛ  1.🔋𝙞𝙋𝙝𝙤𝙣𝙚 苹果自带软件 2.🎥𝙑𝙞𝙙𝙚𝙤 播放和剪辑软件 3.💜𝙉𝙚𝙘𝙚𝙨𝙨𝙞𝙩𝙞𝙚𝙨聊天社交 4.🛍𝙎𝙝𝙤𝙥𝙥𝙞𝙣𝙜  买买买！！！ 5.🎵 𝙇𝙞𝙨𝙩𝙚𝙣 听音乐 6 ,2.0,0.0,31.0,中国,重庆,重庆,推广合作🛰️：ins9666,77.0,250.5万,f,https://m.weibo.cn/u/6362364294?,https://m.weibo.cn/detail/OzQ1sm7WP,OzQ1sm7WP,0.3048959183253773
7365939863.0,,Ninever-草莓枝,2024-10-02 21:55:54,唱吧这个b软件从我嗑瑜洲就害我一直害到孙汪🤮🤮🤮不会原谅 ,0.0,12.0,93.0,中国,江苏,常州,指路深海草莓🥲,2003.0,3.7万,m,https://m.weibo.cn/u/7365939863?,https://m.weibo.cn/detail/OzJ6mzoFP,OzJ6mzoFP,0.8414098972094762
,,,,,,,,,,,,,,,,https://m.weibo.cn/detail/N/A,,0.5
7056145322.0,OzQbS0byu,A短线作手v,2024-10-03 15:58:41,近10个交易日板块涨幅及领涨龙头排名！  1、软件开发板块：10日涨幅42.2%。领涨龙头股：银之杰，10日涨幅272.42%。  2、多元金融板块：10日涨幅41.87%。领涨龙头股：五矿资本，10日涨幅67.17%。  3、白酒板块：10日涨幅41.23%。领涨龙头股：皇台酒业，10日涨幅61.49%。  4、证券板块：10日涨幅39.48%。 ...全文,17.0,3.0,154.0,中国,广东,,,173.0,20.9万,m,https://m.weibo.cn/u/7056145322?,https://m.weibo.cn/detail/OzQbS0byu,,4.3386124815025795e-07
3909383956.0,OzMyWo1yH,及时雨超哥,2024-10-03 06:44:33,创业板龙头(Top20)个股大全 （1）东方财富：互联网券商龙头；拥有券商、期货和公募基金牌照。  （2）同花顺：互联网金融信息服务龙头；国内第一家互联网金融信息服务平台。  （3）指南针：证券软件开发和证券信息服务龙头；收购持有网信证券100%股权。  （4）宁德时代：新能源创新科技龙头，动力电池使 ...全文,51.0,7.0,306.0,中国,广东,韶关,实战股手，百家之长;明察情绪，审时度势;决策至上，技法佑之;量价势全，精准出击;买无恐惧，卖不贪婪;只喜三甲，管好仓位;纪律规则，知行合一。,1564.0,58.1万,m,https://m.weibo.cn/u/3909383956?,https://m.weibo.cn/detail/OzMyWo1yH,,0.9998940079304504
