微博正文,情感分析结果
王冰冰超话我们闻风而来，向花而去，与春天撞了个满怀。晚安冰冰晚安各位小伙伴,正面
王冰冰超话明天女神节你想怎么过,负面
王冰冰超话美女可好,负面
王冰冰超话看看你大哥所作:酒窝荡漾似清泉，应该《粉面香腮带笑靥》注:酒窝在脸上。荡漾在水面。清泉的泉眼能有多大。三个话题不再一个层面上，那点墨汁还想作词。问问你的大哥,正面
王冰冰超话有没有人关注到梁燕事件啊，太让人心痛了！北京中医药大学硕士生梁燕无端遭受北京教工委恐吓威胁，一个善良好学的学生无奈割伤手掌手臂，母亲报案却离奇失联，梁燕和她的男友也先后失联，舅舅为其发声，却被不明身份的人士带走，至今下落不明，可网上的帖子超话屡屡被删，事发一月有余，至今没有任何相关部门站出来说明事实真相，心寒啊！希望更多人可以关注她，支持她，我们一起等梁燕回家！寻亲舅舅下落不明超话详情可见链接：O春燕何时归O网页链接,正面
王冰冰超话前面忘了，中间忘了，后面忘了，左边忘了，右边忘了，上面忘了，下面忘了，你忘了，我忘了，他忘了，时间忘了，季节忘了，年龄忘了。笑容忘了，泪水忘了，疼痛忘了，欢乐忘了，梦想忘了，希望忘了，恐惧忘了，勇气忘了。书籍忘了，音乐忘了，电影忘了，旅行忘了，冒险忘了，挑战忘了，成功忘了，失败忘了。友情忘了，爱情忘了，亲情忘了，陌生人的善意忘了，自己的善良忘了，别人的恶意忘了，自己的宽容忘了。山川忘了，大海忘了，城市忘了，乡村忘了，星空忘了，日出忘了，晚霞忘了，雨雪忘了。笔尖忘了，画布忘了，镜头忘了，舞台忘了，掌声忘了，批评忘了，荣耀忘了，耻辱忘了。总之忘了,正面
王冰冰超话怎么了,负面
王冰冰超话我成为王冰冰超话超FUN啦发帖纪念一下~,负面
王冰冰超话氵,负面
开着拖拉机吹着风，喂着小牛挤着奶，“冰敦敦”的北纬47°溯源之旅也太惬意了吧#王冰冰蒋敦豪冰敦敦组合飞鹤奶粉#中国宝宝黄金奶源#源头找答案#微博VC计划#Lcblgffshyh的微博视频,正面
王冰冰超话晚安各位,正面
央视这是要准备捧新人了？严尚嘉最近总台好几档节目都有她综艺效果挺适合上综艺频道的可能会成为下一个王冰冰和女版小尼？图1图2图3是电视直拍第三张色调太暗了显得脸红,负面
央视王冰冰超话来宣宣无盈利,负面
