微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,sentiment_result
7519706333,OwHAm6pfJ,达克鸭唐,2024-09-13 00:33:23,青岛大学知道自己比311弱么，山东大学知道自己医科只比311强一丁点么？ ,12,125,851,正面
2810373291,OwGMhfBv6,新华网,2024-09-12 22:30:00,【#奇迹男孩董昊轩山东大学报到#】#被诊断活不过18岁的他在19岁考上大学#近日，患有DMD罕见病的山东男孩董昊轩完成了大学报到。曾被医生诊断活不过18岁的他，在度过18岁生日后的一年，以645分的高考成绩考入了山东大学数学学院。祝福董昊轩，愿他在未来的生活中继续书写更辉煌的人生篇章！  ...全文,38,24,211,正面
2957171103,Ow8D51QPu,色甘酸本色,2024-09-09 07:33:57,#山东大学34岁博导突发心梗离世#我今年看到的这么大的教授、医师还有其他人的猝死信息也太多了一些。可惜我数学能力勉强赶上国家主任，不然我就可以给你们分析一下这里面到底有没有变化了。但是就算以我土郎中的经验，病人里面的变化我都是看得出来的。你甚至都还不用关心慢性病的改变，只看急性的就行 ...全文,64,32,319,正面
1347322121,Ow2EA5h2C,史凝眸,2024-09-08 16:21:10,只改一个字！！让山东大学上档次 ,28,478,669,正面
1357064103,Oxf64x7ej,交易者简放,2024-09-16 13:52:10,山东大学青岛校区，是真不错，又大又干净，旁边就是大海，饭也实惠。大家家里有娃可以往这里考 ,1,24,214,正面
5979495016,Ow99wqwUv,许超医生,2024-09-09 08:53:52,#山东大学34岁博导突发心梗离世#  这些心梗的报警信号，请转给正在拼搏的人！  近年来，临床上不断会碰到50岁以下男性急性心梗的患者，40岁左右的心梗已司空见惯，最年轻的甚至只有20岁出头，而且他们都觉得自己是健康的，最多见的感叹就是“从来没有住过院”，第一次住院就是心梗抢救，生死攸关！能够 ...全文,386,102,968,正面
6403262468,OuvwKhh5R,苏澈呀,2024-08-29 14:10:55,#在山东读大学是什么体验# 有人说：“来山东读大学后才发现，原来不是每一个山东人都会开挖掘机的”～so，在山东读大学到底是个什么体验？#如何过好大学生活#🌟地理位置东临黄海，南接江淮，北依泰山，西靠黄河，风景优美，交通便利，高铁、飞机、轮船等等，想去哪玩就去哪～周末同学们可 ...全文,20,23,104,正面
1410812623,Ow5jVa5Ng,植物人史军,2024-09-08 23:08:31,#山东大学34岁博导突发心梗离世# 这样的新闻不止一次出现了，太卷了。申基金，做实验，写论文，投稿，参加学术会议，没一件是轻松愉快的。 现在的考核都是非升即走，年轻老师来了就得持续产出，完全没有成长的机会，也没有休息调整的机会，即便是天才也受不了这种机械化安排吧 ,27,54,953,正面
1058406865,OuRIY1dLw,砍柴书生V,2024-08-31 22:41:27,东南大学和山东大学，分数差不多的话，选哪个好？ ,11,52,96,正面
2827386331,OlRTfrfM7,科技新一,2024-07-03 18:34:03,帮朋友问，山东的，今年高考成绩不错，在吉林大学、山东大学、四川大学三所学校之间纠结，综合比较，以及未来的发展，你们觉得去哪所学校比较好？ ,31,473,1243,正面
1497207703,Oo600k9Ld,石静遐,2024-07-18 10:09:46,刚又接到一个好消息，山东一位多年网友的女儿提前批录取山东大学~  真好。  就之前说到的，大部分省都对自己本省生源有倾斜，考本地985、211，分数的性价比最高，只是也有很多孩子不喜欢留在本省，想走远一点换一个氛围呆四年或者七年。  我们本届好几个孩子报在福州大学这个211，就真的是家门口的大学 ...全文,1,39,263,正面
1827402574,Ow5m5t9cX,第九个加乐格,2024-09-08 23:13:51,#山东大学34岁博导突发心梗离世# 近五年，李海增以一作或通讯作者在主流杂志发表学术论文30余篇。这是不是算很大的强度了？ ,4,50,312,正面
7826119714,OsfNfgETy,还要打工四十一年QAQ,2024-08-14 18:27:00,#沙东故事# 《不知道你有没有了解过山东大学是山东最好的大学》《导师禁止谈恋爱》？《逐出师门》《发配沙漠治沙》《咱俩偷偷谈》 ,7,38,541,正面
