用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,uni_id,认证,url
阿七呀,8154,2024-12-05 14:07:39,“齐鲁最高学府，山东人眼中的清北”#山东大学威海校区,0分:0秒,375,26,118,0,81,7444805423183482164,,https://www.douyin.com/discover?modal_id=7444805423183482164
立早章,181,2024-12-06 13:10:32,山东大学好样的。#山东大学 #钓鱼执法 #反诈  被山大诈骗了😅😅😅,0分:0秒,14,0,1,0,8,7445161781036600586,,https://www.douyin.com/discover?modal_id=7445161781036600586
济南升学志愿无忧,2,2024-12-06 14:59:58,山东高校梯队排行#山东高考 #家长必读 #高考,0分:0秒,1,0,0,0,0,7445190021293886777,,https://www.douyin.com/discover?modal_id=7445190021293886777
丁教授,163,2024-12-06 12:05:31,山东大学。山东大学位于山东省济南市，是一所学科齐全、实力雄厚、特色鲜明的教育部直属重点综合性大学，是国家“985工程”、“211工程”、“双一流”建设高校。学校开设98个本科专业，……版本过低，升级后可展示全部信息,0分:0秒,8,0,0,0,0,7445145068224220475,,https://www.douyin.com/discover?modal_id=7445145068224220475
奥斯卡反诈骗历史哥,16877,2024-12-05 23:24:13,#山东大学,4分:41秒,331,97,31,4,35,7444948879340031244,,https://www.douyin.com/discover?modal_id=7444948879340031244
升学规划/张老师,467,2024-12-06 18:37:41,山东大学2024年综合评价招生  山东大学只在山东省内有综合评价招生计划。 2024年计划招生300人。分三个专业组，学生填报志愿只能填报一个专业组，最多可填报一个专业组中的6个专……版本过低，升级后可展示全部信息,0分:0秒,2,0,0,0,0,7445246083191688460,,https://www.douyin.com/discover?modal_id=7445246083191688460
小抖擞,7407,2024-12-06 06:15:02,学无止境，气有浩然！ 知识改变命运 学习成就未来，心有所信 方能远行！ 打卡山东大学！ #校园随拍 #大学校园 #校园回忆 #大学 #大学校园,0分:0秒,41,0,9,0,0,7445054486441233727,,https://www.douyin.com/discover?modal_id=7445054486441233727
还没想好,0,2024-12-06 15:51:46,#济南 #山东大学 #上热门,0分:0秒,2,0,1,0,3,7445203382777793850,,https://www.douyin.com/discover?modal_id=7445203382777793850
咕噜学姐讲自考,28,2024-12-06 08:45:01,💰️关于山东2025年自考花费。📍山东下半年自考报名马上就要开始啦，很多同学对于自考收费有顾虑，怕被割韭菜， 今天就给大家把助学点大概的费用整理出来，以供大家参考。.不同院校专业花费.💰️5~9K+山东大学计算机科学与技术、工程管理、行政管理、法学山东师范大学小学教育、学前教育、 汉语言文学.💰️5K+山东第二医科大学护理学、医学检验技术、药学山东财经大学金融学、会计、工商管理.💰️9K+中国传媒大学网络与新媒体、数字媒体艺术、动漫设计哈尔滨工程大学计算机、汉语言、 工商管理、土木、会计.💰️1w+中国药科大学健康服务与管理哈学院环境设计、环境艺术设计.📌篇幅有限，Z后还是要提醒大家小自考个人是报名不了的，只能在助学点报名，自考的坑很多，大家一定要了解清楚再去报考，不懂的话可以丝✉️#自考 #自考本科 #自考报名 #自考本 #自考流程,0分:0秒,0,0,0,0,0,7445092353129319690,,https://www.douyin.com/discover?modal_id=7445092353129319690
唠上二毛钱的,118,2024-12-05 16:30:50,山东省内大学排名#大学排名 #山东,0分:0秒,20,1,1,0,1,7444842341577313577,,https://www.douyin.com/discover?modal_id=7444842341577313577
冀教育挑大学,7159,2024-12-06 12:15:33,山东大学，一所被低估的985#河北高考#高校解读 #山东大学 #升学规划#大学,1分:34秒,2,0,0,0,3,7445146529700138303,店铺账号,https://www.douyin.com/discover?modal_id=7445146529700138303
升学规划刘老师,4,2024-12-06 11:10:09,#山东高考 #山东的大学投档线#山东的大学分数线,0分:0秒,3,2,1,0,1,7445130766834486569,,https://www.douyin.com/discover?modal_id=7445130766834486569
每天都要11点前睡觉,18,2024-12-06 12:27:03,不是298我是真有啊 有点想买˃ʍ˂,0分:0秒,1,0,2,0,0,7445150570479914281,,https://www.douyin.com/discover?modal_id=7445150570479914281
山东大学,667929,2024-12-06 11:00:06,To准研究生：下一站到达山东大学～#山东大学#考研#上岸 制作：张雨婷 #考研,0分:18秒,658,24,15,0,38,7445128186662227252,山东大学官方抖音号,https://www.douyin.com/discover?modal_id=7445128186662227252
郭子 教你选大学,88,2024-12-05 10:02:54,国家电网 山东 录取院校方向。电网录取的学校依然是这几所，想去电网的可以看看我要报哪几所大学#升学规划 #国家电网 #电气类专业 #金饭碗大学 #,0分:0秒,377,276,225,0,384,7444742404894199100,,https://www.douyin.com/discover?modal_id=7444742404894199100
