微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
1730784747.0,,牛华勇,2024-11-11 23:22:05,三天内，两位敬爱的师长走了。一位是我校英语学院的张耘教授，一位是山东大学的黄少安教授。到这个年龄虽然应该学习得看开一些。但两位师长，都是极其令人尊重的，无论是学问还是做人，都是我辈楷模！两位前辈千古！ ,1.0,13.0,49.0,中国,北京,北京,物澤芳華，學以啟世；和光同塵，為而不爭。,4658.0,16.5万,m,https://m.weibo.cn/u/1730784747?,https://m.weibo.cn/detail/OFOLd9M1a,OFOLd9M1a
1647210043.0,,百姓关注,2024-10-24 13:11:36,【#山东一高校曝男生多次偷拍女厕被抓# 学校：正在处理此事】#山东多名大学生发帖怒斥偷拍男# 10月22日，山东大学多名学生发帖谴责一男生在理综楼女厕所多次偷拍女生的行迹。有学生表示，一女生拍到偷拍男的正脸后发贴怒斥，但没多久帖子就被学校删除了。还有截图显示，疑似该男生承认多次偷拍，并求饶 ...全文,206.0,319.0,3593.0,中国,贵州,贵阳,热线爆料三种方法：①拨打热线13984842424或0851-85377666；②下载《百姓关注》手机客户端爆料；③《百姓关注》微信号菜单进入爆料,564.0,383.3万,m,https://m.weibo.cn/u/1647210043?,https://m.weibo.cn/detail/OD14twVIv,OD14twVIv
2827386331.0,,科技新一,2024-07-03 18:34:03,帮朋友问，山东的，今年高考成绩不错，在吉林大学、山东大学、四川大学三所学校之间纠结，综合比较，以及未来的发展，你们觉得去哪所学校比较好？ ,31.0,478.0,1253.0,中国,山东,,商务微信:newone9988 团队招拍摄、剪辑，加微信webthinker,2173.0,624.1万,m,https://m.weibo.cn/u/2827386331?,https://m.weibo.cn/detail/OlRTfrfM7,OlRTfrfM7
5948790343.0,,啬挞,2024-11-20 18:49:18,#易烊千玺 喜欢和小猫交朋友的大朋友#  宝宝为什么会有山东大学的月饼 @TFBOYS-易烊千玺 ,7.0,12.0,78.0,中国,广西,柳州,,260.0,1.1万,f,https://m.weibo.cn/u/5948790343?,https://m.weibo.cn/detail/P1cmDsrUC,P1cmDsrUC
7749962116.0,,格格来了0503,2024-11-01 17:24:26,董宇辉董老师访谈山东大学教授、作家马瑞芳老师，一起品读《西游记》。宇辉用简洁的语言总结了访谈，感慨：孙悟空身上有着中国人最朴素的正义感，这种正义感，以其极其朴素的体现，成为这个作品生生不息，且这个人物形象受到喜欢的根本原因。#董宇辉# 格格来了0503的微博视频 ,3.0,62.0,194.0,中国,安徽,合肥,生活不止于眼前，还有诗和远方,1461.0,1.5万,f,https://m.weibo.cn/u/7749962116?,https://m.weibo.cn/detail/OEg958wYr,OEg958wYr
5233750378.0,,Dec-zz,2024-12-22 10:29:30,青春正当时 奋斗向未来#山东大学##研究生#  （ps：蔬菜校长追星成功 济南·山东大学中心校区 ,6.0,9.0,69.0,中国,山东,济南,萬事勝意,277.0,721,f,https://m.weibo.cn/u/5233750378?,https://m.weibo.cn/detail/P60LEy3Vq,P60LEy3Vq
6660835434.0,,PETD亚洲善待导师组织,2024-10-01 17:31:06,导～刚刚保研上岸，但是一点开心不起来因为最终的选择是在家人的干预下作出的，始终没有勇气坚持自己内心深处的想法也没有底气和家里人硬刚已经过去好几天了，情绪还是比较差，请问如何调理  自己想去中国科学院大学（公共政策与管理学院），最后在家人的建议下去了山东大学（政治学与 ...全文,5.0,113.0,2659.0,中国,北京,北京,一位导师的日常吐槽&amp;bot，关于科研论文，出国留学，和考研读博 PETD：People for the Ethical Treatment of Daoshis,407.0,58.5万,m,https://m.weibo.cn/u/6660835434?,https://m.weibo.cn/detail/OzxWoayoq,OzxWoayoq
2511392284.0,,N年不痒ING,2024-10-05 12:08:32,📍𝐉𝐢 𝐍𝐚𝐧｜山东大学 带小飞侠继续打卡当地名校，感受一下象牙塔的氛围～ 有了娃呢，旅游路线都跟以前不一样了～ #爱旅游的小飞侠##小飞侠游学记# 济南·山东大学中心校区 ,0.0,28.0,151.0,中国,山东,济南,《七年不痒ing》，夫夫生活19年～,277.0,18.3万,m,https://m.weibo.cn/u/2511392284?,https://m.weibo.cn/detail/OA7xrj2g5,OA7xrj2g5
3849050029.0,,考古系大师姐,2024-12-22 10:54:44,新文科创新实践大赛全国前十名决赛，山东大学考古学团队以绝对优势获得第一我们团队第一次参加比赛就获得金奖。考古是有多热啊！向冠军学习，明年再战！ ,2.0,3.0,26.0,中国,山东,,致力于普及考古小知识，人人都能看懂的考古。,488.0,107.8万,f,https://m.weibo.cn/u/3849050029?,https://m.weibo.cn/detail/P60VTzUa3,P60VTzUa3
1559441203.0,,曾经是只小可爱,2024-12-04 15:22:27,今天看论文，发现这么一篇论文，第一单位是山东大学的，合作单位有新加坡的南洋理工跟台湾地区的亚洲大学。虽然学术交流很正常，但你把People's Republic of China跟Taiwan并列，你山东大学就这么没有敏感度吗 ,11.0,12.0,93.0,中国,山东,淄博,谨慎，这是个男的！第六道菜美食家~本名张芝橙~那个喜欢鞠婧祎的男生~永远爱糖公主~,900.0,17.1万,m,https://m.weibo.cn/u/1559441203?,https://m.weibo.cn/detail/P3iZCud97,P3iZCud97
