微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
3203137375.0,,四川观察,2024-12-05 15:04:04,【#想去冰雪大世界偶遇冰冰#】12月4日，哈尔滨冰雪大世界面向全国发起招募，凡是名字中含有“冰冰”或“雪雪”（名字必须为叠字，以个人有效身份证作为依据）的游客，均可在第二十六届哈尔滨冰雪大世界开园后（运营期内）凭个人有效身份证免费入园游玩一次。#冬天最好的解压药是看雪#网友：恭喜王冰冰 ...全文,15.0,29.0,46.0,中国,四川,成都,合作邮箱：sichuanguanchayy@qq.com,930.0,1460.4万,f,https://m.weibo.cn/u/3203137375?,https://m.weibo.cn/detail/P3siEBO84,P3siEBO84
5755011426.0,,影剧大叔,2024-12-06 09:30:34,王冰冰的颜值真是央视之光，美得能与娱乐圈明星一较高下 ,1.0,43.0,62.0,中国,湖北,黄冈,知名电影博主，商务jinengsusu,155.0,27.7万,m,https://m.weibo.cn/u/5755011426?,https://m.weibo.cn/detail/P3zxN0FoY,P3zxN0FoY
5519199499.0,,戳爷的火醬,2024-12-05 20:24:15,#名字含冰冰或雪雪可免费玩冰雪大世界#@范冰冰 @李冰冰 @王冰冰 带我去 ,0.0,6.0,21.0,中国,江苏,南京,how you don't miss me?,1348.0,1.4万,m,https://m.weibo.cn/u/5519199499?,https://m.weibo.cn/detail/P3uoCogKr,P3uoCogKr
6505463575.0,,霹雳时光机,2024-12-05 13:06:56,喜报！范冰冰、李冰冰、王冰冰，获得哈尔滨冰雪大世界免费入园游玩资格一次！ ,1.0,28.0,39.0,中国,北京,北京,您的电子榨菜和八卦秘书  📮chichimubin@qq.com  讨厌我又要看我的人一辈子都发不了财呢～,543.0,35.5万,f,https://m.weibo.cn/u/6505463575?,https://m.weibo.cn/detail/P3rx7vkqC,P3rx7vkqC
6614073323.0,,野间小舞,2024-11-29 20:16:05,《今日🐯谈》 ,60.0,28.0,232.0,中国,黑龙江,黑河,试图掳走小仓鼠,563.0,3520,f,https://m.weibo.cn/u/6614073323?,https://m.weibo.cn/detail/P2zMklS7v,P2zMklS7v
7621564678.0,,丝图侦探,2024-11-25 10:00:01,王冰冰 ,10.0,8.0,120.0,中国,湖南,株洲,分享美图和视频，以及二创视频剪辑，如有侵权请告知,1016.0,7.1万,m,https://m.weibo.cn/u/7621564678?,https://m.weibo.cn/detail/P1U2hn4A7,P1U2hn4A7
6296575654.0,,哎哟哥哥在三年二班,2024-12-31 20:28:32,王冰冰#和2024好好告个别#  冰冰谢谢你，二五年继续 ,10.0,120.0,95.0,中国,浙江,温州,行到水穷处，坐看云起时,131.0,2225,m,https://m.weibo.cn/u/6296575654?,https://m.weibo.cn/detail/P7rxh3xyQ,P7rxh3xyQ
2645654357.0,,黑龙江共青团,2024-12-29 18:44:34,王冰冰来冰雪大世界了！名字带“冰冰”一定是免费进来的！天气冷冷的，我的心是冰冰的 #属于东北的未完待续##冰雪大世界最有效的应援方式出现了# @吃花椒的喵酱 黑龙江共青团的微博视频 ,15.0,22.0,23.0,中国,四川,南充,最新鲜、最热门的资讯前线；有温度、有力度的倾情代言；懂趋势、接地气的掌上助手；超炫酷、贼靠谱的青春伙伴！,1538.0,144.2万,f,https://m.weibo.cn/u/2645654357?,https://m.weibo.cn/detail/P78054ocK,P78054ocK
6341534190.0,,龙首原上望长安,2025-01-05 21:46:38,王冰冰  大家晚上好 截修·《说走就走·哈尔滨 | 冰天雪地任逍遥》 横屏5120×2880，竖屏2880×5120 冰冰就是冰天雪地中的暖宝宝 （大家记得加载原图） ,9.0,22.0,35.0,中国,陕西,西安,别取关，换了个昵称而已，会继续发冰冰截修,489.0,439,m,https://m.weibo.cn/u/6341534190?,https://m.weibo.cn/detail/P8dbsixEu,P8dbsixEu
1728875812.0,,海尔,2025-01-04 14:24:35,#新年送你一套小红花# 知道宝子们已经等不及啦出发！尔滨，我们来啦戳👇1月5日13：00锁定《说走就走•哈尔滨｜冰天雪地任逍遥》直播间，我们哥俩带宝子们一起跟随央视总台主持人王冰冰@吃花椒的喵酱 和任鲁豫@任鲁豫 ，走进哈尔滨冰雪大世界，见证在冰雪世界里的温暖奇迹，解锁海尔 ...全文,107.0,44.0,178.0,中国,山东,,在这里，你将认识一个不一样的海尔！,1748.0,294.1万,m,https://m.weibo.cn/u/1728875812?,https://m.weibo.cn/detail/P80Rx5qct,P80Rx5qct
