微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5167020321539665,Ps7vi6sxj,01234567_O,2025-05-16 20:05:06,疑似东北雨姐复出 ,0,5,82,中国,上海,上海,^,279,11.2万,男,https://weibo.com/u/2326409750,https://m.weibo.cn/detail/Ps7vi6sxj,Ps7vi6sxj
5086172110395638,OA9Jh1EVg,KS岩少,2024-10-05 17:43:10,#曝东北雨姐打人者年薪十多万# 村民爆：东北雨姐雇佣两个打手，都是当地的地痞无赖，（地赖子）一个人工资一年都是十多万。#东北雨姐雇佣打人者一年十多万# KS岩少的微博视频 ,8,35,565,中国,河北,N/A,,585,106.5万,男,https://weibo.com/u/5540785527,https://m.weibo.cn/detail/OA9Jh1EVg,OA9Jh1EVg
5157114364825374,PnXNWkfiC,梨视频,2025-04-19 12:02:22,【#B太再回应说东北雨姐真实#】 4月19日，@superB太 发视频再次回应此前称“东北雨姐真实”一事：之所以说东北雨姐真实，是因为看到了她生活中的干活状态，以及她们夫妻俩的性格，和她们之前视频里的表现真的很像。 梨视频的微博视频  ,43,231,2308,中国,上海,上海,［视频报料邮箱］：yishou@pearvideo.com；［自媒体入驻网址］：http://www.pearvideo.com/join,3105,2641.4万,男,https://weibo.com/u/6004281123,https://m.weibo.cn/detail/PnXNWkfiC,PnXNWkfiC
5092574259839812,OCQhjFhME,四川观察,2024-10-23 09:43:02,【#没有了东北雨姐的磨石峪村#】近日，四川观察记者就网友关心的问题暗访了此前@东北雨姐 团队拍摄地磨石峪村。记者在村里遇到帮雨姐做农活的人，他们称：“房屋有人住，猫狗有人喂养。”记者走访村里多户人家，有村民称“雨姐不愿意（待见）他们”，也有村民称“雨姐是好人”。#雨姐商贸挂牌出租出售# ...全文,71,204,1439,中国,四川,成都,合作邮箱：sichuanguanchayy@qq.com,1033,1505.3万,女,https://weibo.com/u/3203137375,https://m.weibo.cn/detail/OCQhjFhME,OCQhjFhME
5092206237189230,OCGHJuafk,软柿子扒星,2024-10-22 09:20:38,#东北雨宙#实锤了，东北就是一个巨大的《雨宙》一个雨姐倒下了，又有无数个雨字辈的站起来！东北雨快成复姓了！咱就是说咱东北人拍这种视频是有补贴的吗？？？ 软柿子扒星的微博视频 ,23,96,959,中国,吉林,N/A,娱乐点评人。,901,810.2万,男,https://weibo.com/u/5389720333,https://m.weibo.cn/detail/OCGHJuafk,OCGHJuafk
5155361692059103,Pned38DFl,小菟春,2025-04-14 15:57:52,#东北雨姐带货红薯粉条厂欠税22.7万#额滴神，那她东北雨姐交完罚款是不是就可以像别的人一样复出了…现在互联网真的没记忆吗？ 小菟春的微博视频 ,0,26,145,中国,辽宁,N/A,私人账号｜前男友阳痿一辈子,3070,1.3万,女,https://weibo.com/u/7785819728,https://m.weibo.cn/detail/Pned38DFl,Pned38DFl
5157249506086722,Po1jUpxqW,董克川,2025-04-19 20:59:22,#B太再回应说东北雨姐真实#想念雨姐，我知道这样评论会招来非议，但是雨姐比很多大网红好多了 董克川的微博视频 ,0,24,277,中国,江西,上饶,娱乐宣发私信联系,974,6.6万,男,https://weibo.com/u/5274628707,https://m.weibo.cn/detail/Po1jUpxqW,Po1jUpxqW
5166612152060136,PrWSX8DW0,香香是猪蹄,2025-05-15 17:03:11,天津李四直言东北雨姐小杨哥出事是因为保证不了产品质量为什么那么多主播小杨哥东北雨姐出事儿，因为他们保证不了东西的质量，我卖的东西全都是我自己做，仓库给你们发货，我能控制好质量的， 所以咱得东西没有差评，我就保证我衣服的质量，就是不变形，穿的就是舒服，不好能卖10多万单吗。天津李四 ...全文,1,3,11,中国,福建,漳州,星红扒皮 欢迎投稿,124,77万,女,https://weibo.com/u/6523866447,https://m.weibo.cn/detail/PrWSX8DW0,PrWSX8DW0
5155327948357756,PndkCz4ew,澎湃新闻,2025-04-14 13:43:46,【网红“东北雨姐”带货的红薯粉条厂家被公告欠税22.7万元】#东北雨姐带货红薯粉条厂欠税22.7万# 4月14日，澎湃新闻查询全国统一规范电子税务局官网获悉，近日，辽宁朝阳县六河粉条制造有限公司新增3条欠税公告，欠税总金额为22.7万余元，欠税税种为企业所得税、城市维护建设税、增值税。此前，网红“ ...全文,51,116,724,中国,上海,上海,有内涵的时政新媒体,716,3264.7万,男,https://weibo.com/u/5044281310,https://m.weibo.cn/detail/PndkCz4ew,PndkCz4ew
5166945836206205,Ps5z9q2w5,福露寿喜烧,2025-05-16 15:09:07,大家觉得东北雨姐年轻的时候怎么样？ ,0,1,23,中国,四川,成都,看我主页的🐒粉4000+,1435,2.1万,女,https://weibo.com/u/7117327909,https://m.weibo.cn/detail/Ps5z9q2w5,Ps5z9q2w5
5166307823321374,PrOY6dW2y,Augustus_F重开版,2025-05-14 20:53:52,特别反感有段时间很火的“东北雨姐汗脚”梗。东北雨姐未必有汗脚，但是粗粝的手脚是千千万万劳动妇女身上真是存在的。也许这个网红的人品有问题，但把干农活的脚异化成为带有性意味的标签，加之嘲讽贬低是什么意思呢？规劝女性都脱离生产，踩上高跟鞋、做着精致美甲，甚至裹上三寸金莲，才有资格拥有性 ...全文,0,2,25,中国,福建,厦门,我尊重你的命运，理解你的局限，无所谓你的行为。,108,5917,男,https://weibo.com/u/6541261758,https://m.weibo.cn/detail/PrOY6dW2y,PrOY6dW2y
5157250458191104,Po1lrymSA,评城风雨,2025-04-19 21:03:09,#B太再回应说东北雨姐真实#生活真实，产品不真实有啥用之前雨姐红薯粉翻车，B太也被牵连，就因为他曾说雨姐真实。这次B太晒出当时拍摄素材，说雨姐家拍摄用手机，房子又破又旧，看着不像是有团队作秀 ，这都无所谓，最重要的是他们欺骗了消费者#热点观点# ,14,1,29,中国,天津,天津,传播正能量，希望每个人都能够被温柔以待,1600,8.1万,男,https://weibo.com/u/3209718350,https://m.weibo.cn/detail/Po1lrymSA,Po1lrymSA
5163240568914095,PqxaUBoXJ,2Culvert,2025-05-06 09:45:42,#疯狂小杨哥露面#我刷到东北雨姐了，改名乡村小煮妇了我记得有人说过，扶持一个公司不保证，想毁掉一个公司很容易，互联网卖假货的多了去了，哪个平台都有，只是他们太火了 ,0,38,166,中国,浙江,台州,如果不是黎深 情话不会那么动人,1575,3.8万,男,https://weibo.com/u/7838732753,https://m.weibo.cn/detail/PqxaUBoXJ,PqxaUBoXJ
5161840737781622,PpWL7wEm2,识物客,2025-05-02 13:03:17,东北雨姐好像全线回归了，相关矩阵号都开始正常更新了 ,13,21,63,中国,浙江,杭州,商务合作＋WayneGuo,1465,78.4万,男,https://weibo.com/u/2727500161,https://m.weibo.cn/detail/PpWL7wEm2,PpWL7wEm2
5169015502934382,PsXpkcjmK,从话剧中诞生的心愿,2025-05-22 08:13:14,东云绘名即是雨，东云绘名有个外号是姐，所以恶娜娜是东北雨姐#世界计划# ,0,0,0,中国,福建,福州,看到类似机/精神蝻会咔 此号不社交 点主页没咔你就是查成分或者手滑别被害妄想 点多次就是查过你但是把你忘了,150,22,女,https://weibo.com/u/7654051196,https://m.weibo.cn/detail/PsXpkcjmK,PsXpkcjmK
5168998656246867,PsWY9qd5V,正义化身_,2025-05-22 07:06:18,#B太称好心照顾大爷生意反被骗#东北雨姐的好弟弟 ,0,0,0,中国,广东,广州,老百姓,400,435,男,https://weibo.com/u/5841720922,https://m.weibo.cn/detail/PsWY9qd5V,PsWY9qd5V
