微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5169056450611999,PsYtn2zcX,Emit_77,2025-05-22 10:55:57,接上条，你看之前一堆人不信京东就给3分钟，我店设置的是11点开始营业，这边10:52就提示备餐用时4分钟，订单超时未出餐了 以及商家不能取消订单，再以及我们也不能联系骑手，告诉他这一单的情况，没有这个功能，看不到骑手电话 ,13,7,42,中国,海南,海口,我只是一个再普通不过的姑娘，就像细雨中的花园，有时细雨忧郁，有时花园艳丽。,772,43.3万,女,https://weibo.com/u/2003821523,https://m.weibo.cn/detail/PsYtn2zcX,PsYtn2zcX
5164047591804271,PqSaz7zn9,第一帮帮团,2025-05-08 15:12:32,#京东外卖多家品质堂食店被曝造假# 【“品质堂食”造假上线，京东外卖亟需把好关】#多家京东品质堂食外卖造假过审上线#  今年2月份，京东外卖正式启动“品质堂食餐饮商家”招募！堂食标准意味着对商家的经营实力、卫生状况、就餐环境等都有更高的要求。然而，帮帮团却接到市民爆料，称不少京东外卖上线 ...全文,230,310,1173,中国,福建,福州,FJTV1《第一帮帮团》栏目 “大家帮大家，我们有一套”爱心公益平台 栏目热线0591-38280880。首播每晚18：00 重播10:30（次日）。,308,120.2万,男,https://weibo.com/u/1714800385,https://m.weibo.cn/detail/PqSaz7zn9,PqSaz7zn9
5169057521468821,PsYv66a6F,宝藏少年阳阳,2025-05-22 11:00:12,数码党狂喜！谁说爱好不能当饭吃！5月22日京东发烧友惊喜日直接给咱整活了！想买新3C数码装备的宝子有福了！在京东买手机、电脑等3C数码产品，直接送20元京东外卖券，四舍五入等于东哥请咱吃饭！听说当天还有殿堂级数码装备1元起拍？这波羊毛不薅简直对不起自己！更懂咱们发烧友的还得是京东啊，购物 ...全文,1022,1057,2065,中国,上海,上海,,19,110.4万,男,https://weibo.com/u/2677458694,https://m.weibo.cn/detail/PsYv66a6F,PsYv66a6F
5167592902755132,PsmoObyJC,北京JDG王者荣耀分部,2025-05-18 10:00:20,#JDG全网寻找饭搭子#知道大家平时在游戏里都没少“蹲”，吃饭优惠的事儿，就不让大家蹲了，交给@JDG无畏 和@京东外卖 就好！现在就打开京东APP搜索“无畏”，领「无畏专属券」，吃顿好的不用蹲。#518京东超级外卖日#传送门：网页链接#坚定所信 京刃破晓# 北京JDG王者荣耀分部的微博视频 ,65,224,1626,中国,上海,上海,business@jdgaming.com,344,144.4万,男,https://weibo.com/u/6726577529,https://m.weibo.cn/detail/PsmoObyJC,PsmoObyJC
5158646134348110,PoBExif8O,向阳视频,2025-04-23 17:29:04,【#骑手说送京东外卖单价高像10年前#：好几个商家爆单了】#骑手初次送京东外卖8单挣60# 近日，京东高调宣布进入外卖市场，并称主打“品质外卖”。4月23日，西安一骑手@张老九的生活 发视频称“今天是第一天跑京东外卖，跑了两趟一共8单，挣了59.26元。自己跑的区域好几家商家都爆单了，自己感觉很不错 ...全文,94,219,2502,中国,陕西,西安,阳光报向阳视频官方微博,739,106.9万,男,https://weibo.com/u/1791326655,https://m.weibo.cn/detail/PoBExif8O,PoBExif8O
5168815504886290,PsScKkv98,玛卡mua咔,2025-05-21 18:58:31,感觉京东外卖这波进场进了个寂寞也没玩啥新颖的光想打价格战结果隔壁几家跟着降，降了更多，把他这招完全就给破了当然我不懂任何经济学原理啊，我是单纯的从一个消费者的角度感慨，目前我买一个西瓜，优惠力度，淘宝＞美团＞京东买超市日用小物，美团＞淘宝＞京东至于大小家电，现在有了国补以 ...全文,0,6,15,中国,北京,北京,终不似，少年游,737,1552,女,https://weibo.com/u/7733862724,https://m.weibo.cn/detail/PsScKkv98,PsScKkv98
5168709568303352,PsPrSyQ52,orange是唯1可以eat的color,2025-05-21 11:57:34,商战过后也不便宜了你们的大额优惠券都是哪里领的！！今天午饭🥣东哥竟然要了我18大洋，以前都是个位数的#京东外卖# ,0,15,37,中国,四川,成都,镇魂,3448,6137,女,https://weibo.com/u/6473028493,https://m.weibo.cn/detail/PsPrSyQ52,PsPrSyQ52
5168774598365580,PsR8Lz6gI,欧阳秋叶,2025-05-21 16:15:58,京东外卖要求商家须承诺低价否则收取双倍违约金快科技报道，近期，有商家晒出京东外卖发布的商家公告，其页面称，“如果您承诺商品相关价格不高于线下实体门店、自有平台或其他销售平台/渠道的对应商品价格，请点击‘确认’，即刻进入免审绿色通道。”该公告同时指出，京东外卖将不定期抽检商品相关 ...全文,1,23,51,中国,山东,济宁,业余评测；兼职声优；小说作者；爱好摄影；精研做饭；懂点医学；设计产品；营销策划；hr主管；电商运营顾问；承心品牌创始人,453,39.6万,男,https://weibo.com/u/1744823950,https://m.weibo.cn/detail/PsR8Lz6gI,PsR8Lz6gI
5168755500123196,PsQDY0w32,奔现,2025-05-21 15:00:05,#京东发烧友惊喜日 明天别错过# #京东心动购物季 又好又便宜#四千的音箱我不看，四万的音箱看测评，四十万的音箱我高低得仔细瞅瞅怎么个事儿！5月22日京东开启发烧友惊喜日拍卖活动，数十款殿堂级神作数码产品均1元起拍，这热闹我必须凑！买3C数码新装备就上京东，东哥还发20元京东外卖券请吃饭，来！ ...全文,2865,49,3483,中国,广东,深圳,,1197,972.1万,男,https://weibo.com/u/6315899738,https://m.weibo.cn/detail/PsQDY0w32,PsQDY0w32
5168780150047596,PsRhJ0cnG,醒醒Larissa,2025-05-21 16:38:01,#京东发烧友惊喜日 明天别错过# 是谁还不知道，马上就到5.22京东发烧友惊喜日啦！上午10点，拯救者刃9000k、万特佳孔雀限量款钢笔等数十款发烧藏品1元起拍，错过再等一年！现在打开京东APP搜“发烧友惊喜日”进入会场预约，保证金拍卖会结束就退无压力。有机会把心头好低价带回家！而且，买3C数码新装 ...全文,1724,1519,9621,中国,浙江,杭州,知名美妆博主，生活达人,247,326.3万,女,https://weibo.com/u/5927831395,https://m.weibo.cn/detail/PsRhJ0cnG,PsRhJ0cnG
5169062101386826,PsYCu5OMa,一不小心就不喜欢你了,2025-05-22 11:18:24,#京东上线停产的iPodtouch#数码发 烧友的福利来咯，5月22日京东发 烧友惊喜日，买装 备送20元京东外卖券，让咱爱好和胃都得到满足！ ,0,0,0,中国,广西,南宁,,194,1万,女,https://weibo.com/u/2521057073,https://m.weibo.cn/detail/PsYCu5OMa,PsYCu5OMa
5169061971362137,PsYCh5IlX,神穗木诗音,2025-05-22 11:17:52,#京东上线停产的iPodtouch#谁说数码和美食不能同时拥有，5月22日京东发 烧友惊喜日，买3C数码装 备就送20元外卖券，满21元就抵，赶紧冲！ ,0,0,0,中国,广西,南宁,,44,1万,男,https://weibo.com/u/3553333673,https://m.weibo.cn/detail/PsYCh5IlX,PsYCh5IlX
