微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5166984108441945,Ps6ySzq8p,允许你摸摸在下柔软的肉垫,2025-05-16 17:41:11,你好仙术杯#7，请支持拟态学者 ,183,6,241,中国,江苏,宿迁,00光速遁走｜托恩姐｜号公100%｜绝赞毫升堕中｜约稿工具人,186,455,女,https://weibo.com/u/7782281136,https://m.weibo.cn/detail/Ps6ySzq8p,Ps6ySzq8p
5117072246048894,P7a7SpnAO,飞飞飞君,2024-12-30 00:09:17,#明日方舟##仙术杯# 第六届仙术杯完结撒花！！有幸为这次直播中的历届冠军集锦pv画了插图，选手们都超帅！！查资料的时候一不小心就变成专心欣赏往届录播，这严重耽误了我的工期（不是半球老师说直播时候放出的PV是未完成版（？）之后会有完成度更高的pv视频，期待 ,96,18,599,中国,上海,上海,写写画画觉得有趣的东西~b站和lof同名~欢迎找我玩w,108,7578,女,https://weibo.com/u/2212092715,https://m.weibo.cn/detail/P7a7SpnAO,P7a7SpnAO
4951049901707087,Nlq2y7a5F,岁聿云暮丨,2023-09-28 20:55:45,明日方舟仙术杯流沙蚀刻章存档[月下] 辞清讼简的微博视频 ,1,9,140,中国,湖南,长沙,我欲穿花寻路，直入白云深处，浩气展虹霓 //直关不回,1309,1.5万,女,https://weibo.com/u/6275955364,https://m.weibo.cn/detail/Nlq2y7a5F,Nlq2y7a5F
5168166985532752,PsBkKndjW,冰封的爱恋若终有一日炽热流淌,2025-05-20 00:01:32,姐妹你还在看jxn啊，我知道你们仙术杯，还是有一些团结的氛围在的……虽然你们仙术杯，乳女，呃，私联，呃，背刺，呃，霸凌，呃，网恋……算了还是来看看粉丝吧，你们粉丝，呃，宝妈，呃，拉踩，呃，真人1v1……算了……你看吧我先走了 ,98,3,104,中国,江苏,南京,"亲爱的,我想起了西伯利亚吹来的冷风和你的眼睛。",328,242,女,https://weibo.com/u/5892400491,https://m.weibo.cn/detail/PsBkKndjW,PsBkKndjW
5164806249911602,PrbUcFAsy,表酱紫好吗,2025-05-10 17:27:10,【自制】突发制作一些民间赛事选手表，仙术杯你崛起吧.jpg4831   专栏 · 自制表格稿件 ,107,7,98,英国,英国,N/A,表格相关测bot一体机，欢迎老公们溅射。投稿前请搜索【置顶】,1078,13.6万,女,https://weibo.com/u/7908495344,https://m.weibo.cn/detail/PrbUcFAsy,PrbUcFAsy
5167410627220834,PshEOuit4,开机请敲四个字母,2025-05-17 21:56:02,其实是有点感慨，原来仙术杯对猫来说真的只是和喜欢的朋友们一起玩一把团队BP肉鸽游戏 ,2,0,51,中国,河南,郑州,😇,147,1011,女,https://weibo.com/u/6875797227,https://m.weibo.cn/detail/PshEOuit4,PshEOuit4
5166655761811845,PrY1i7Blj,昨夜圆车的界园志异,2025-05-15 19:56:28,0121【抽象文案】看得出来你真的很喜欢打肉鸽，有空我教教你吧，我最高萨卡兹肉鸽9难，在身边人已然是顶点，打过三次二结局，没错，就是有两个boss的那个，我有好几个精二干员，甚至有几个技能都专二了，爆裂黎明知道吗，我专二了，你知道什么是进树洞吗，我进过，这就是我的日常，不说了，我还要努力 ...全文,5,6,71,中国,重庆,重庆,接收各种mrfz梗图/段子🥰🥰🥰 这里是bot不是厕所，所以请不要把私人恩怨等等带到这里🥺🥺🥺,35,4543,女,https://weibo.com/u/7987915910,https://m.weibo.cn/detail/PrY1i7Blj,PrY1i7Blj
5166598341794027,PrWwG7wHV,宁静泉流,2025-05-15 16:08:18,：宝贝仙术杯跟谁组队？：跟解说组队：解说队：能打表演赛吗？都不一定有表演赛吧：有啥好表演的呢，看正赛选手打不就好了 ,5,0,83,中国,浙江,N/A,虽然家受是直男，但是家攻是女的啊,448,9.6万,女,https://weibo.com/u/6262549137,https://m.weibo.cn/detail/PrWwG7wHV,PrWwG7wHV
5167239650348169,Psdd31szD,-La_gloire_a_mes_genoux-,2025-05-17 10:36:38,天下苦（）久矣 ,3,5,54,中国,天津,天津,祝你健康快乐 永远自由||老板请来扣肉两份||不看置顶雷点就关注会移除,289,321,女,https://weibo.com/u/6172561370,https://m.weibo.cn/detail/Psdd31szD,Psdd31szD
5148558459146305,Pkne5Cnn3,不冻盒,2025-03-26 21:24:15,（欲言又止）（止言又欲） ,0,7,35,中国,江西,南昌,终会抵达无暇之日。,697,2163,女,https://weibo.com/u/5851988140,https://m.weibo.cn/detail/Pkne5Cnn3,Pkne5Cnn3
5115432015761970,P6tsloaX0,宁静泉流,2024-12-25 11:31:35,表演赛居然也是……有录播的吗…… ,0,7,213,中国,浙江,温州,虽然家受是直男，但是家攻是女的啊,448,9.6万,女,https://weibo.com/u/6262549137,https://m.weibo.cn/detail/P6tsloaX0,P6tsloaX0
5115619668137429,P6yl0y8UR,南方从未雨-,2024-12-25 23:57:15,其实真没必要在网上炫耀我主播在仙术杯抗压位打出6072分这件事，我知道知道这件事的人很多天天提这件事让所有人都知道我主播在仙术杯抗压位打出6072分这件事虽然我主播确实在仙术杯抗压位打出6072分，其实不只我知道我主播在仙术杯抗压位打出6072分这件事，别人也知道我主播在仙术杯抗压位打出6072分这 ...全文,39,3,74,中国,四川,成都,如果时间能回到我们相识第一面,313,407,女,https://weibo.com/u/5125170674,https://m.weibo.cn/detail/P6yl0y8UR,P6yl0y8UR
5166581475705321,PrW5tnWdj,源石鸢尾花,2025-05-15 15:01:17,一直看仙术杯吧，看着看着就困了，没劲，看一会选手和刺大战三十回合，也没意思；你看着没意思吧，看两眼书，书也没意思，看不懂。再看看仙术杯。看一眼仙术杯看一眼书，这就是良性循环。 ,0,2,10,中国,北京,北京,芙荣泣露香兰笑｜人有所操,61,136,女,https://weibo.com/u/7442553738,https://m.weibo.cn/detail/PrW5tnWdj,PrW5tnWdj
5169044713899524,PsYargmry,节能魔法使oreki,2025-05-22 10:09:19,这两届最喜欢的仙术杯选手竟然是校友，开心！！ ,0,0,0,美国,美国,N/A,我等生来注定追求辉光 一如火花向上飞舞,192,55,男,https://weibo.com/u/3901634512,https://m.weibo.cn/detail/PsYargmry,PsYargmry
5169029450826181,PsXLP3sVv,AWXH3752,2025-05-22 09:08:40,啊这，今年仙术杯的新人们，清华+1北大+1中科大+1了，以后能走向国际吗 ,0,0,0,中国,北京,北京,,34,9,女,https://weibo.com/u/5590998970,https://m.weibo.cn/detail/PsXLP3sVv,PsXLP3sVv
5168990314038309,PsWKHgWy1,在其他平行宇宙我們也會是兄妹嗎,2025-05-22 06:33:09,哈哈，其實當一切ASMR對我都沒用的時候我會看薊縣南仙術杯，看一次睡一次很好睡的 ,0,0,0,西班牙,西班牙,N/A,妈妈怀我的时候，天天给我放胎教音乐：不要跟男人说话，不要靠近男人。诅咒我，爱上男人会死去。,177,8,女,https://weibo.com/u/7876398669,https://m.weibo.cn/detail/PsWKHgWy1,PsWKHgWy1
5168905841803839,PsUys7zgb,-太陽照常昇起-,2025-05-22 00:57:29,说实话对我来说最好看的一期仙术杯是杯5啊 ,0,1,0,中国,甘肃,兰州,心诚泽灵,178,5,女,https://weibo.com/u/7956339214,https://m.weibo.cn/detail/PsUys7zgb,PsUys7zgb
5168891732431802,PsUbHacCC,Vanadium_F,2025-05-22 00:01:25,等等 你是说有校友要上仙术杯了？ ,0,1,0,中国,湖南,长沙,蕾缪安厨 | ssycyx,61,16,女,https://weibo.com/u/6522168787,https://m.weibo.cn/detail/PsUbHacCC,PsUbHacCC
5168889654673655,PsU8ljBPx,-星夜巡游时-,2025-05-21 23:53:09,萧然要是不能进仙术杯，这届都不是很想看了。 ,0,2,0,中国,湖北,武汉,,95,14,女,https://weibo.com/u/7145040776,https://m.weibo.cn/detail/PsU8ljBPx,PsU8ljBPx
