微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5169012174490241,PsXjXiQ7f,徐德智在UN,2025-05-22 08:00:01,今天美国12州诉特朗普政府关税案在纽约开庭听审。没想到我在美国头一次进法院是旁听这个案件的审理。我给大家梳理了今天各方的陈述，而且堵门堵到了原告方俄勒冈总检查长雷菲尔德。#美国12州起诉特朗普政府新关税非法# #现场观察# #特朗普贸易战# 徐德智在UN的微博视频 ,16,12,140,美国,美国,N/A,Absence of light is a necessary part. 一个曾经在叙利亚，现在在联合国的小记者。,557,194.4万,男,https://weibo.com/u/1830834613,https://m.weibo.cn/detail/PsXjXiQ7f,PsXjXiQ7f
5168653179817565,PsNYVFbZP,光远看经济,2025-05-21 08:13:30,从数据看，中国经济经受住了关税战的第一波考验#透过财经看世界##财经马拉松##热点解读# 光远看经济的微博视频 ,12,22,111,中国,北京,北京,活动联系助理小李：18501010009,768,508.4万,男,https://weibo.com/u/1435160552,https://m.weibo.cn/detail/PsNYVFbZP,PsNYVFbZP
5168886194639005,PsU2LjsOF,鲁镇的柜台,2025-05-21 23:39:25,目前川普关税战出现一个意味深长的微妙变化：美国重点谈判的十八国，没有谁再急切地抢着排队与美国谈判达成协议，一个也没有。大家都在观望、等待、评估别人的行动，因为大家通过川普在俄乌和谈等重大问题上的反复无常和不着调，看清了川普的交易“艺术”就是虚张声势，谁也不愿意第一个冲上去当冤大头 ...全文,7,3,83,中国,广东,N/A,人文，科技  （知识就是美德）,605,17.1万,男,https://weibo.com/u/6001478971,https://m.weibo.cn/detail/PsU2LjsOF,PsU2LjsOF
5167623509640151,PsncaErQj,央视新闻,2025-05-18 12:01:57,【#特朗普抨击沃尔玛涨价甩锅关税#】#特朗普要求沃尔玛自担关税成本# 美国零售巨头沃尔玛公司高管15日表示，受美国政府关税政策影响，沃尔玛将于本月晚些时候开始上调部分商品售价。17日，特朗普发文抨击沃尔玛将商品涨价归咎于关税，表示沃尔玛去年利润丰厚，理应自行承担关税成本：“他们应该自己‘ ...全文,301,162,626,中国,北京,北京,“央视新闻”是中央广播电视总台新闻新媒体旗舰账号，是总台重大新闻、突发事件和重要报道的首发平台。,2767,1.37亿,男,https://weibo.com/u/2656274875,https://m.weibo.cn/detail/PsncaErQj,PsncaErQj
5166968002842241,Ps68UbVoB,玉渊谭天,2025-05-16 16:37:12,【开谭了: #大数据解析美国关税政策的底层逻辑# 】#谁在影响美国关税政策# 近期特朗普的关税政策“反复横跳”过后，美国终于开始务实，和中国进行会谈。美媒称特朗普同意降低对华关税的主要原因是担心其支持者受到伤害，而谭主分析2388万条社交网络讨论数据后发现，特朗普关税政策转向的背后，不止担心 ...全文,408,91,953,中国,北京,北京,用简单逻辑看复杂世界,63,299.4万,女,https://weibo.com/u/7040797671,https://m.weibo.cn/detail/Ps68UbVoB,Ps68UbVoB
5168813768967245,PsS9WBCMZ,潘22老师,2025-05-21 18:51:37,当时日本那边不认为中美会马上达成协议，其实我觉得也是有道理的。我估计不只是日本，可能全世界普遍都会存在这样的看法。就是说关税协议，应该首先在美国和盟国之间达成。实际上我觉得这也是大家觉得特朗普很疯的一个原因。因为的确我觉得按照正常的情况，大家都知道你你搞这个“关税”是针对中国的， ...全文,15,6,72,中国,上海,上海,,36,48.6万,女,https://weibo.com/u/7507608036,https://m.weibo.cn/detail/PsS9WBCMZ,PsS9WBCMZ
5168785680238329,PsRqE1001,张捷观察-谁是谁非任评说,2025-05-21 17:00:00,【张捷财经】运价涨跌为关税战成本买单#热点观点# #张捷财经# #中美相互调整关税正式实施# 关税作为间接税，其转嫁特性引发复杂博弈，导致运价暴涨暴跌。数据显示，中美航线集装箱预订量跃升 50%，马士基报价涨 96%，沃尔玛、默克等企业通过涨价向消费者转嫁成本，物流商因定价权获利。航运市场受贸易 ...全文,12,3,182,中国,北京,北京,笑骂由人，是是非非任由谁人评说；谈吐有音，曲曲折折自有知音道合。,484,258.7万,男,https://weibo.com/u/1237389341,https://m.weibo.cn/detail/PsRqE1001,PsRqE1001
5168875470854088,PsTLt3AbC,曦阳思慕,2025-05-21 22:56:48,彭博：中国在与美国关税谈判时的强硬姿态，让一些国家相信他们需要在与特朗普政府的贸易谈判中采取更强硬的立场。～ ,2,6,93,中国,上海,上海,擅长说段子，炒股是副业。以上是段子......,87,149.6万,男,https://weibo.com/u/1609962335,https://m.weibo.cn/detail/PsTLt3AbC,PsTLt3AbC
5168391172128956,PsHal8VQ0,专业戳轮胎熊律师,2025-05-20 14:52:21,日本人研究中国还是比美国那群草台班子透彻些……日本的古贺茂明发表了一片文章，说日本应该从中国在中美关税战中胜利，吸取教训。其中有几段是这么写的：美国对中国产生了巨大的误判，在于1、中国比其他任何国家都更在意“面子”，直接投降是不可能的。如果美国对日本直接征收145%关税，日本可能 ...全文,462,565,10329,中国,上海,上海,前游戏风云主持人，现律师~~~以话多而闻名遐迩,1509,250.2万,男,https://weibo.com/u/1471143571,https://m.weibo.cn/detail/PsHal8VQ0,PsHal8VQ0
5169028302899664,PsXJYcakM,天行两端,2025-05-22 09:04:06,20250522天行周四早知道：路透社说日本首席贸易谈判代表赤泽亮正表示，日本要求美国取消关税的立场没有变化。他还表示，如果贸易协议有可能损害日本的利益，他不会仓促达成协议。·美国所谓关税谈判的90天期限到7月份初，如果日本未能与美国达成协议，日本将被征收24%的所谓对等关税。·日本现在主 ...全文,5,18,139,中国,北京,北京,昨夜星辰昨夜风，尽皆流入点滴中,147,23.5万,男,https://weibo.com/u/7785029799,https://m.weibo.cn/detail/PsXJYcakM,PsXJYcakM
5169061248112384,PsYB6y2oU,CCTV国际时讯,2025-05-22 11:15:01,#德国机构预测2025年德国经济0增长#当地时间5月21日，德国经济专家委员会发布了2025年春季专家评估报告。报告预测2025年德国经济将陷入停滞。专家认为，德国经济目前仍处在明显的疲软阶段，整体经济发展缓慢，同时美国政府的关税政策也在对全球经济增长产生负面影响。 CCTV国际时讯的微博视频 ,0,0,0,中国,北京,北京,新闻动态·记者直击·深度观察·精彩评论中央广播电视总台央视国际新闻部第一时间为您呈现,137,156万,男,https://weibo.com/u/1371701597,https://m.weibo.cn/detail/PsYB6y2oU,PsYB6y2oU
5169060341880641,PsYzE7TeV,包容万物恒河水,2025-05-22 11:11:25,🔻特朗普商务部长卢特尼克：“你现在去商店买东西，感觉到关税带来的痛苦了吗？没有，因为没有痛苦。你们有感觉吗？认真的？”🔻观众：“YES！”🔻via axios#美国再遭股汇债三杀##热点现场##海外新鲜事##美债拍卖遇冷# 包容万物恒河水的微博视频 ,1,8,14,中国,四川,眉山,巨大涡流家政服务部顾问、球学家、开源情报搬运工、二手翻译、乐子人、读过一点书、战雷魔兽摸鱼大王、马哲满分、社会治理研究者,3709,104.3万,女,https://weibo.com/u/1671109627,https://m.weibo.cn/detail/PsYzE7TeV,PsYzE7TeV
5169004601934831,PsX7K87kX,萌音大酋长,2025-05-22 07:29:55,中国表示，可能对任何执行美国对华为技术有限公司人工智能芯片使用限制的人采取法律行动，此举将使这场已打破暂时的关税休战协议的争端升级。中国商务部周三在一份声明中表示：“中方认为，美方滥用出口管制手段遏制打压中国，违反国际法和国际关系基本准则，损害了中国的发展利益和企业利益。 ” ...全文,8,3,67,中国,河北,邯郸,小鸡囿于地面，仅能见眼前之虫蚁；而雄鹰翱翔天际，则能洞悉地面万物之态,414,27.7万,男,https://weibo.com/u/7488137069,https://m.weibo.cn/detail/PsX7K87kX,PsX7K87kX
5169017574394751,PsXsFirh5,环球时报,2025-05-22 08:21:28,【#美商务部准备对中国电池材料下手#】#专家称中国电池材料全球竞争力强# 彭博社21日报道称，美国商务部20日初步裁定中国关键电池组件存在补贴，认为中国活性阳极材料生产商获得高额政府补贴，为后续加征反补贴关税铺平道路。对此，接受《环球时报》采访的专家表示，美国以补贴为借口对中国下手，实质 ...全文,23,9,36,中国,北京,北京,报道多元世界    解读复杂中国,451,3126万,男,https://weibo.com/u/1974576991,https://m.weibo.cn/detail/PsXsFirh5,PsXsFirh5
5169056552060582,PsYtx8E3c,李建秋的世界,2025-05-22 10:56:21,前段时间中美贸易谈判，有一个容易被忽视的点，就是美国那边误读了中美目前的贸易构成，美国觉得中国的贸易地位是很容易被取代的，但是只要翻一下这几十年中国对外贸易的构成：1994年，低技术制成品占中国出口商品比重高达50.5%，而高技术制成品占比仅10.7%，这一年是中国出口的元年，自这一年后中国再 ...全文,3,34,168,中国,湖北,武汉,,253,114.3万,男,https://weibo.com/u/1687813073,https://m.weibo.cn/detail/PsYtx8E3c,PsYtx8E3c
