微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5134594950565692,PevYj2na4,新浪新闻,2025-02-16 08:38:15,【票房神话继续！ #哪吒2正面PK美国队长4#】#科学家回应哪吒2中海底炼狱是否编造#据看看新闻KNEWS：《哪吒之魔童闹海》（《哪吒2》）的票房神话还在继续，目前票房已经超过115亿元，哪吒2全球票房TOP11。2月14日，《哪吒2》正式在北美上映，仅预售票房就超过了近20年华语片首周末票房的纪录。同一天， ...全文,125,578,12118,N/A,N/A,N/A,上新浪新闻客户端，每天了解世界多一点。下载客户端：http://sina.cn/j/d.php?k=87,2133,1.07亿,男,https://weibo.com/u/2028810631,https://m.weibo.cn/detail/PevYj2na4,PevYj2na4
5134580501185661,PevB04Yrz,央视新闻,2025-02-16 07:40:50,"#哪吒2海外版台词咋翻译#【#哪吒打油诗英文也押韵#】 我乃哪吒三太子 I am Nezha, the Third Prince bold!  能降妖来会作诗 I slay the demons, I write in rhyme untold.  今日到此除奸恶 Today I come to rid the evil’s breath.  尔等妖孽快受死 You wicked fiends,prepare for death!  《哪 ...全文",357,328,2991,中国,北京,北京,“央视新闻”是中央广播电视总台新闻新媒体旗舰账号，是总台重大新闻、突发事件和重要报道的首发平台。,2759,1.37亿,男,https://weibo.com/u/2656274875,https://m.weibo.cn/detail/PevB04Yrz,PevB04Yrz
5134456601450129,Pesna65fb,超级娱乐特工,2025-02-15 23:28:30,这么做类比，咱国外友人也能无障碍看懂哪吒了吧  哪吒之魔童闹海 哪吒 超级娱乐特工的微博视频 ,143,36,2659,中国,重庆,重庆,每天更新，感谢关注！视频来源于网络，如有不妥请联系删除。,251,15.5万,女,https://weibo.com/u/6587566974,https://m.weibo.cn/detail/Pesna65fb,Pesna65fb
5134606779288520,PewhnCYmQ,柠檬糖然然,2025-02-16 09:25:15,#哪吒打油诗英文也押韵#哪吒英文版打油诗也超燃，句句戳心窝啊#电影哪吒之魔童闹海# 哪吒:小爷我最会作诗了😎吒儿太争气了给我继续冲 柠檬糖然然的微博视频 ,4,30,71,中国,江苏,苏州,部分视频来源于网络！如有侵权请联系立删。,4029,4.6万,女,https://weibo.com/u/7458497345,https://m.weibo.cn/detail/PewhnCYmQ,PewhnCYmQ
5134622602035863,PewGU8xCv,追漫柠檬冰,2025-02-16 10:28:07,想告诉美队4一句话，不是高燃就能赢的人心  我们哪吒不仅高燃，还有血有肉，有笑有泪又有梗，还能磕cp，谁会不爱我们哪吒呢，稳赢的 #哪吒2正面pk美国队长4##电影哪吒之魔童闹海# 追漫柠檬冰的微博视频 ,1,23,196,中国,江苏,徐州,希望我们都能将自己的热爱发挥到极致，在喜欢的领域坚持梦想、不负所爱！,1925,14.7万,女,https://weibo.com/u/7870095421,https://m.weibo.cn/detail/PewGU8xCv,PewGU8xCv
5134321604624495,PeoRqjp2D,苏酿酿呀,2025-02-15 14:32:03,吒儿真牛，把美队4的排片都抢回来一些，这就是用实力说话！留子们为了看哪吒是真拼！（cr小渔苗）  #哪吒2火了美媒问谁还需要好莱坞##电影哪吒之魔童闹海##哪吒2再超112亿# 苏酿酿呀的微博视频 ,89,123,4432,中国,江西,上饶,爱吃，厌蠢。基本最近爱看什么，就发什么～,3163,15.5万,女,https://weibo.com/u/7799872068,https://m.weibo.cn/detail/PeoRqjp2D,PeoRqjp2D
5134589040787570,PevOM3iSK,人民日报,2025-02-16 08:14:46,【看完哪吒没过瘾？#文化中国行跟哪吒打卡博物馆#】看完电影想打卡哪吒周边？去三星堆博物馆看结界兽“老家”，在河北博物院观赏形似七色宝莲的博山炉，到甘肃省博物馆看太乙真人喝酒用的“同款陶罐”……#你的吒儿埋了多少文物梗#？一起看哪吒系列电影里的“文物密码”↓你还看出了哪些？评论区聊！ ,981,510,4789,中国,北京,北京,人民日报法人微博。参与、沟通、记录时代。,3092,1.55亿,男,https://weibo.com/u/2803301701,https://m.weibo.cn/detail/PevOM3iSK,PevOM3iSK
5134614666414794,Pewu6qUMq,lovecy-淇雪,2025-02-16 09:56:36,#金价#每日一看，希望在跌点，最近因为看哪吒好喜欢他乾坤圈，已经在幻想带大金镯子的样子了 lovecy-淇雪的微博视频 ,1,6,109,中国,浙江,N/A,快🧱拉嘿，🈲单曲，单曲拉嘿，❌较低不呼，🐏耗不易，谢谢理解,6796,1.2万,女,https://weibo.com/u/6807116183,https://m.weibo.cn/detail/Pewu6qUMq,Pewu6qUMq
5134468199224436,PesFRCHHe,你别说还真是这样,2025-02-16 00:14:35,太帅了。。。藕饼本为一体 ©：@犬奇oro  #哪吒之魔童闹海# ,29,232,547,中国,广东,深圳,啊半，想发啥就发啥，但一些并不代表个人观点,992,96.3万,男,https://weibo.com/u/2303129363,https://m.weibo.cn/detail/PesFRCHHe,PesFRCHHe
5134611615321560,PewpbmknC,爱上后陡门的夏天,2025-02-16 09:44:28,#种地吧直播##种地吧#  昊昊说，我还以为你们看了哪吒了，我也在等你啊。 所以他们，看看他们什么时候可以安排上，一起去了哪吒 爱上后陡门的夏天的微博视频 ,0,4,55,中国,广东,深圳,第一本命胡歌周杰伦。目前真情实感追十个勤天🌾🌾关注需谨慎，私信已关，谢谢🎈      🏃🏻‍♂️。,258,28万,女,https://weibo.com/u/3546224000,https://m.weibo.cn/detail/PewpbmknC,PewpbmknC
