微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5137160439595133,PfAIbEg8d,Cheese_0802,2025-02-23 10:32:34,大东北是我的家乡～缘分呀就这样把你们绑在一起✌🏻怎么都唱上这首歌了呀两只小狗崽 Cheese_0802的微博视频 ,0,5,124,中国,吉林,长春,快乐是人生的最高追求,734,7247,女,https://weibo.com/u/5288283457,https://m.weibo.cn/detail/PfAIbEg8d,PfAIbEg8d
5163349364965501,PqA0okPKJ,AAA猪肉炖粉条批发,2025-05-06 16:58:01,1231【】其实我挺喜欢《大东北是我的家乡》这首歌，描写了非常多的东北的特点（黑土地，冬天下大雪，烧炕，酸菜炖血肠，扭秧歌...）人在外地，听着的时候感觉挺有画面感挺亲切的...有种温暖热情的招呼我的感觉 ,1,10,71,中国,辽宁,葫芦岛,接受有关东百的一切偷糕,333,6549,女,https://weibo.com/u/7906469475,https://m.weibo.cn/detail/PqA0okPKJ,PqA0okPKJ
5168437261501339,PsImG6iz9,社交牛蛙2,2025-05-20 17:55:30,反勘杂  大东北 是我的家乡唢呐吹出了美美的模样哥们相聚 必须整二两碎了月亮暖了我心肠666后面两位公共场合随地大小便没人管管吗 ,0,30,58,中国,广西,N/A,本人尖酸刻薄 心如蛇蝎 喜欢恶意对待他人,118,81,男,https://weibo.com/u/7834642017,https://m.weibo.cn/detail/PsImG6iz9,PsImG6iz9
5167647546935959,PsnOWt6mj,渡鴉飞过十萬清晨,2025-05-18 13:37:28,此刻应该响起🎶大东北是我的家乡🎶#清晨的发疯time# ,0,2,5,中国,吉林,N/A,我们在此相聚 相亲相爱的人们 雪山会告诉你答案 ‖ 推宝妈 ‖ 🚫我推辱追🚫骂我推,935,746,女,https://weibo.com/u/6570684865,https://m.weibo.cn/detail/PsnOWt6mj,PsnOWt6mj
5165550762987263,Prvh2cx7F,老公我和那个女的掉河里你先救谁,2025-05-12 18:45:36,大东北是我的家乡 唢呐吹出了妹妹的模样 ,0,0,7,中国,上海,上海,今天对我好点明天对我好点后天对我好点🥸本人输出的一切观点语句与本人思想无关 纯嘴贱,1284,201,女,https://weibo.com/u/6989465013,https://m.weibo.cn/detail/Prvh2cx7F,Prvh2cx7F
5167436666245259,PsikOqcFZ,inIKnolawker,2025-05-17 23:39:30,室友睡着了，但他的手机还在放着助眠音乐，音量大概在5%这样，但还是能清楚的听到一阵劲爆的鼓点：大东北~是我的家乡💃🏻 ,0,19,12,中国,黑龙江,N/A,孩子不懂事瞎拍的 / 偶尔自言自语,311,170,男,https://weibo.com/u/7474509738,https://m.weibo.cn/detail/PsikOqcFZ,PsikOqcFZ
5165995221061693,PrGPU4sc5,刘波Leo,2025-05-14 00:11:43,#我不行了# 大东北是我的家乡 ,0,0,5,中国,山西,忻州,,859,1.1万,男,https://weibo.com/u/7353884920,https://m.weibo.cn/detail/PrGPU4sc5,PrGPU4sc5
5142894327890267,PhZSox6Cn,努努有嘻哈2,2025-03-11 06:17:01,794【】大东北是我的家乡 ,0,0,35,中国,辽宁,沈阳,嗲比毛绒生物研究所 投稿前请搜投稿须知3.0 ‼️投稿精选照片或关键字「投稿方式」‼️龟速更新，偶尔活过来搬些新毛绒情报，发不了图可以互关,10,2224,女,https://weibo.com/u/7397898850,https://m.weibo.cn/detail/PhZSox6Cn,PhZSox6Cn
5126779139001666,PbeE9BLKa,会打嗝的羊,2025-01-25 19:01:00,大东北是我的家乡 大庆 ,0,0,21,中国,黑龙江,大庆,一个破放射科写报告的,360,640,女,https://weibo.com/u/1876364991,https://m.weibo.cn/detail/PbeE9BLKa,PbeE9BLKa
5123892558959965,Pa1ynBATz,夏祭野-,2025-01-17 19:50:46,大东北～是我的家乡～我就在这嘎达！土生土长～东北人的情～东北人的爱！贼拉拉的爱你呀～～我的家乡！～～ ,0,22,15,中国,江苏,常州,主包有沙比恐惧症 请远离我.,1815,1.8万,男,https://weibo.com/u/7212196177,https://m.weibo.cn/detail/Pa1ynBATz,Pa1ynBATz
5108359594514230,P3vtdiWma,Z世代暴力迷因液,2024-12-05 23:08:19,其实我只是洗了双袜子，大东北是我的家乡 ,0,15,11,中国,吉林,长春,Have a sweet dream for tonight,852,334,女,https://weibo.com/u/7754556500,https://m.weibo.cn/detail/P3vtdiWma,P3vtdiWma
5083674416776412,Oz6KJsqQY,Pang-小乔乔乔,2024-09-28 20:18:14,大东北 是我的家乡 大同·黑土风情铁锅炖(大同总店) ,0,2,2,中国,山西,大同,其实很简单，其实很自然。,760,1.2万,女,https://weibo.com/u/2810338432,https://m.weibo.cn/detail/Oz6KJsqQY,Oz6KJsqQY
5071192622631173,OtS2Ob2uh,Uiga_,2024-08-25 09:40:02,17℃的早晨 窗外就开始大东北是我的家乡～ 黑河 ,0,3,4,中国,黑龙江,黑河,幸福的小鱼一家,147,86,女,https://weibo.com/u/5886609338,https://m.weibo.cn/detail/OtS2Ob2uh,OtS2Ob2uh
5055269612814876,OnbOxbOhe,纯怪系,2024-07-12 11:07:40,#宁艺卓#大东北是我的家乡 ,0,2,5,中国,湖南,郴州,你是不是暗恋我,1609,1.6万,女,https://weibo.com/u/7851181935,https://m.weibo.cn/detail/OnbOxbOhe,OnbOxbOhe
5168848308274068,PsT3EyIsI,吃到鼹跳后爽到起飞,2025-05-21 21:08:52,反勘杂  大东北是我的家乡。 吃到鼹跳后爽到起飞的微博视频 ,0,12,4,中国,广东,佛山,囚左 yq滚 cn蘑菇,60,34,女,https://weibo.com/u/7846201115,https://m.weibo.cn/detail/PsT3EyIsI,PsT3EyIsI
5168167241385450,PsBla5OpY,良态矩阵,2025-05-20 00:02:33,本入每天和朋友打招呼belike苍蝇搓手来财cosplaysahur低声吟唱大东北是我的家乡臭抖音你把我害惨了这九十暗网 ,0,0,1,中国,北京,北京,,16,2,女,https://weibo.com/u/7920340711,https://m.weibo.cn/detail/PsBla5OpY,PsBla5OpY
5167969065502614,Pswbwn5tQ,鲤司杳杳,2025-05-19 10:55:04,大东北🧡ྀི💛ྀི❤️ྀི是我的家乡🎵🎊🎉🎉 ,0,8,1,中国,安徽,芜湖,09221220,576,4923,女,https://weibo.com/u/7490227113,https://m.weibo.cn/detail/Pswbwn5tQ,Pswbwn5tQ
5167831272654267,PssBhb8uL,骷髅小兔厨,2025-05-19 01:47:32,大东北是我的家乡🦶🦶🦶🦶🦶 ,0,0,0,中国,广东,清远,新建文件夹/huq了没你想看的/少羽牛逼,413,227,女,https://weibo.com/u/7494337379,https://m.weibo.cn/detail/PssBhb8uL,PssBhb8uL
5167726827410977,PspSOv5VT,低温碳酸-,2025-05-18 18:52:30,我本来也是要这么投胎的结果出生的时候爹妈放了一首大东北是我的家乡。,0,0,0,中国,吉林,长春,缘起 结缘 到故事的最后 一切都美好 驴丝看我主页默认老驴拉磨一辈子只能虐恋十四番,583,1382,男,https://weibo.com/u/6060195739,https://m.weibo.cn/detail/PspSOv5VT,PspSOv5VT
