微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5167343671968851,PsfUP8gbF,老特拉福德的糖猫儿,2025-05-17 17:29:59,#格拉夫珠宝#其实只要是一个有点思考能力人都应该能想到，一个在娱乐圈已经被力捧，还拍了女主角剧的女明星，在一生只有一次的18岁成人礼上，怎么可能戴一个假货耳环这是把我们网友当弱智整呢。。而且从这个耳环的七彩光斑来说，这种火彩肯定是天然钻石。而且黄杨钿甜拍了很多特 ...全文,43,120,2606,中国,江苏,南通,曼联球迷，猫咪控,1346,237.8万,女,https://weibo.com/u/1762789510,https://m.weibo.cn/detail/PsfUP8gbF,PsfUP8gbF
5166323295849446,PrPn3oxHU,友谊已走到尽头啦,2025-05-14 21:55:22,黄杨钿甜自曝学校成人礼活动戴了妈妈的耳环，如果不是她特意解释，大家会默认品牌方赞助或者造型师帮忙借的。然后这个祖母绿钻石耳环被扒出公价230万，但有博主辟谣没那么贵只有60万，现在围绕耳环的真假开始一系列的后续。粉丝认为她可能戴的是淘宝仿版，但是妹妹成人礼绝大部分营业照都在大秀特秀 ...全文,67,263,5185,中国,四川,成都,爱看看，不爱看滚,171,153.5万,女,https://weibo.com/u/5091022623,https://m.weibo.cn/detail/PrPn3oxHU,PrPn3oxHU
5167252292503602,PsdxraviG,草莓影视酱,2025-05-17 11:26:52,负责投标的爸，倒卖假证的妈，已经进去的舅，超生的弟和爱炫耀的她，佩戴230万耳环，内娱果然都是有钱佬！总算知道她为啥喊冤#黄杨钿甜# 草莓影视酱的微博视频 ,119,191,4219,中国,湖北,武汉,视频来源网络，如有侵权联系秒删！,2626,5.9万,女,https://weibo.com/u/5828185029,https://m.weibo.cn/detail/PsdxraviG,PsdxraviG
5167343245984500,PsfU8p6Qc,废话冰淇淋,2025-05-17 17:28:17,要说娱乐圈最烦恼的是谁？非姚安娜莫属。不是因为演不了主角，不是因为演技没有得到观众认可，而是因为太红了。黄杨钿甜200万耳环事件闹得沸沸扬扬，吓得黄杨钿甜的父亲再三解释外界的质疑这趟浑水谁都不愿意蹚可是网友们又开始cue姚安娜了有人说：姚安娜是富二代里的一股清流了，低调务实 ...全文,36,181,4390,中国,广东,揭阳,,16,4.9万,女,https://weibo.com/u/1974806204,https://m.weibo.cn/detail/PsfU8p6Qc,PsfU8p6Qc
5168414642933391,PsHMccj6L,大象新闻,2025-05-20 16:25:38,【#黄杨钿甜事件不是八卦是公共监督#丨大象评论】#耳环事件是公众对财富透明的合理追问#一副疑似230万元的Graff祖母绿耳环，戴在18岁新晋小花@黄杨钿甜 的耳朵上，折射的不止是火彩，还有火热的质疑。这不是一场普通的娱乐圈八卦，而是公众对财富来源、公职人员廉洁性和社会公平的集体追问。从耳环的真 ...全文,2529,3041,67620,中国,河南,郑州,河南广电官方APP,1574,633.2万,女,https://weibo.com/u/7308140398,https://m.weibo.cn/detail/PsHMccj6L,PsHMccj6L
5167171245966469,PsbqIp29n,明星日常观测站,2025-05-17 06:04:49,21世纪天龙人重生之我在娱乐圈当耳环代言人~ 黄杨钿甜 雅安 娱乐评论大赏 娱乐圈 #黄杨钿甜# #雅安# 明星日常观测站的微博视频 ,22,62,973,中国,北京,北京,微博街拍视频自媒体,233,40.9万,女,https://weibo.com/u/6605402173,https://m.weibo.cn/detail/PsbqIp29n,PsbqIp29n
5167127896261706,PsaiNqgXg,古今大观园,2025-05-17 03:12:34,仇富心态的人才会对“黄杨钿甜”戴200万耳环反应强烈，为何没人关注姚安娜呢？娱乐话题总引发热议。 #黄杨钿甜# #北极鲶鱼# 古今大观园的微博视频 ,17,25,713,中国,北京,北京,从古到今，从未停歇～,90,41.5万,女,https://weibo.com/u/6179910791,https://m.weibo.cn/detail/PsaiNqgXg,PsaiNqgXg
5167277708411367,Psecqzibd,暗域圣女,2025-05-17 13:07:52,她不提耳环，没人注意到耳环！不宣传价格，大家也不认识这品牌不提是她妈妈送给她的！就不会有人去扒她的父母。她要是说耳环是租借品牌方的，我也信，毕竟娱乐圈很多明星艺人出席活动时候都会租借礼服首饰，这也不足为怪。但是她偏偏说这是她妈的，发文的时候还加了三个叹号重点突出，无疑不是把她爸 ...全文,9,104,862,中国,北京,北京,,2441,14.9万,女,https://weibo.com/u/7533160359,https://m.weibo.cn/detail/Psecqzibd,Psecqzibd
5168070995217697,PsyPVlTmp,综艺崽崽酱,2025-05-19 17:40:06,#耳环是找妈妈的#黄杨钿甜这件事不管是真是假都不好玩梗吧，过度娱乐化总觉得不是件好事情…感觉包括黄杨钿甜在内，很多明星出事好像都是因为秀一些东西被扒出了蛛丝马迹，财不外露，老一辈的话还是有道理的。黄杨父亲的发文澄清后，黄杨以后估计都不能接高奢代言了… ,5,28,304,中国,山东,菏泽,合作wx:zu030528,1055,115.1万,男,https://weibo.com/u/6378160135,https://m.weibo.cn/detail/PsyPVlTmp,PsyPVlTmp
5167444723241771,PsixOdBkD,凯雷,2025-05-18 00:11:31,#黄杨钿甜耳环#流传的230万天价耳环，图2否认，注意看淘宝搜索图9。 #格拉夫珠宝##黄杨钿甜耳环事件当以事实定真伪##黄杨钿甜爸爸发文# 图9淘宝上的确有仿品，所以说黄杨爸爸说他妈妈买的是仿品的确有这个可能。因为女孩是明星，戴几百块的仿品可能性很小，所以，一上手就戴一个230万天价耳环真品的 ...全文,61,83,1314,中国,北京,北京,媒体人「本人微博所表達言論與供職機構立場無關」,5713,247.8万,男,https://weibo.com/u/1496883514,https://m.weibo.cn/detail/PsixOdBkD,PsixOdBkD
5167691700898536,PsoYa3LKw,爱追星的小助理,2025-05-18 16:32:55,黄杨钿甜耳环事件后，虞书欣家也被扒了，涉及金额高达15个小目标#黄杨钿甜# ,56,101,2439,中国,陕西,宝鸡,圈里的一名资深八卦娱记~,175,433.1万,女,https://weibo.com/u/2706266814,https://m.weibo.cn/detail/PsoYa3LKw,PsoYa3LKw
5166872154084218,Ps3Ejh8uu,麻辣表哥,2025-05-16 10:16:20,娱乐圈的4+4还在继续黄杨钿甜爸爸被爆是雅安公务员除了家里拿出的230万的耳环外2018年的时候黄杨钿甜就戴上了45万的手镯 ,80,122,3383,中国,湖北,武汉,小号@牯岭街美少年丨微信公号：麻辣表哥,496,257.8万,男,https://weibo.com/u/3255727524,https://m.weibo.cn/detail/Ps3Ejh8uu,Ps3Ejh8uu
