微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5169022114992713,PsXzZkWPD,央视频,2025-05-22 08:39:31,【#孙颖莎说真正的挑战开始了#】2025年多哈世乒赛已赛程过半，@孙颖莎 总结：目前状态保持正常，接下来前16的比赛要比拼对抗，真正的挑战开始了！不论结果如何，希望在场上不留遗憾~#来央视频看精彩赛事#，解锁更多高燃瞬间！（央视频号：奥运来了）#孙颖莎又打服了一个#   ...全文,6,22,380,中国,北京,北京,中央广播电视总台央视频官方账号。“央视频”是总台推出的综合性视听新媒体旗舰平台。,95,506.1万,女,https://weibo.com/u/7211561239,https://m.weibo.cn/detail/PsXzZkWPD,PsXzZkWPD
5169021319381466,PsXyHDmxY,太阳花种植手册,2025-05-22 08:36:21,法媒采访卢茨｜对手眼中的小莎👀孙颖莎已经预判到了，她能成为世界第一绝非偶然。她是那种能把所有球都回到球台上的选手，每当我某一拍加速个一两次，她就已经预判到了，所以我再去改变落点就变得非常困难，想让她不那么快预判几乎不可能。她反手控球非常稳，正手的话，有时会突然侧身爆冲，这 ...全文,124,63,1319,中国,广东,广州,孙颖莎全肯定•̀ᴗ-,35,30.8万,女,https://weibo.com/u/7853067093,https://m.weibo.cn/detail/PsXyHDmxY,PsXyHDmxY
5169011798836933,PsXjlB4Tb,CTMY妈粉联合小作坊,2025-05-22 07:58:31,颖莎向你发来可爱攻击😽#孙颖莎# ,29,27,323,中国,福建,N/A,一切跟随心意@孙颖莎🦈💞,44,15.7万,男,https://weibo.com/u/7872852550,https://m.weibo.cn/detail/PsXjlB4Tb,PsXjlB4Tb
5169017526423683,PsXsAqX5N,央视体育,2025-05-22 08:21:17,【#孙颖莎说真正比拼实力的时候到了#】孙颖莎在女单前三轮比赛未失一局，展现了强大统治力。展望1/8决赛对阵申裕斌，孙颖莎说：“跟她在巴黎周期经常交手，还是有一定的了解。打到这种对抗阶段，每一名运动员状态都非常好，接下来的比赛才是真正比拼实力、对抗的时候。”此外，#孙颖莎说混双挑战更大# ...全文,2,12,133,中国,北京,北京,“央视体育”微博是中央电视台体育频道的官方微博。在这里，您将能获得及时的综合体育资讯、新鲜多样的赛事即时图文视频报道、央视体育重点栏目重要节目的播出安排预告以及播后精彩回放等等……此外，我们也致力于成为热爱体育的您和央视体育沟通的桥梁纽带。央视体育的观点和声音会在这里发布，您的意见和建议也会从这里得到反馈！央视体育官微，期待成为您体育生活的好伙伴！,694,2730.3万,男,https://weibo.com/u/2993049293,https://m.weibo.cn/detail/PsXsAqX5N,PsXsAqX5N
5168815996405442,PsSdxqSlA,不爱吃冰爱吃冰激凌,2025-05-21 19:00:28,#孙颖莎说别动我的餐盘# 致远老师：孙颖莎、王楚钦吃过的苦头我都不知道怎么说了#王楚钦与莫雷加德同场训练# 不爱吃冰爱吃冰激凌的微博视频 ,8,19,499,中国,河北,邯郸,素材源于网络，侵删,2929,17.2万,男,https://weibo.com/u/7874661993,https://m.weibo.cn/detail/PsSdxqSlA,PsSdxqSlA
5168865948729974,PsTw6AD42,触碰过魔法,2025-05-21 22:18:57,你以为过了二十年三十年后，还能找到像王楚钦孙颖莎一样的人吗？找不到的，论天赋的话这两个小弟弟小妹妹跟前面两个相比，没法比。#王楚钦##孙颖莎# 莎头组合 触碰过魔法的微博视频 ,4,4,223,中国,山西,太原,（可投稿，商务请私）素材来源于网络，侵删。,11497,20万,女,https://weibo.com/u/5741537147,https://m.weibo.cn/detail/PsTw6AD42,PsTw6AD42
5169003636983056,PsX6btiBW,新华社,2025-05-22 07:26:05,【#孙颖莎赛后采访来了#】21日，在2025年多哈世乒赛女单1/16决赛中，@孙颖莎 战胜法国选手夏洛特·卢茨，晋级16强。赛后采访，#孙颖莎说专注到比赛每一分#，好好休息，一轮一轮准备。继续加油！@ITTF国际乒联 新华社的微博视频 ,48,131,1159,中国,北京,北京,新华社官方微博，重大新闻权威首发平台。,3151,1.12亿,男,https://weibo.com/u/1699432410,https://m.weibo.cn/detail/PsX6btiBW,PsX6btiBW
5168879871724762,PsTSz7eGK,烤两块饼,2025-05-21 23:14:17,看孙颖莎打球爽爆了 ,111,30,1369,中国,广东,广州,,48,5.7万,女,https://weibo.com/u/7397302992,https://m.weibo.cn/detail/PsTSz7eGK,PsTSz7eGK
5168894310614794,PsUfR2zW2,是周川呀,2025-05-22 00:11:40,孙颖莎今日份下班回酒店 与佳佳嬉笑打闹 是周川呀的微博视频 ,4,5,280,中国,广东,河源,,410,23.6万,男,https://weibo.com/u/6942354600,https://m.weibo.cn/detail/PsUfR2zW2,PsUfR2zW2
5168849784932668,PsT62kHda,JR体角日记,2025-05-21 21:14:44,#孙颖莎说别动我的餐盘#、#国乒双打三项都失去双保险#动漫组合爆冷出局！国乒混双现在真的是压力山大！怀念我们的莎头巴黎周期在单独为王的时代长期身兼三项，还备受质疑！5.21，孙颖莎吃饭的时候见工作人员要收了餐盘，赶忙制止简直是小吃货一枚！被人拿餐盘吓了一大跳的小莎口语也是溜溜的～  ...全文,48,91,1197,中国,福建,莆田,每日更新最新最全面最好看的各大体育赛事,2838,39万,女,https://weibo.com/u/7083377042,https://m.weibo.cn/detail/PsT62kHda,PsT62kHda
5169065125741016,PsYHmo5v2,头条新闻,2025-05-22 11:30:25,【#多哈国乒女单5人全部晋级16强#，1/8决赛对阵名单出炉】北京时间5月22日，2025多哈世乒赛女单1/16决赛结束，国乒女单5人全部晋级16强。今日1/8决赛对阵如下：1/4区：孙颖莎VS申裕斌、大藤沙月VS拉科瓦奇2/4区：伊藤美诚VS郑怡静、帕瓦德VS王艺迪3/4区：陈幸同VS高桥-布鲁娜、石洵瑶VS早田希娜4 ...全文,0,0,0,中国,北京,北京,每日播报全球各类重要资讯、突发新闻，全天24小时即时发布。欢迎报料、投稿，请发私信或者邮件：xlttnews@vip.sina.com。,1770,1.11亿,女,https://weibo.com/u/1618051664,https://m.weibo.cn/detail/PsYHmo5v2,PsYHmo5v2
5169065125480909,PsYHmmZPL,晚安飞飞鱼oOo,2025-05-22 11:30:25,#孙颖莎说真正比拼实力的时候到了#2023年1月21日，参加《2023年中央广播电视总台春节联欢晚会》，与成龙等人演唱歌曲《花开种花家》；3月27日，与周雨彤领衔主演的都市情感剧《爱情而已》播出，在剧中饰演运动员宋三川；8月28日，吴磊个人骑行视频IP栏目《骑有此理第二季》上线，在纪录片展露出自己最 ...全文,0,0,0,中国,福建,福州,我要向上走，我绝不回头。|新建文件夹,3109,15.8万,女,https://weibo.com/u/5479649808,https://m.weibo.cn/detail/PsYHmmZPL,PsYHmmZPL
5169065102413060,PsYHka7Kk,染尘_V,2025-05-22 11:30:20,#孙颖莎说真正比拼实力的时候到了#孙颖莎在女单前三轮比赛未失一局，展现了强大统治力。展望1/8决赛对阵申裕斌，孙颖莎说：“跟她在巴黎周期经常交手，还是有一定的了解。打到这种对抗阶段，每一名运动员状态都非常好，接下来的比赛才是真正比 ,0,0,0,中国,河北,石家庄,♡o。 我与我周旋久，宁作我,1861,2.9万,女,https://weibo.com/u/6050877201,https://m.weibo.cn/detail/PsYHka7Kk,PsYHka7Kk
5169065062303448,PsYHg9Feo,回忆到昨天,2025-05-22 11:30:10,#孙颖莎说真正比拼实力的时候到了#孙颖莎加油哟 ,0,0,0,中国,四川,成都,温而不显，独而不孤,6876,3.7万,男,https://weibo.com/u/2695492057,https://m.weibo.cn/detail/PsYHg9Feo,PsYHg9Feo
5169065026915786,PsYHct16W,骂你一句让你爽到了,2025-05-22 11:30:02,#孙颖莎回应混双压力#这个混双到底还要给她施加压力到什么时候?？巴黎周期该拿的奥运混双金牌我没记错是孙颖莎抗住压力拿到了吧。还要pua到什么时候？难道不是现混双世排一应该好好反思一下吗 ,0,0,0,中国,河南,安阳,讨骂型人格,410,5345,女,https://weibo.com/u/7341426167,https://m.weibo.cn/detail/PsYHct16W,PsYHct16W
5169064999917378,PsYH9FBXI,造梦宝,2025-05-22 11:29:55,#孙颖莎说真正比拼实力的时候到了#2025多哈世乒赛激战正酣，孙颖莎4-0轻取卢茨晋级女单16强。赛后她直言：“接下来是真正拼硬实力的比赛，我会一场场准备，争取给自己一个满意的答卷。”期待她后续的精彩表现！ ,0,0,0,中国,广东,韶关,,2389,26.6万,女,https://weibo.com/u/6455622506,https://m.weibo.cn/detail/PsYH9FBXI,PsYH9FBXI
5169064990737988,PsYH935Z2,读不懂You了,2025-05-22 11:29:53,#孙颖莎说真正比拼实力的时候到了#孙颖莎女单前三轮全胜，展现强大实力。展望1/8决赛，她表示对对手申裕斌有所了解，比赛将真正比拼实力。同时，孙颖莎认为混双挑战更大，将全力以赴，希望场上不留遗憾，一分一分去拼，期待佳绩。 ,0,0,0,中国,山东,潍坊,部分视频来自网络，侵删！,3947,3.4万,女,https://weibo.com/u/7772071980,https://m.weibo.cn/detail/PsYH935Z2,PsYH935Z2
