微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5163803733923933,PqLPfgsNf,大梦-LICHAN,2025-05-07 23:03:32,没想到碳盖这个事情小米居然回应了。  不过也算是大伙儿熟悉的小米，就是你骂他，他真会改，会回应。  详细看了下，大概是这么个说法：  1，满足造型的同时，有部分气流导出和散热功能； 2，已经提车和还准备要的车主，额外送2万积分；  怎么讲，跟我之前说的一样，本身这个风洞肯定就是通的，不然没办 ...全文,37,427,2214,中国,广东,中山,手机影像，汽车摄影、权益研究，分享我的科技生活体验。联系vx：limon968。,2624,32.5万,男,https://weibo.com/u/3706460877,https://m.weibo.cn/detail/PqLPfgsNf,PqLPfgsNf
5163825440754948,PqMog3aoA,Blood旌旗,2025-05-08 00:29:47,小米深夜发文道歉，解决锁马力和碳盖 Blood旌旗的微博视频 ,20,336,2214,中国,广东,珠海,科技&amp;新能源&amp;自动驾驶,778,149.7万,男,https://weibo.com/u/2323195050,https://m.weibo.cn/detail/PqMog3aoA,PqMog3aoA
5163970756350204,PqQaDqDYE,吴佩,2025-05-08 10:07:13,已经跑完了。#小米汽车##雷军回应SU7Ultra量产版挑战纽北赛道##小米SU7 Ultra量产版# ,8,276,1282,中国,广东,广州,上微博是批评家，下微博是实干家，办公室里工作狂，下厨房是瓢盆忙。,1391,380.5万,男,https://weibo.com/u/1463946293,https://m.weibo.cn/detail/PqQaDqDYE,PqQaDqDYE
5161797138254841,PpVCNyDsB,懂车老王,2025-05-02 10:10:02,前机盖开孔的设计到底是干什么用的？电动车和燃油车空气动力学设计思路有区别吗？为什么一般家用车不用这种设计？法拉利/保时捷/小米su7ultra设计差在哪里？下雨怎么办？最近私信收到很多这类问题，咱们本期一起来聊聊。#车评精选##汽场全开##懂车老王# 懂车老王的微博视频 ,187,314,2156,中国,北京,北京,为汽车立心，为粉丝立命，为内燃机继绝学，为电气化开太平,64,39.4万,男,https://weibo.com/u/5711397084,https://m.weibo.cn/detail/PpVCNyDsB,PpVCNyDsB
5163275029581125,Pqy4uEcuh,赛车星冰乐,2025-05-06 12:02:39,【Ultra赛道手册/数据测试】给小米SU7 Ultra一个赛道安全的全面数据测试。在天马测试了耐力模式/排位赛模式的刹车温度，轮胎温度，彻底搞明白了小米SU7 Ultra能开多少圈安全。 并且给出一个TC，ABS，TV，能量回收的设定解释。但因此被天马赛道赶下了赛道。。。#试驾评测##小米su7ultra# ...全文,357,271,1451,中国,北京,北京,和你一起体会赛车的物理学美感！  工作联系：lh3@sina.com“第一个字母是小写的L”,1503,59.4万,男,https://weibo.com/u/7586977214,https://m.weibo.cn/detail/Pqy4uEcuh,Pqy4uEcuh
5163804930346628,PqLRb1saM,我是大彬同学,2025-05-07 23:08:17,小米正面回应了一些最近的风波，特别是关于前机盖挖孔给想改的用户提供了限时改配通道并且给予20000积分补偿 小米正面回应了，请问 问界 合格证电池型号错误的事情什么时候正面回应一下？就一个客服号回应也太敷衍了吧这可是合格证啊，另外还想请大家解答一下遇到遇到这种情况是找华为？还是找赛力斯？ ...全文,8,298,1040,意大利,意大利,N/A,数码，摄影，无人机爱好者，目前在意大利留学  合作请私信,934,36.9万,男,https://weibo.com/u/6567322065,https://m.weibo.cn/detail/PqLRb1saM,PqLRb1saM
5163950664583896,PqPEejetO,雷军,2025-05-08 08:47:23,小米SU7 Ultra量产版正在挑战纽北赛道，我们一起期待一下好消息！ ,361,2239,23147,中国,北京,北京,小米董事长，金山软件董事长。业余爱好是天使投资。,1558,2651.9万,男,https://weibo.com/u/1749127163,https://m.weibo.cn/detail/PqPEejetO,PqPEejetO
5163884840223289,PqNW40W5r,薛定谔的英短咕咕咕,2025-05-08 04:25:49,大半夜聊一聊小米SU7 Ultra的风道和小米的回复 #小米汽车# 随口录的没准备稿子，将就着看 薛定谔的英短咕咕咕的微博视频 ,28,172,1109,中国,广东,深圳,数码圈的“一群民科”，只会讲科学的猴，玻璃心粉碎者，百度第二懂王，海外资料的马前卒,2302,38.7万,男,https://weibo.com/u/6202265538,https://m.weibo.cn/detail/PqNW40W5r,PqNW40W5r
5163957867512070,PqPPQvweq,小马甲不小,2025-05-08 09:16:00,小米SU7上周均价超过28万。  #新能源大牛说# #新能源汽车# ,2,62,434,中国,四川,成都,数据分析师，手机&amp;新能源市场数据分析研究，抽丝剥茧，探寻数字背后的秘密。回望过去，分析当下，展望未来。,506,12.7万,男,https://weibo.com/u/7796793293,https://m.weibo.cn/detail/PqPPQvweq,PqPPQvweq
5163802065376352,PqLMymyDm,Blood旌旗,2025-05-07 22:56:54,小米对【锁马力OTA】和【碳纤维前盖】的回复:  很诚恳的道歉，光速滑跪  OTA不搞了，反思以后加强沟通  碳纤维前盖如果你觉得不爽，可以直接改配  如果已经提车或者坚持不变，那就给大概2000块钱的积分补偿  事到如今去扯对不对已经没啥意义了，关键是要保全用户群，让用户觉得舒服才好  另外再说一句 ...全文,25,671,5414,中国,广东,珠海,科技&amp;新能源&amp;自动驾驶,778,149.7万,男,https://weibo.com/u/2323195050,https://m.weibo.cn/detail/PqLMymyDm,PqLMymyDm
