微博id,uni_id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,微博bid
1639529981,OqaFWiDgQ,flypig,2024-08-01 01:44:40,在我的各种平板里，小米 Pad 6 Pro（一个发布一年多、闲鱼只要 1000 出头的平板）从重量、尺寸、屏幕比例来说，都是十分适合看漫画的设备。 ,12,63,250,中国,北京,北京,“Effortless chic.”,1582,163.9万,m,https://m.weibo.cn/u/1639529981?,https://m.weibo.cn/detail/OqaFWiDgQ,
6174602953,Oibojk1Up,金剪刀开箱,2024-06-09 12:51:33,第一波高考完的学生已经冲进小米之家了 实力充裕的直接拿下 小米14 redmi book14 小米pad6pro 小米手环8pro 脱离了高中不能接触电子设备的苦海后，直接迅速感受到科技进步的震撼 ,2,17,106,中国,广东,惠州,看开箱，长见识！ 金剪刀开箱，提供对客观科技数码的主观化观点,716,101.2万,m,https://m.weibo.cn/u/6174602953?,https://m.weibo.cn/detail/Oibojk1Up,
7239083016,OtLTfDyRf,白问视频,2024-08-24 18:00:01,开学必看！学生党千元平板指南！「白问」 #千元平板推荐#9月开学季你购置新的电子装备了吗？本期我们针对学生党，做了一期高性价比的平板指南，如果你恰巧有买平板的打算，记得点赞收藏哟！感谢啦～#数码好物种草计划# 白问视频的微博视频 ,427,355,1434,中国,湖北,武汉,,164,112.9万,m,https://m.weibo.cn/u/7239083016?,https://m.weibo.cn/detail/OtLTfDyRf,
5834233789,,怕不是小小白,2024-06-10 09:15:05,早上看群里有朋友在聊PAD生态。 一个很让人难以置信的事实是：小米平板6S Pro（单指这一款，其他咋样不予置评）目前可能是所有Android平板里软件适配最好的一款。 你米有朝一日居然在平板软件适配上做得比其他家都好了。其他家很多只能走平行窗口的App，在小米平板上都可以原生横屏适配。 想不到吧.jpg ...全文,2,118,370,中国,湖北,武汉,用户体验区博主/偶尔爆个料/非任何司员工,1330,23.7万,m,https://m.weibo.cn/u/5834233789?,https://m.weibo.cn/detail/OijoWp3Ob,OijoWp3Ob
6624273765,,要画技有笔刷,2024-09-05 14:11:15,3594 【只是想问问】父母答应给我买平板，但是要从下面几款挑： 荣耀平板V7Pro    8+128 （11寸） oppo pad2        12+256 （11.6寸） 联想平板y700     12+256 （ 8.8寸） 华为MatePadPro     8+256（10.8寸） 小米pad5 pro       6+128（11寸） vivo pad2代         8+128（12寸） 小米平板6        ...全文,3,116,790,中国,湖南,常德,画具bot|投稿见置顶||禁♂,1713,18万,f,https://m.weibo.cn/u/6624273765?,https://m.weibo.cn/detail/Ovzwmg9Nd,Ovzwmg9Nd
7871463520,,缪特_,2024-08-26 19:56:26,#小米澎湃OS#  用小米平板6＆6 Pro＆6 Max 14的小伙伴，如果用一句话来评价你的使用体验，你会说： ,1,192,441,中国,山东,青岛,#非官方# 多看，少说，减少信息差。可以叫我缪特，也可以叫我大狗。合作请私信,387,9.7万,m,https://m.weibo.cn/u/7871463520?,https://m.weibo.cn/detail/Ou5vvem9D,Ou5vvem9D
6640452017,,李多鱼同学,2024-06-19 11:06:52,目前这几款主流平板，就性价比的话，感觉还是小米Pad6S Pro更香点。 ,12,43,64,中国,山东,淄博,科技数码自媒体，独立撰稿人！🧑🏻‍🏫  壁纸资源：公众号，李多鱼同学,101,23.5万,m,https://m.weibo.cn/u/6640452017?,https://m.weibo.cn/detail/OjGYMxoFU,OjGYMxoFU
6265874748,,懒酱的日记本,2024-08-13 13:42:31,Xiaomi Pad 6S Pro 已推送#小米澎湃OS# 正式版内测OS1.0.10.0.UNXCNXM，有设备的小伙伴可以去更新了。  主要更新内容：  系统 合入2024年7月安全补丁，增强系统安全  全域安全 新增 车载后排平板电量高于80%时，自动停止充电  上版本发布时间： 2024年7月30日  更新间隔： 14天  小米澎湃OS更新次数：  ...全文,0,34,93,中国,广东,广州,合作请私信,303,30.7万,m,https://m.weibo.cn/u/6265874748?,https://m.weibo.cn/detail/Os4vh4VkU,Os4vh4VkU
7822467960,OwciEfrVQ,大学生不懂就发言,2024-09-09 16:54:36,#如何过好大学生活# 4835【】小米pad6Pro怎么样啊，想用来做笔记看文档 ,0,4,3,中国,湖南,永州,帮帮清澈的大学生吧,683,5.7万,f,https://m.weibo.cn/u/7822467960?,https://m.weibo.cn/detail/OwciEfrVQ,
7461082515,NCnTbCqxj,为什么我想的名字都有人取,2024-01-18 10:42:22,设备是小米pad6pro，为什么一进战斗就闪退呀 为什么我想的名字都有人取的微博视频 ,0,11,1,中国,重庆,N/A,,271,5,f,https://m.weibo.cn/u/7461082515?,https://m.weibo.cn/detail/NCnTbCqxj,
