微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5120324314863210,P8wJ9kp8S,铁军小子,2025-01-07 23:31:50,友情提示：请广大网友擦亮眼睛，千万不要被近期的”谣言“所带偏。千万不要被恶意的谣言带了负能量节奏，好演员我们必须拥护。针对一些下三滥 落井下石的我们也要积极举报予以打击。以下是张颂文曾演讲的【《扎根》：终究有一天，我们会变成一棵参天大树。】 铁军小子的微博视频 ,11,12,238,中国,北京,北京,最快，最全，最有料的资讯号！😎️,3088,37万,男,https://weibo.com/u/5848272985,https://m.weibo.cn/detail/P8wJ9kp8S,P8wJ9kp8S
5120902302271368,P8LLo9wSY,非非马UK,2025-01-09 13:48:33,张颂文事件又有4项关键进展，匿名爆料人已注销微博账户，并发布道歉声明，承认自己全是道听途说。这场沸沸扬扬的舆论事件背后，更有媒介伦理与法律思维两大重要问题值得深思。#微博新知##张颂文#张颂文#日挂中天声明# 非非马UK的微博视频 ,62,70,740,英国,英国,N/A,,335,8.4万,女,https://weibo.com/u/2706951095,https://m.weibo.cn/detail/P8LLo9wSY,P8LLo9wSY
5120894580296320,P8LyW1f5m,阿臻杂谈,2025-01-09 13:17:52,阴霾正在逐步散去，关于张颂文老师，大家请静候佳音。#张颂文 #张颂文事件始末 #在心里点灯的人张颂文 #狂飙张颂文 阿臻杂谈的微博视频 ,20,42,499,中国,北京,北京,孤身走夜巷，只为心里的光。 我就是我，颜色不一样的，柴火… 脱稿口播，即兴评述。 没文案、没文案、没文案。,289,3300,男,https://weibo.com/u/7691374694,https://m.weibo.cn/detail/P8LyW1f5m,P8LyW1f5m
5120850737498748,P8KqdvsLy,麻烦了__怎么办,2025-01-09 10:23:39,#张颂文# 哥很棒！文竹很棒！ 视频源dy58716626153（侵删） 麻烦了__怎么办的微博视频 ,44,101,804,中国,吉林,长春,​🧸🐾我个人很喜欢你，麻烦了__怎么办？,663,820,男,https://weibo.com/u/7823689753,https://m.weibo.cn/detail/P8KqdvsLy,P8KqdvsLy
5121011613434951,P8OBHepAr,赵瞾说事,2025-01-09 21:02:55,张颂文这波舆论战打得漂亮，赢得很彻底，他要好好谢谢三个人：  首先得谢谢姜尘，她这一闹，又是家暴又是性侵的，把大家的注意力全吸引了过去，正好让张颂文从《清明上河图密码》的演技争议中脱身，我都怀疑他俩是不是商量好的。  其次，得感谢他的老婆，家里出了这么大的事，她得承受多大的压力，这个 ...全文,0,4,37,中国,辽宁,沈阳,商务合作：＋V：850045844（网页版互动不回！！！）,3846,53.8万,男,https://weibo.com/u/5934541885,https://m.weibo.cn/detail/P8OBHepAr,P8OBHepAr
5120996453387735,P8OdfediT,江苏卫视,2025-01-09 20:02:40,#江苏卫视清明上河图密码##清明上河图密码# 张择端如实画下来赵家人的生活，赵不尤希望他的画流芳百世，后人也从画里认识他们一家五口人。@张颂文 @是安 江苏卫视的微博视频 ,1,66,29,中国,江苏,南京,有品质有温度只引领不跟随,503,939.1万,男,https://weibo.com/u/1575527140,https://m.weibo.cn/detail/P8OdfediT,P8OdfediT
5121046120501528,P8Pvm26ta,Baby小坏熊_小宜,2025-01-09 23:20:02,张颂文| 250104 | 澳门星光大赏  紫色真的很合适你  紫气东来  大红大紫    紫薯丸zsw@张颂文 ,18,30,95,中国,广东,N/A,溺爱老宝宝,346,1910,女,https://weibo.com/u/1739120193,https://m.weibo.cn/detail/P8Pvm26ta,P8Pvm26ta
5120917036074956,P8M99puna,快乐张小熊,2025-01-09 14:47:06,张颂文 这次风波提现了张颂文老师的大智慧，一个人遇到事都应冷静处理不能意气用事，即便胸有成竹也不能打乱阵脚，与恶人对骂争辩只会陷入无休止的争斗，对方就是要达到这个目的，是想那个剧组敢用纷争不断的演绎，就像埋了一颗地雷，形成隐患？现在风波基本平息，恢复宁静让张颂文安心拍戏才 ...全文,11,41,311,中国,河南,郑州,教书育人是我的职业，观摩影视作品是我的爱好，最喜欢的演员一生追过的明星就是张颂文。,84,426,女,https://weibo.com/u/5123394397,https://m.weibo.cn/detail/P8M99puna,P8M99puna
5120871721863400,P8KY47OKQ,嗑学君,2025-01-09 11:47:02,我只相信张颂文身边素人说的话~ ,108,176,1524,中国,河南,郑州,跑的没有粉丝快，当什么YXH。QQ:622123 威信:622123,1657,42.9万,女,https://weibo.com/u/1901459883,https://m.weibo.cn/detail/P8KY47OKQ,P8KY47OKQ
5120964705388659,P8No2mBPR,三花虾,2025-01-09 17:56:31,张颂文 鼠黑仔买我浩子干啥？表演脱了回踩的戏码吗？然后带节奏扇动粉丝情绪内豆？？我可不是评论区那个钻二，永远支持老师，永远不会卖浩子，就算你全家脱肛了我都不会脱粉，，发出来大家警惕！！～ ,8,187,417,中国,辽宁,锦州,为颂文老师而来！！！,496,1391,女,https://weibo.com/u/7834659216,https://m.weibo.cn/detail/P8No2mBPR,P8No2mBPR
