微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5131191080981535,Pd5qc47ld,我是小王不是大王,2025-02-06 23:12:29,#林俊杰 脱粉#谁要脱粉林俊杰站出来看看，反正我是不会脱粉，谁的童年没有林俊杰的歌？ 我是小王不是大王的微博视频 ,62,246,6383,中国,湖南,长沙,我是大王不是小王，喜欢娱乐的游戏博主！,4673,60.8万,女,https://weibo.com/u/2139141905,https://m.weibo.cn/detail/Pd5qc47ld,Pd5qc47ld
5131191517188917,Pd5qTuaah,2025新年星光,2025-02-06 23:14:13,#林俊杰 脱粉#林俊杰是因为这个原因脱粉，，，这是为什么呢，不能这样子啊，谈个恋爱怎么了嘛 怎么了嘛 #林俊杰 恋爱#不就一个恋爱嘛  林俊杰，，，啊这 ,2306,1634,36015,中国,广东,揭阳,,3051,13.2万,女,https://weibo.com/u/7056524756,https://m.weibo.cn/detail/Pd5qTuaah,Pd5qTuaah
5131195073433119,Pd5wDep6T,MK-久遇,2025-02-06 23:28:21,#林俊杰 脱粉#听那些乱七八糟的，不如来期待我们的演唱会吧，稳如cd现场，真的不要太赞了 MK-久遇的微博视频 ,40,58,2209,中国,广西,贵港,合作请私信 可投稿（动漫无粉籍）,1636,12.5万,男,https://weibo.com/u/7264493800,https://m.weibo.cn/detail/Pd5wDep6T,Pd5wDep6T
5131211188209318,Pd5WCyrCm,高碧瑶,2025-02-07 00:32:23,#林俊杰 脱粉#人家林俊杰差不多都四十岁，谈个恋爱都不可以吗，梦女该醒醒了， 高碧瑶的微博视频 ,22,147,5349,中国,广东,广州,关注我，分享当下最好看电视剧还有明星，和美好的生活，视频来自网络，联系我，侵权就删除,1028,28.4万,女,https://weibo.com/u/5823217082,https://m.weibo.cn/detail/Pd5WCyrCm,Pd5WCyrCm
5131189960315659,Pd5oo1k7h,Music_Data,2025-02-06 23:08:02,林俊杰怎么了，最近怎么有这么多脱粉投稿的？ ,150,1002,12298,中国,浙江,宁波,相信大众的力量，得路人者得天下。,341,64万,男,https://weibo.com/u/6134393125,https://m.weibo.cn/detail/Pd5oo1k7h,Pd5oo1k7h
5131198194517210,Pd5BFiX8e,桜奈川熊,2025-02-06 23:40:45,#林俊杰 脱粉#有空造谣不如多督促一下自家主子提升业务能力这么稳的现场又刺痛了谁的心大家不要放过这个林俊杰和这个氛围超好的FinalLap 桜奈川熊的微博视频 ,13,31,807,中国,浙江,台州,所有思绪都在等消息,349,2.6万,女,https://weibo.com/u/5831159180,https://m.weibo.cn/detail/Pd5BFiX8e,Pd5BFiX8e
5131199154228052,Pd5DdhJUo,绮璃梦,2025-02-06 23:44:34,#林俊杰 脱粉#Jj谈个恋爱很正常吧 不要放大了 没意思好吧 做粉丝的看到这个不是应该高兴才是吗 干啥呢 ,14,111,1594,中国,浙江,杭州,一只情感穿搭小博主～ 合作(✉️),4264,15.5万,女,https://weibo.com/u/7794524206,https://m.weibo.cn/detail/Pd5DdhJUo,Pd5DdhJUo
5131368287961593,Pda20xpaN,SH_席美丽,2025-02-07 10:56:38,#林俊杰 恋爱##林俊杰 脱粉# 如果被这个话题疑惑到点进来看一眼的，耽误你们几分钟看一下哦🙏1⃣️首先，很庆幸大部分人思维都很理智，我看到大家都在说这样的歌手这样的年纪，恋爱也很正常，有什么好闹脱粉，对呀，我们林俊杰粉丝和你们的观点是一致的，但是呢就是想小小提醒一下，最近确确实实是 ...全文,384,399,3400,中国,上海,上海,RM8012 /💜JJLIN,1329,36万,女,https://weibo.com/u/1787900610,https://m.weibo.cn/detail/Pda20xpaN,Pda20xpaN
5130991790459983,Pd0eL1VF5,SH_席美丽,2025-02-06 10:00:35,林俊杰新闻澄清贴！耐着性子又看了一遍所谓呕心沥血的脱粉长文！根本就是一个捕风捉影的集合文章，这位提到的吃甜品被拍，林俊杰无语的事情完全不是她说的那样。1️⃣不是被拍，是林俊杰两次私下有这位女生的出行（非单独）都被无良商家（保龄球馆/甜品店）私自发布店内监控，将一群朋友一起的活动监 ...全文,259,298,2731,中国,香港,N/A,RM8012 /💜JJLIN,1329,36万,女,https://weibo.com/u/1787900610,https://m.weibo.cn/detail/Pd0eL1VF5,Pd0eL1VF5
5131358197776780,Pd9LJwD5W,Music_Data,2025-02-07 10:16:33,林俊杰业务能力没的说吧！但宠粉也是真宠粉，不仅长期性的在演唱会上叫女粉为“老婆”，其私人app“林距离”也会经常性举行线下聚会，见面会内容不乏与女粉搂搂抱抱的场面。我看到网络风评都在骂梦女，殊不知他梦女过多的原因也是以上种种行为造成的吧！只能说一切都是有因果关系的，林俊杰43了，随着 ...全文,45,442,5699,中国,浙江,宁波,相信大众的力量，得路人者得天下。,341,64万,男,https://weibo.com/u/6134393125,https://m.weibo.cn/detail/Pd9LJwD5W,Pd9LJwD5W
