微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
1768935374,Ozy2h3f9I,名侦探柯南情报局,2024-10-01 17:45:36,名侦探柯南剧场版《引爆摩天楼》重制版将于10月2日在韩国🇰🇷上映！ 韩国🇰🇷电影周边海报！#名侦探柯南# ,10,15,86,中国,重庆,重庆,更新柯南情报❤️不定时更新柯南语录❤️个人兴趣博❤️偶尔还会腹黑吐槽❤️,201,174万,f,https://m.weibo.cn/u/1768935374?,https://m.weibo.cn/detail/Ozy2h3f9I,
6081133104,,cerise03,2024-10-01 15:45:46,我去柯南展的vlog出锅了(((o(*ﾟ▽ﾟ*)o))) 请问为什么我的语速这么慢。。可是这是我的正常语速。。所以你们知道我剪那些读书视频的时候是多崩溃了(╯°□°）╯︵ ┻━┻总之，柯南餐厅再难吃我也会去吃，柯南电影再难看我也会去看w(ﾟДﾟ)w cerise03的微博视频 ,0,4,24,中国,上海,上海,b站：cerisecerise ig：cerise_032,524,2.7万,f,https://m.weibo.cn/u/6081133104?,https://m.weibo.cn/detail/OzxfDdrKR,OzxfDdrKR
7311202912,,钩钩人,2024-10-01 06:28:13,天啊看西瓜说柯南看了一个月了每次画画都会看，居然还没有能看完所有的才看到三百多集一共五百多投稿 啊啊啊啊啊 西瓜视频太上瘾了！！ ,0,2,49,中国,广东,深圳,会好起来的，一切。-🧊 *清稿中，稿件相关的私信可能会被放置非常不好意思！,792,29.2万,f,https://m.weibo.cn/u/7311202912?,https://m.weibo.cn/detail/OztBjEbxB,OztBjEbxB
3115259807,Ozd44tx1j,叶不羞羞羞羞羞羞,2024-09-29 12:22:21,#名侦探柯南#新兰 最般配的情侣    X：pingkeki #新兰 最般配的情侣# ,1119,254,9564,中国,北京,北京,微博内容请勿转出。 合作qq yx-xxooaini,374,454.3万,f,https://m.weibo.cn/u/3115259807?,https://m.weibo.cn/detail/Ozd44tx1j,
5658828484,,-狄里-,2024-10-01 00:01:47,#灰原哀# #CP30灰原哀街道#  一个摊宣，画册实物请看p10-12或微博相册～ 时间：10.6-10.7  街道：柯南专区-灰原哀街道 摊位：陆C05 ,45,62,243,中国,江苏,镇江,♥うちはオビト,1333,11.6万,f,https://m.weibo.cn/u/5658828484?,https://m.weibo.cn/detail/Ozr4t1RIG,Ozr4t1RIG
5984212664,OzqpGnxzD,柯学馆,2024-09-30 22:21:18,名侦探柯南 上海的朋友又幸福了！二次元“足不出沪”，那么上海到底有谁啊？ #名侦探柯南# 主题书店就在上海！#开学开新谷##十一漫游记#  里面有好多的日版原作漫画、剧场版漫画和公式书杂志，还有平和告白的105卷，还有很多日谷，帆布包，还有全套名侦探柯南30周年纪 ...全文,5,10,54,中国,山西,大同,从初次相遇的那一天起，我就被你的笑容深深的打动了...   【公众号：柯学馆】 【商务：MZTKeNan0504@163.com】,901,20.5万,f,https://m.weibo.cn/u/5984212664?,https://m.weibo.cn/detail/OzqpGnxzD,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
7692523234,,原代琼,2024-09-30 22:33:48,我妹今晚在那看了柯南，于是兴致勃勃回去把书柜里的漫画掏来给她看了(。喂要这么做姐姐吗 ,0,11,74,中国,福建,龙岩,杂食同人女的碎碎念小号捏,61,7.7万,m,https://m.weibo.cn/u/7692523234?,https://m.weibo.cn/detail/OzquL2iYq,OzquL2iYq
2283914744,OzrBN7L2K,My_way丿Mai_way丿Teppei,2024-10-01 01:23:53,揣手努聚集+人偶摄影会+鸟取杯垫+韩国相关 #名侦探柯南# ,27,10,88,中国,浙江,宁波,倉木麻衣 | 名侦探柯南 | Koike Teppei | Bourbon,701,22万,m,https://m.weibo.cn/u/2283914744?,https://m.weibo.cn/detail/OzrBN7L2K,
2093542865,OzybOCAyi,工藤家的新兰君,2024-10-01 18:09:07,【北荣町观光问讯处销售的商品】 《#名侦探柯南# 贴纸（3种）》各1张 600日元（含税） 每张纸上有 10 张贴纸。 请收集并在各地使用♫ ,1,7,23,中国,重庆,重庆,愿工藤与你同在  愿为你带来第一柯讯   愿新兰永恒！ 【个人账号】  人间讃歌は「勇気」の讃歌ッ！！　人间のすばらしさは勇気のすばらしさ！！,86,4.3万,m,https://m.weibo.cn/u/2093542865?,https://m.weibo.cn/detail/OzybOCAyi,
7871584457,Ozx3x2GwT,jienfan1891,2024-10-01 15:15:57,青山刚昌 #名侦探柯南#    轉北榮町民宿MOKUBA   我刚刚去听了新添加的门铃语音，果然听到了和我想象中一样的帅气声音！ ,0,18,31,中国,台湾,新北市,,342,7.8万,f,https://m.weibo.cn/u/7871584457?,https://m.weibo.cn/detail/Ozx3x2GwT,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
5856267026,Ozzv84t72,白梦泽-婉拒不需回复,2024-10-01 21:29:26,名侦探柯南周边 出 ,0,0,0,中国,江苏,南京,无人之地，出物专用,6,2,f,https://m.weibo.cn/u/5856267026?,https://m.weibo.cn/detail/Ozzv84t72,
5262197980,Oz3Q2j81g,特别篇,2024-09-28 12:53:03,帅男人和帅女人们的集合  画师x：KDKIIZ 动漫黑白插画 名侦探柯南 新兰  平和  京园 快青 ,2,1,73,中国,广西,崇左,ㅤㅤㅤㅤ,570,5.5万,m,https://m.weibo.cn/u/5262197980?,https://m.weibo.cn/detail/Oz3Q2j81g,
6048628717,OzzrA2Dna,1Perfumem,2024-10-01 21:20:42,名侦探柯南周边  问市场价并收  预热月下基德  m27红镜子基德 275一套砍帽 举枪 半身 ,0,1,0,中国,辽宁,沈阳,今年41岁身高100，体重180，正在读小班本少爷风流倜傥而且三观正还十分善良有爱心，但是觊觎本少爷美貌的人太多…唉，谁叫本少爷天生就那么帅,366,82,m,https://m.weibo.cn/u/6048628717?,https://m.weibo.cn/detail/OzzrA2Dna,
5049319816,OzzqV3KrD,豆丁杂货店妙想货车,2024-10-01 21:19:04,名侦探柯南   柯南周边开箱丨迷你文件夹明信片夹合集  #豆丁的动漫货车# ,0,0,0,中国,北京,北京,热爱动漫，分享周边,215,3275,f,https://m.weibo.cn/u/5049319816?,https://m.weibo.cn/detail/OzzqV3KrD,
2093542865,OzyjCkQjt,工藤家的新兰君,2024-10-01 18:28:20,与人气漫画《#名侦探柯南# 》有渊源的北荣町，从全国招募5名IT工程师，从粉丝的角度提出利用柯南的城市建设提案。镇上考虑能否将粉丝提案的想法运用到施策中。  该町是漫画作者青山刚昌的出身地。“以充满对柯南的爱”的IT工程师为对象，8～22日招募参加者。  被选中的5人首先出席12月4日～6日在该镇举 ...全文,0,1,14,中国,重庆,重庆,愿工藤与你同在  愿为你带来第一柯讯   愿新兰永恒！ 【个人账号】  人间讃歌は「勇気」の讃歌ッ！！　人间のすばらしさは勇気のすばらしさ！！,86,4.3万,m,https://m.weibo.cn/u/2093542865?,https://m.weibo.cn/detail/OzyjCkQjt,
