微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5120974987200764,P8NECudfm,环球网,2025-01-09 18:37:23,#特朗普再发美版新地图##特朗普发新地图将美加格陵兰岛标记统一颜色# 【继续拱火？特朗普发了张“新地图”：美国、加拿大和丹麦格陵兰岛均用统一颜色标记 】据“今日俄罗斯”（RT）报道，美国候任总统特朗普当地时间8日在其自创社交平台发布一张“新地图”，图上丹麦的格陵兰岛、加拿大和美国均用统一 ...全文,297,525,5744,中国,北京,北京,每日滚动发送热门国际台海新闻。环球网，世界很精彩！,1500,2779.4万,女,https://weibo.com/u/1686546714,https://m.weibo.cn/detail/P8NECudfm,P8NECudfm
5120909927515500,P8LXGvx7K,大爆君,2025-01-09 14:18:51,洛杉矶百年以来最大规模的野火，目前正在逼近好莱坞！杜比剧院等地标建筑已进行疏散。  特朗普发帖要求加州州长辞职：“美利坚合众国最美丽的地方之一正在被大火夷为平地，燃烧殆尽！加文·纽瑟姆应该辞职。这都是他的错！！”（图3）  马斯克宣布将向洛杉矶受灾地区免费提供 Starlink（星链）上网服务 ...全文,3,10,48,中国,北京,北京,公号【i-BigKing】；QQ联系【1470816951】,245,944.7万,男,https://weibo.com/u/1816750115,https://m.weibo.cn/detail/P8LXGvx7K,P8LXGvx7K
5120864938364893,P8KN7z65D,胡锡进,2025-01-09 11:20:05,特朗普玩大了！他7日拒绝排除使用军事或经济力量实现领土扩张，矛头直指格陵兰岛和加拿大，把西方内部的共同价值观和对美国的希望全都震碎了。老胡在此做一个大胆预测：西方将开启前所未有的大猜疑、大分裂时代。如果再大胆一点预测，“西方”这个概念和政治共同体将面临崩溃。  法国和德国8日带头做出 ...全文,264,964,2393,中国,北京,北京,胡锡进，一个“复杂中国”的报道者。,372,2483.3万,男,https://weibo.com/u/1989660417,https://m.weibo.cn/detail/P8KN7z65D,P8KN7z65D
5120937911124230,P8MGP4IsK,地瓜熊老六,2025-01-09 16:10:02,大家发现没有，特朗普做了总统以后，特朗普要吞并加拿大，要吞并格陵兰岛，也没有人跳出来说破坏营商环境了，也没有人说破坏美加关系了，也没有人说破坏美丹关系了，也没有人说人心惶惶资本跑跑了。 ,176,193,2750,中国,辽宁,大连,非著名漫画家,4242,666.8万,男,https://weibo.com/u/3939426052,https://m.weibo.cn/detail/P8MGP4IsK,P8MGP4IsK
5120918533964578,P8MbzgDmO,观察者网,2025-01-09 14:53:03,美国洛杉矶山火完全失控，特朗普要求加州州长辞职  #特朗普要求加州州长就山火失控辞职# 观察者网的微博视频 ,96,0,882,中国,上海,上海,关注我们,1314,2006.5万,男,https://weibo.com/u/1887344341,https://m.weibo.cn/detail/P8MbzgDmO,P8MbzgDmO
5121061425516117,P8PU2n8ZD,飘先生Pp,2025-01-10 00:20:51,#特朗普要求加州州长就山火失控辞职#十年来最强山火，还带着100mph的狂风……震撼又吓人……确定不是贝利亚来了吗 ,25,40,329,中国,广西,防城港,如果我有留下你的勇气,2427,20.9万,男,https://weibo.com/u/3970402202,https://m.weibo.cn/detail/P8PU2n8ZD,P8PU2n8ZD
5115485874816949,P6uRdkd6J,菲姐聊政经,2024-12-25 15:05:36,老川的祖先应该是俄国人而不是德国人吧？都AI时代了，还跟他亲爹普爸爸一样，用中世纪的shit脑袋，失心疯地觊觎别国的土地～#特朗普赢得2024美国大选# ,10,16,128,中国,北京,北京,投资人、财经专栏作家。坚守普世价值；💩曲一律拉黑。 失联搜“菲姐聊不政经”、“菲姐仗剑天涯”,489,14.8万,女,https://weibo.com/u/7604941593,https://m.weibo.cn/detail/P6uRdkd6J,P6uRdkd6J
5120899798010302,P8LHlxBQq,胜利主义章北海,2025-01-09 13:38:36,图一是中文互联网经典的问题了，现在又被川宝亲自下场打脸 #特朗普再发美版新地图# ,35,76,606,中国,广东,深圳,资深互联网冲浪选手,1233,297.2万,男,https://weibo.com/u/2281157913,https://m.weibo.cn/detail/P8LHlxBQq,P8LHlxBQq
5121011383534147,P8OBkePon,前HR本人,2025-01-09 21:02:00,东欧媒体Visegrád 24在1月8日晚援引电讯报报道：“突发新闻：欧盟‘不会容忍’美国接管格陵兰岛。法国表示，欧洲是一个强大的大陆，不会被吓倒。它警告特朗普不要威胁欧盟的‘主权边界’”  欧洲就是乌合之众，现在来自特朗普大耳光真是痛快。 欧洲和北约这些傻狗，天天说中国威胁论，现在知道什么是真 ...全文,34,97,551,中国,广东,深圳,公众号：“前HR随笔”。不代表任何公司和其他人；无法保证100%准确。,198,205.4万,男,https://weibo.com/u/3626485974,https://m.weibo.cn/detail/P8OBkePon,P8OBkePon
5120937715044600,P8MGvlakw,水獭一般编-阿怡,2025-01-09 16:09:16,#拜登呼吁特朗普不要搞清算#  要不你们俩位爷找条河？ ,9,54,916,中国,上海,上海,你们已经走过了漫长的道路，取得了数不清的荣誉，但追求真理的道路依然且阻且长,1085,47万,男,https://weibo.com/u/6285204404,https://m.weibo.cn/detail/P8MGvlakw,P8MGvlakw
