微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5119573064419266,P8dbsixEu,龙首原上望长安,2025-01-05 21:46:38,王冰冰  大家晚上好 截修·《说走就走·哈尔滨 | 冰天雪地任逍遥》 横屏5120×2880，竖屏2880×5120 冰冰就是冰天雪地中的暖宝宝 （大家记得加载原图） ,13,32,59,中国,陕西,西安,别取关，换了个昵称而已，会继续发冰冰截修,489,439,男,https://weibo.com/u/6341534190,https://m.weibo.cn/detail/P8dbsixEu,P8dbsixEu
5119399272384723,P88F9a0nh,羽星幻,2025-01-05 10:16:03,王冰冰 三个路拍        来源:🍠  from0 ,4,26,33,中国,广东,深圳,,103,694,男,https://weibo.com/u/5420376009,https://m.weibo.cn/detail/P88F9a0nh,P88F9a0nh
5118793133853200,P7STvgaoo,吻奶珊的喵酱,2025-01-03 18:07:28,王冰冰王冰冰 原来你是我最想留住的幸运。@吃花椒的喵酱  ,2,130,85,中国,浙江,温州,随心所欲,477,1.9万,女,https://weibo.com/u/1799906660,https://m.weibo.cn/detail/P7STvgaoo,P7STvgaoo
5118790742839691,P7SPEbUJt,吃花蜜的喵酱,2025-01-03 17:57:58,王冰冰 近距离看冰冰·吉林春晚录制 来自小红📖用户Yuan. 吃花蜜的喵酱的微博视频 ,11,58,233,中国,江苏,南京,,132,6.7万,男,https://weibo.com/u/2719690694,https://m.weibo.cn/detail/P7SPEbUJt,P7SPEbUJt
5119099431292357,P80Rx5qct,海尔,2025-01-04 14:24:35,#新年送你一套小红花# 知道宝子们已经等不及啦出发！尔滨，我们来啦戳👇1月5日13：00锁定《说走就走•哈尔滨｜冰天雪地任逍遥》直播间，我们哥俩带宝子们一起跟随央视总台主持人王冰冰@吃花椒的喵酱 和任鲁豫@任鲁豫 ，走进哈尔滨冰雪大世界，见证在冰雪世界里的温暖奇迹，解锁海尔 ...全文,107,44,180,中国,山东,N/A,在这里，你将认识一个不一样的海尔！,1748,294.1万,男,https://weibo.com/u/1728875812,https://m.weibo.cn/detail/P80Rx5qct,P80Rx5qct
5118379688199598,P7I8Eyp5A,清风娱评,2025-01-02 14:44:35,王冰冰和央视的同事一起吃饺子，她现在状态大好，皮肤白皙嫩滑，新发型很减龄，一点不像34岁，说她是大学生也不为过 ,0,14,79,中国,安徽,马鞍山,,494,12万,女,https://weibo.com/u/5761306459,https://m.weibo.cn/detail/P7I8Eyp5A,P7I8Eyp5A
5116670890743540,P6ZGx37qA,Lidaren初见ZZ,2024-12-28 21:34:26,#最难忘的跨年夜舞台#✨#跨年舞台高能瞬间# 许魏洲×王冰冰《河山大好》全景+直拍😘  ♪  心情大好 出去走走  碧海蓝天 吹吹风      河山大好 出去走走  别窝在家 当懒虫  ♪  许魏洲、王冰冰的嗓音真的太搭了！！！空气中都弥漫着甜甜的氛围～《河山大好》真的不是峨眉山、庐山、黄山、嵩 ...全文,31,55,266,中国,江苏,南京,傻瓜，我们都一样，被生活伤了又伤。,10936,5279,男,https://weibo.com/u/6005936383,https://m.weibo.cn/detail/P6ZGx37qA,P6ZGx37qA
5116885026999988,P75fUtn12,小雨陪你追短剧,2024-12-29 11:45:20,娱乐圈可爱多   明天下午两点将要上线的短剧王冰冰&amp;陈冠峄&amp;程澄《七日缘浅恋曲未央》抢先看，需要自取！1女V4男！  K：网页链接 D:网页链接   王乐乐遭遇了男友张朗的背叛。一次对天空的许愿让她的生活发生了翻天覆地的变化，霸道总裁秦放突然出现在她的房间，她也因 ...全文,0,5,36,中国,陕西,商洛,分享好看的影视剧，关注我不迷路！,568,28.8万,男,https://weibo.com/u/7872351375,https://m.weibo.cn/detail/P75fUtn12,P75fUtn12
5116707590636804,P70DJ2FF2,娱小浠,2024-12-29 00:00:16,王冰冰素颜像高中生，气质好，难怪这么多人喜欢她 ,14,30,250,中国,湖北,黄冈,姐妹，稍微有点姿色就行了，倒不必美的如此满分,118,21.3万,女,https://weibo.com/u/5553381881,https://m.weibo.cn/detail/P70DJ2FF2,P70DJ2FF2
5115454270738770,P6u2f36bE,央视频,2024-12-25 13:00:01,【#王冰冰邀你感受美好与温暖#】总台直播电商平台#央央好物即将上线#，快跟随总台记者王冰冰@吃花椒的喵酱 一起关注#央央好物#，感受生活的舒心、放心、安心，一起分享美好与温暖！ 央视频的微博视频 ,36,40,87,中国,北京,北京,中央广播电视总台央视频官方账号。“央视频”是总台推出的综合性视听新媒体旗舰平台。,94,478.6万,女,https://weibo.com/u/7211561239,https://m.weibo.cn/detail/P6u2f36bE,P6u2f36bE
5119817237400228,P8jxhv38w,吻奶珊的喵酱,2025-01-06 13:56:54,王冰冰#王冰冰#  暮冬梨花扑上旧窗 像你初次回眸的模样 ,1,2,39,中国,浙江,温州,随心所欲,477,1.9万,女,https://weibo.com/u/1799906660,https://m.weibo.cn/detail/P8jxhv38w,P8jxhv38w
