微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5169031218202466,PsXOFypPQ,栢十一,2025-05-22 09:15:41,“不是说讨喜某个受众的美，而是她本身就是美的”【貂蝉-馥梦繁花】美神临世！！！这两天排位越玩越爽无论是手感、特效、音效都封神！！！尤其是技能特效上，不同花卉植物、宝石还有昼夜更迭、季节变化，太细节了真的太喜欢了，还有人没有这款皮肤吗？ ...全文,170,68,140,中国,福建,福州,“爱玩游戏的咸鱼画师”,3344,16.9万,男,https://weibo.com/u/5995164695,https://m.weibo.cn/detail/PsXOFypPQ,PsXOFypPQ
5168354104971633,PsGcykRlD,时尚芭莎,2025-05-20 12:25:05,#貂蝉登陆时尚芭莎双刊##貂蝉时尚芭莎艺术灵感女神# 当艺术哲思与数字美学相遇，新艺术运动的笔触在虚拟世界重生。《时尚芭莎》执行出版人兼主编沙小荔@小荔BAZAAR ，作为此次《王者荣耀》游戏角色貂蝉「馥梦繁花」皮肤的“时尚力指导”，以当代视角诠释经典美学，解构艺术与数字时代的跨时空对话；而 ...全文,774,461,6010,中国,北京,北京,Harper's BAZAAR中国版；中国具有影响力的高端女性时尚杂志；创办BAZAAR明星慈善夜，让慈善影响中国。,911,1814.8万,女,https://weibo.com/u/1708288824,https://m.weibo.cn/detail/PsGcykRlD,PsGcykRlD
5169042186571536,PsY6mrzyw,雨响,2025-05-22 09:59:16,王者荣耀小乔：双人同舞有船开船，和搭子的配合默契度更容易拉满~偶尔捡个漏网之鱼也可以的dl断线#貂蝉慕夏新皮肤##我和我的双人同舞搭子# . #王者荣耀# 雨响的微博视频 ,72,78,338,中国,广东,汕头,互关投稿可私信🌸,3153,48.2万,女,https://weibo.com/u/7304186240,https://m.weibo.cn/detail/PsY6mrzyw,PsY6mrzyw
5168741021389475,PsQgC5PsT,王者荣耀,2025-05-21 14:02:33,#国漫导演李炜打造貂蝉风格化动画##貂蝉慕夏艺术联动皮肤#林野深处，流传着生息女神的传说在她所居住的天外之地，万物生息自神的指尖汇聚，洒向人间，带来一切美的启示...这次，我们很高兴邀请曾参与《宝莲灯》《大鱼海棠》《姜子牙》等经典动画制作的李炜导演，为貂蝉-馥梦繁花皮肤打 ...全文,314,529,4341,中国,四川,成都,闺蜜闺蜜想不想和我玩王者荣耀喵喵喵,150,2130.9万,女,https://weibo.com/u/5698023579,https://m.weibo.cn/detail/PsQgC5PsT,PsQgC5PsT
5168673594802486,PsOvRk9ls,是阿阿阿阿阿水,2025-05-21 09:34:37,貂蝉慕夏新皮肤实战体验这把我貂蝉是辅助，对面貂蝉是射手然后我双杀了#貂蝉慕夏新皮肤##貂蝉慕夏新皮肤实测报告##王者荣耀# 是阿阿阿阿阿水的微博视频 ,85,227,419,中国,湖南,永州,为有意思的游戏用爱发电,4100,129.7万,男,https://weibo.com/u/5831254486,https://m.weibo.cn/detail/PsOvRk9ls,PsOvRk9ls
5169034326444790,PsXTGr2Ae,晴琴倾心,2025-05-22 09:28:02,#貂蝉慕夏新皮肤##我和我的双人同舞搭子#小小米莱狄还敢偷塔？！哦吼！让你了解一下兰陵王的压迫感，感叹号❗️警告，我来收你来了吼～#王者荣耀# 晴琴倾心的微博视频 ,1,59,87,中国,上海,上海,游戏重度爱好者，和我一起沉浸在游戏乐趣里吧！,7478,45.7万,女,https://weibo.com/u/6037288398,https://m.weibo.cn/detail/PsXTGr2Ae,PsXTGr2Ae
5169024318573781,PsXDxzYqN,浮梦罗烟,2025-05-22 08:48:16,王者11款无双皮肤推塔铭刻特效对比！个人心目中排名貂蝉&gt;甄姬&gt;公孙离&gt;火舞等等...貂蝉这个双形态变幻太绝了，不过也是里面最贵的，从整体来看，大家最喜欢哪位英雄的推塔特效？#王者荣耀##貂蝉慕夏新皮肤# .#貂蝉慕夏新皮肤实测报告# ,62,79,173,中国,江苏,苏州,杨玉环/紧那罗/海月/萍儿/申鹤,2198,40.8万,女,https://weibo.com/u/6022468166,https://m.weibo.cn/detail/PsXDxzYqN,PsXDxzYqN
5169015246295574,PsXoUqpLw,幽筱冰,2025-05-22 08:12:13,王者荣耀#貂蝉慕夏新皮肤##貂蝉慕夏新皮肤实测报告# 翩若惊鸿，婉若游龙，双形态自由切换，馥梦繁花的创意故事再多元一些，完全可以创造一部舞剧，就问小王有没有这个打算呀。#王者荣耀# 幽筱冰的微博视频 ,51,70,61,中国,上海,上海,🍀一枚热爱游戏、喜欢看展与娱乐的文艺女神经🍀,697,37.1万,女,https://weibo.com/u/1223827742,https://m.weibo.cn/detail/PsXoUqpLw,PsXoUqpLw
5169044912082277,PsYaL8JH7,Cynczl,2025-05-22 10:10:06,「馥梦繁花·美神临世」“我执自然为笔作画，在昼与夜的画布上描摹。”#貂蝉馥梦繁花画师接力##貂蝉十年美貌见证##王者荣耀#王者荣耀貂蝉 ,50,321,1048,中国,重庆,重庆,成为一个温柔且强大的人。,396,45.2万,女,https://weibo.com/u/5536332847,https://m.weibo.cn/detail/PsYaL8JH7,PsYaL8JH7
5169033739765179,PsXSJEYmT,貂蝉风华集,2025-05-22 09:25:42,#王者荣耀貂蝉# 🪷 #貂蝉农女一# 【貂蝉·慕夏 - 馥梦繁花的市场表现捷报】貂蝉新皮肤单日流水成绩亮眼，作为独立单池直面DNF周年庆、吃鸡520等热门活动冲击，以一己之力成功抵御竞品游戏的流量攻势，持续登顶。数据显示，该皮肤昨日2025-05-21的出场率持续上扬，较2025-05-20提升1.4个百分点， ...全文,6,57,198,中国,江西,N/A,王者荣耀貂蝉专属主页号｜华丽又漂亮地生存到最后🪷｜貂蝉相关产出可@或私信投稿,223,16.1万,女,https://weibo.com/u/7738345731,https://m.weibo.cn/detail/PsXSJEYmT,PsXSJEYmT
5169063477380381,PsYEHuXYp,小暮wwww,2025-05-22 11:23:52,王者荣耀代打 西施酱aq1878到1950要求1900西施打满代价来 ,0,0,0,中国,广东,茂名,,20,4,男,https://weibo.com/u/7007809258,https://m.weibo.cn/detail/PsYEHuXYp,PsYEHuXYp
5168830724709915,PsSBijLgn,克拉克的猫偷鱼,2025-05-21 19:59:00,JDG王者荣耀 既然提到了这事，我也很搞不懂为什么有人磕tr，看见有人说tr是什么白月光就想笑，你融从hero转会到es后说花海是他梦寐以求的野王，当时hero成绩不好多少人用这句话嘲讽无畏，给久酷直播几千几千的送礼物，累计也有一两万了，互相老王小黄的叫，到无畏这里就说没钱了一分钱没送过， ...全文,0,45,302,中国,重庆,重庆,,47,162,女,https://weibo.com/u/1967483434,https://m.weibo.cn/detail/PsSBijLgn,PsSBijLgn
5169063413157718,PsYEBdfsW,脸红的猪头,2025-05-22 11:23:37,出iq女号西施朵朵桑启全皮 有紫瑶  甄姬女儿国蔡文姬圣诞奇迹大乔朵朵情限等质量皮 小乔、妲己有kitty星元 安琪拉库洛米张飞兔狲  两水20传小漂亮 #王者出号#王者荣耀交易 ,0,0,0,中国,湖南,益阳,we  are  one,40,25,女,https://weibo.com/u/7260639097,https://m.weibo.cn/detail/PsYEBdfsW,PsYEBdfsW
5169063410273516,PsYEB199y,咕噜_咕噜_泡,2025-05-22 11:23:36,荣耀茶话会 有没有老婆能解答一下，为什么现在刷实时刷不出来？想看看貂蝉好加，搜出来一直都是几十分钟甚至几个小时之前的 ,0,0,0,中国,安徽,黄山,,378,245,女,https://weibo.com/u/5545490513,https://m.weibo.cn/detail/PsYEB199y,PsYEB199y
5169063380390001,PsYEy1Dsl,小酸梅子糖,2025-05-22 11:23:29,荣耀茶话会  接接ios双区1200-1500巅峰赛 打野位玩曜 有能量58r  中路位玩小乔 有能量78r 需要的老婆私信或者直接➕我主页v ,0,0,1,中国,湖南,N/A,v ：Oct07amy,642,550,女,https://weibo.com/u/7871302247,https://m.weibo.cn/detail/PsYEy1Dsl,PsYEy1Dsl
5169063376197124,PsYExq09C,yanee希望,2025-05-22 11:23:28,王者荣耀交易  3788出aqv10女号 紫瑶绿巧孔雀 王昭君魔法少女 妲己蓝莓 安琪拉量子 孙尚香熊猫 6水3无双66传说 营地416642013 ,0,0,0,中国,广东,深圳,可以免费代挂 喜欢有礼貌的宝宝 主页号只是部分 可以加我看相册,215,238,女,https://weibo.com/u/7749685209,https://m.weibo.cn/detail/PsYExq09C,PsYExq09C
