微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5168785456632301,PsRqhrPmB,网易第五人格,2025-05-21 16:59:07,#第五人格维护公告#2025年5月22日维护公告：——【版本福利】：为感谢访客们一直以来的陪伴和支持，维护后登录游戏可领取【第三十八赛季·精华2×10】——【赛季精华】：本周第三十八赛季·精华2正式开放，全新时装更新，包括“逃脱大师”稀世时装-死生之谕、渔女奇珍时装-审判之翎和咒术师奇珍时装-噬 ...全文,60,1686,11818,中国,广东,广州,恶名昭著的罪恶庄园，欢迎各位来临： 官方网址：http://id5.163.com/ 官方微信：identity5,176,599万,男,https://weibo.com/u/6140485374,https://m.weibo.cn/detail/PsRqhrPmB,PsRqhrPmB
5168697330370699,PsP891yr1,小小小砸墨,2025-05-21 11:08:56,暑期直播时间定档！参考往期爆料内容预测！第五人格#第五人格多多干杯##第五人格##第五人格七周年# 小小小砸墨的微博视频 ,1,16,202,中国,广东,潮州,第五人格骨灰级玩家,47,69.3万,男,https://weibo.com/u/6064923328,https://m.weibo.cn/detail/PsP891yr1,PsP891yr1
5169042371121027,PsY6F4HD5,第五人格赛事,2025-05-22 10:00:00,ZETA DIVISION COAⅧ冠军时装选角公示#COA8全球总决赛##第五人格COA8#雷霆万钧，苍穹之巅！再次恭喜@ZETA_DIVISION_第五人格部門 获得深渊的呼唤Ⅷ全球总决赛冠军！COAⅧ冠军时装最终选角为：求生者：前锋监管者：歌剧演员第五人格赛事 ,70,104,329,中国,广东,深圳,第五人格赛事君,209,181.6万,男,https://weibo.com/u/7199932275,https://m.weibo.cn/detail/PsY6F4HD5,PsY6F4HD5
5164203624366307,PqWeeijSj,手游娘,2025-05-09 01:32:33,谁懂飞天老登出来时的救赎感？不许说约约油腻，只能说皮塔…#第五人格致歉低级失误##第五人格##第五人格攻略# 手游娘的微博视频  ,126,200,3597,中国,江西,赣州,资深游戏玩家，游戏测评师。合作请私信,756,551万,女,https://weibo.com/u/5936492384,https://m.weibo.cn/detail/PqWeeijSj,PqWeeijSj
5168998431065434,PsWXN4taq,idV_photographer_blogger,2025-05-22 07:05:24,"第五人格约瑟夫 【251】人过来，蒜有话要对你们说⌓‿⌓平台：微博 | 🍠  |LOF作者：@宇宙无敌飞天裤衩 ｜🍠：肥美的飞天大裤衩 ｜lof：绝望的穷b#第五人格摄影师# 📸#吾将逝去,而时光永存#  专栏 · 相中行者 ",2,17,92,中国,上海,上海,【第五人格约瑟夫主页】Joseph的大相机📷,172,1.5万,男,https://weibo.com/u/7929341830,https://m.weibo.cn/detail/PsWXN4taq,PsWXN4taq
5168798241918526,PsRKU835Y,折扇泣血画中人,2025-05-21 17:49:55,第五人格 太好了，我看以后谁敢在超话骂角色√字辈，天天和生活不如意一样揪个虚拟角色骂来骂去，还有角色日底下骂角色的人好似，以后遇到角色日底下骂角色的应该也能永久屏蔽了 ,1,43,489,中国,陕西,N/A,上天不给我的，无论我十指怎样紧扣，仍然走漏; 给我的，无论过去我怎么失手，都会拥有。,2189,2.9万,男,https://weibo.com/u/3612280712,https://m.weibo.cn/detail/PsRKU835Y,PsRKU835Y
5168811440603466,PsS6c2wZk,希索CAIN,2025-05-21 18:42:21,杰佣 【杰佣】睡醒了，今天真是美好的一天。521快乐啊小坏。昨晚小坏想喊小熊吃宵夜被打了一巴掌，喊第二次又被打了一巴掌。最后顶着两个巴掌印点了外卖和小熊吃完了。#第五人格同人##第五人格##杰佣#  网页链接 ,0,24,337,中国,广东,广州,这里希索，是个画画的,429,11.8万,女,https://weibo.com/u/5457429938,https://m.weibo.cn/detail/PsS6c2wZk,PsS6c2wZk
5168778390275657,PsReT19I5,服鱼鱼_,2025-05-21 16:31:02,第五人格勘探员  公路骑士回应一下长得像表情包事件 ,1,22,177,中国,北京,北京,我是遵纪守法好公民。吃饭前请先看置顶，踩我雷了直接咔。每周都会修正粉丝，误清的话很抱歉🙏🏻,51,992,女,https://weibo.com/u/6613318659,https://m.weibo.cn/detail/PsReT19I5,PsReT19I5
5168809834450027,PsS3BiFED,sweet甜_Td,2025-05-21 18:35:59,第五人格双勘 我带着哥弟来了【鼹跳】521浮力大放送，哥弟咋这香呢 ,1,15,384,中国,广东,N/A,不常上线，放完图就跑 。,7,1805,女,https://weibo.com/u/6607678499,https://m.weibo.cn/detail/PsS3BiFED,PsS3BiFED
5168700304392692,PsPcWiqJS,手游妹,2025-05-21 11:20:45,#第五人格coa6##第五瓜格##第五人格#斯，“捡手机文学”是真的？ 手游妹的微博视频 ,28,37,307,中国,河南,洛阳,一个热爱游戏的少女,340,315.9万,女,https://weibo.com/u/6455860019,https://m.weibo.cn/detail/PsPcWiqJS,PsPcWiqJS
5169047697098735,PsYfftMHJ,不许叫我卷心菜,2025-05-22 10:21:10,第五人格交易  iOS官 二阶 打满周上限及包月多少 ,0,0,0,中国,北京,北京,坏和美好 我用血肉去感受,584,97,女,https://weibo.com/u/7295001938,https://m.weibo.cn/detail/PsYfftMHJ,PsYfftMHJ
5169047688709908,PsYfeAxQo,PLASTIC____,2025-05-22 10:21:08,第五人格骑士 六十抽拿下😋 ,0,0,0,中国,山东,威海,我最最最最最最喜欢松烯了！,98,19,女,https://weibo.com/u/7782408329,https://m.weibo.cn/detail/PsYfeAxQo,PsYfeAxQo
5169047681370585,PsYfe5Kyd,LiKE_理科w,2025-05-22 10:21:06,第五人格红蝶 接本赛季精华三红蝶二限接接接接接接接接接接接接接接 ,0,0,0,中国,湖北,N/A,,69,7,女,https://weibo.com/u/7745519629,https://m.weibo.cn/detail/PsYfe5Kyd,PsYfe5Kyd
5169047656464463,PsYfbr7Hx,古都忌子,2025-05-22 10:20:59,第五人格 有点抽精华上头我喜欢角色的绿皮和涂鸦在精华二肝和送的球死活没捞到，有点想花资源强抽，但是对该精华高级皮不太喜欢好崩溃wy给我发个绿皮解锁卡吧，上次我为了绿皮抽一百发还历历在目 ,0,0,0,中国,河北,N/A,咸鱼,237,70,女,https://weibo.com/u/6089773591,https://m.weibo.cn/detail/PsYfbr7Hx,PsYfbr7Hx
5169047654105343,PsYfbhdZd,撒点白胡椒,2025-05-22 10:20:59,第五人格交易 重新发一下，把这些任务打完多少，只要友谊之信的 ,0,0,0,中国,江西,南昌,,312,187,男,https://weibo.com/u/5710370736,https://m.weibo.cn/detail/PsYfbhdZd,PsYfbhdZd
5169047641523398,PsYfa6oiW,阿糖不吃芋圆,2025-05-22 10:20:57,第五人格 朋友们这个位置可以放下即将返场的沙滩躺椅吗 ,0,0,0,中国,河南,信阳,qwq,869,824,女,https://weibo.com/u/7657531006,https://m.weibo.cn/detail/PsYfa6oiW,PsYfa6oiW
