微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
5169023947901460,PsXCWx9wU,神奈川莉世,2025-05-22 08:46:48,#陈丽云被逮捕#好事不出门坏事传千里啊，拿点实质这种证据出来再说别人吧，黄杨钿甜的耳环专业珠宝鉴定师都说不是正品还抓住不放 ,11,423,5068,中国,四川,成都,皮下很多 有事私信,405,2.6万,女,https://weibo.com/u/7647569785,https://m.weibo.cn/detail/PsXCWx9wU,PsXCWx9wU
5168898040664149,PsUlS2MM5,顺直天菜,2025-05-22 00:26:29,#黄杨钿甜耳环事件最新进展#不都说耳环是假的了吗，为什么还要揪着不放不要对人家的钱太有占有欲了。而且四川慈善总会回应了办公室主任和黄杨钿甜爸爸不是同一人，只是同名同姓！现在给他们道歉还来得及#黄杨钿甜同款耳环已量产# ,58,1116,23369,中国,河南,郑州,铁t微gay🌈｜希望被世界温柔以待｜接商务推广,1031,2937,男,https://weibo.com/u/6365061255,https://m.weibo.cn/detail/PsUlS2MM5,PsUlS2MM5
5169008912894237,PsXeHc8Vf,地瓜熊老六,2025-05-22 07:47:03,#天价耳环事件真是公众集体仇富吗#这和仇富有什么关系？？？娱乐圈那么多明星，随便一个都比网友有钱，网友怎么不仇别人？？？如果不是她父亲身份特殊，谁会关心她的钱是怎么来的。网友怎么就成了仇富？怎么就成了网暴？网友是不是应该集体向黄杨钿甜道歉？？？ ,22,102,1062,中国,辽宁,大连,非著名漫画家,4272,667.5万,男,https://weibo.com/u/3939426052,https://m.weibo.cn/detail/PsXeHc8Vf,PsXeHc8Vf
5168894788766145,PsUgCAMtr,英雄联盟神吐槽,2025-05-22 00:13:34,黄杨钿甜就是典型的想炫富营销富二代人设翻车的那种内娱🌸🥜营销自己富二代的很多，但是大部分是进内娱之前的素人照片，或者是由同学朋友之口说出，也有是粉丝爱扒的进圈后这么刻意炫富的反而是少数黄杨钿甜那句耳环是找妈妈的，不就是想告诉大家我家有钱我是富家女？ ...全文,33,186,3660,中国,江西,赣州,欢迎来到召唤师峡谷，商务合作❤️:QCSW321,572,659.3万,男,https://weibo.com/u/5679399630,https://m.weibo.cn/detail/PsUgCAMtr,PsUgCAMtr
5168860249719679,PsTmUEMx1,胡锡进,2025-05-21 21:56:19,老胡评：耳环事件加剧了一些人对社会公平的深层担忧 #胡侃# 胡锡进的微博视频 ,118,480,1786,中国,北京,北京,胡锡进，一个“复杂中国”的报道者。,375,2488.6万,男,https://weibo.com/u/1989660417,https://m.weibo.cn/detail/PsTmUEMx1,PsTmUEMx1
5168915862259172,PsUOC9tIg,应旺,2025-05-22 01:37:18,#天价耳环事件真是公众集体仇富吗#黄杨钿甜“天价耳环”事件持续发酵！成人礼照片里的230万耳环，引出父亲公职背景、公司异常操作等诸多争议。虽其父已回应、慈善总会也做了澄清，但关键疑点仍未解开。公众关注的不仅是明星炫富，更是背后可能存在的权力寻租和财富不合法问题。大家都在等一个真相， ...全文,19,68,735,中国,天津,天津,专注社会财经，传播企业故事；聚焦城市发展，观察产业更新；关注时事热点，网聚科技之声；传承微博之力，助力乡村振兴！微信：yingzhuliQ,3264,420.9万,男,https://weibo.com/u/1940798632,https://m.weibo.cn/detail/PsUOC9tIg,PsUOC9tIg
5169048576857871,PsYgFsM2P,可莉喵喵酱,2025-05-22 10:24:40,#黄杨钿甜##黄杨钿甜同款耳环已量产#关于黄杨钿甜耳环：公司说是品牌方借的，黄杨钿甜说是妈妈的，她爸爸说这就是假货……这都是假的，那谁才是真的啊…😵💫#热点观点# ,9,26,549,中国,四川,绵阳,游戏博主（热门游戏日常，资讯，二创，攻略等推荐分享）【商务/推广】私｜投稿  私,609,31.1万,女,https://weibo.com/u/5747757876,https://m.weibo.cn/detail/PsYgFsM2P,PsYgFsM2P
5168898225212982,PsUmalS8m,小F来咯-,2025-05-22 00:27:13,#黄杨钿甜耳环事件最新进展#太有石粒了，230w秒变赝品，倒是真的搞个鉴定证书啊，购买🔗发一发啊不知道下一步会爆什么料来压 ,3,23,319,中国,贵州,毕节,图片文案来自网络，侵联删,2666,2.3万,男,https://weibo.com/u/6482462023,https://m.weibo.cn/detail/PsUmalS8m,PsUmalS8m
5168902419779430,PsUsVF24K,笑圈少女,2025-05-22 00:43:53,#黄杨钿甜耳环事件最新进展#请四川纪委介入  这几天舆论这么大 政府应该有看到吧，请求介入调查 还大众一个真相 还黄杨钿甜 杨伟 一个清白 雅安人反映当时没有补贴，雅安人还以为地震没汶川大，大家都没捐。雅安人民空着手说谢谢 ，那么问题来了，钱去哪里了？#黄杨钿甜#的耳环真的假的不重要 ,22,35,396,中国,广东,佛山,好人一生平安,100,108.2万,女,https://weibo.com/u/5375832358,https://m.weibo.cn/detail/PsUsVF24K,PsUsVF24K
5168903354583618,PsUurjepk,夏祭野-,2025-05-22 00:47:36,#黄杨钿甜耳环事件最新进展#她这个事现在到底什么情况呀，有结果了吗都这么久了…笑死我了 聪明的义乌已开始行动 #黄杨钿甜同款耳环已量产# ,7,17,291,中国,江苏,常州,主包有沙比恐惧症 请远离我.,1815,1.8万,男,https://weibo.com/u/7212196177,https://m.weibo.cn/detail/PsUurjepk,PsUurjepk
5169023748147450,PsXCCybwu,守护二次元自由的小仙女,2025-05-22 08:46:00,#天价耳环事件真是公众集体仇富吗#以后舆论监督或者抓贪官污吏都能洗成仇富了是吧？ ,1,1,136,中国,北京,北京,二次元写手😍,109,1.8万,女,https://weibo.com/u/7830082417,https://m.weibo.cn/detail/PsXCCybwu,PsXCCybwu
5169064739345305,PsYGJDd8J,好月宝,2025-05-22 11:28:53,#天价耳环事件真是公众集体仇富吗#我觉得不是，公众是恨来的是不义之财众生已经很苦了，小妹妹还来刺激大家，嘎嘎大家会恨王思聪吗，不会吧 ,0,0,0,中国,重庆,重庆,我爱物理,1291,1万,女,https://weibo.com/u/5235984200,https://m.weibo.cn/detail/PsYGJDd8J,PsYGJDd8J
5169064722828232,PsYGIbRKE,丫丫资源社,2025-05-22 11:28:49,黄杨甜甜耳环妹妹的瓜🍉🍉🍉k 网页链接d 网页链接 ,0,0,1,中国,广东,广州,每日更新最新影视汁源，记得点关注哦~,46,10.3万,女,https://weibo.com/u/5678490367,https://m.weibo.cn/detail/PsYGIbRKE,PsYGIbRKE
5169062033490457,PsYCneE1H,镇长小可爱,2025-05-22 11:18:08,230万的耳环就这样不了了之了吗？ ,1,5,44,中国,浙江,杭州,我们唯一公众号：十点招财 商务对接V：smgoodboy123,1,11万,男,https://weibo.com/u/7071646318,https://m.weibo.cn/detail/PsYCneE1H,PsYCneE1H
5169040714371486,PsY3ZildQ,绝世大女主,2025-05-22 09:53:25,#黄杨钿甜#同款耳环已量产 把这种东西娱乐化什么意思 和之前小三裙一样没底线吗 ,0,5,12,中国,广东,深圳,为正义发声,162,19万,女,https://weibo.com/u/3174044371,https://m.weibo.cn/detail/PsY3ZildQ,PsY3ZildQ
5169043654314959,PsY8Ji6w7,AutoportraitVanGogh,2025-05-22 10:05:06,#黄杨钿甜同款耳环已量产# 这就是在打舆论战了，焦点歪了之后就等下一个热点把这事儿盖过去。 ,0,0,25,中国,广东,广州,Nothing is so common as the wish to be remarkable.,122,13.1万,女,https://weibo.com/u/7437104136,https://m.weibo.cn/detail/PsY8Ji6w7,PsY8Ji6w7
5169064378372744,PsYG9z88g,糊糊松饼,2025-05-22 11:27:27,#华晨宇 胡宾果#前几天是陈奕迅，现在是华晨宇。一个个被造瑶来造瑶去的，都是一眼假，要干啥啊那个230万耳环的事查出来了吗又被这些压下去了 ,0,0,3,中国,山东,济南,gay｜人，慢慢奔跑也没关系。,1137,168,女,https://weibo.com/u/7724730588,https://m.weibo.cn/detail/PsYG9z88g,PsYG9z88g
5169064168129723,PsYFOy6Uz,科技壹点Pro,2025-05-22 11:26:37,#黄杨钿甜同款耳环已量产# 回应中说的戴的假耳环实在是不能让人信服，一个小有名气的演员参加宴会，我觉得宁愿不戴耳饰也不会去戴一个赝品耳饰 ,0,0,5,中国,山东,济南,科技数码作者，摄影爱好者。合作VX：zcq306x,1555,46.9万,男,https://weibo.com/u/6028010462,https://m.weibo.cn/detail/PsYFOy6Uz,PsYFOy6Uz
5169064139299044,PsYFLD16A,好难说故事,2025-05-22 11:26:30,#黄杨钿甜##微博新知博主# 是打算冷处理吗 ？这事儿挂这么久了 ，一个耳环真假鉴定都出不来 ？再说了 ，公众惧怕的从来不是贪腐问题 ，而是贪腐问题能不能及时纠正 。公众对这个女人没有任何意见 ，只是想知道她的父母有么有贪腐 。不怕有 ，有了纠正 ，处理 ，哪怕是刮骨疗伤 ，也比隐瞒的好 。 ...全文,0,1,1,中国,江苏,苏州,"本王就是装逼界第一天王,喷人大帝，纸糊叶圣陶，文坛先知，网文拖拉机，阅读纪检委，吐槽小王子，怼人天王，立志把自己活成一个段子的奇男子。",502,19.2万,男,https://weibo.com/u/7632804656,https://m.weibo.cn/detail/PsYFLD16A,PsYFLD16A
5169052793700726,PsYntfwJ8,文笙V,2025-05-22 10:41:25,#黄杨钿甜#如果钱是光明正大赚来的为什么说耳环是假的！“天价耳环事件真是公众集体仇富吗”又成公众仇富啦行使监督权咋了呀？转移话题避重就轻，无良媒体倒是很有一套啊，黄杨钿甜一家真没做错的话至于一直捂嘴吗？ ,0,0,25,中国,贵州,贵阳,今天看点什么呢,259,55.5万,男,https://weibo.com/u/3272474385,https://m.weibo.cn/detail/PsYntfwJ8,PsYntfwJ8
5169026336819880,PsXGNsCa4,吃瓜姐妹,2025-05-22 08:56:17,黄杨钿甜同款耳环已量产，还有各种颜色，义乌还是太全面了 ,77,456,13224,中国,四川,成都,投稿合作私信,903,634.8万,女,https://weibo.com/u/6543419106,https://m.weibo.cn/detail/PsXGNsCa4,PsXGNsCa4
5168755430392963,PsQDR1Ee7,大象视频,2025-05-21 14:59:48,【#黄杨钿甜耳环事件最新进展#】近日，演员@黄杨钿甜 被指佩戴230万耳环的事情引发关注。#多方回应黄杨钿甜耳环事件# 5月16日，黄杨钿甜爸爸@黄杨爸爸 杨伟在微博发文称耳坠并非正品，并说明其公职经历及辞职经商时间线，2011入职雅安市城市管理行政执法支队工作，2015年-2017年在雅安市经合外事局工作 ...全文,3,3,54,中国,河南,郑州,每天发现向上的力量,86,31.8万,男,https://weibo.com/u/6560653260,https://m.weibo.cn/detail/PsQDR1Ee7,PsQDR1Ee7
5168945348477418,PsVAazzmy,碳基猴子,2025-05-22 03:34:28,一些苦乐跨度泾渭分明的胖仔遗珠1 改答辩ppt2 改答辩ppt到凌晨回宿舍的生物力三人3 答辩完当天直接放纵在冠军书店地上躺下4 去汤泉回血并回顾甄嬛经典环节5 为去时尚之都上海翻箱倒柜墨镜帽子耳环6 在东方明珠前跳霹雳舞7 在外滩模仿时尚达人xzy拍摄姿势8 和ysfxzy吃完饭的便利店留影9 和三件 ...全文,0,0,13,中国,北京,北京,,165,233,男,https://weibo.com/u/1868792551,https://m.weibo.cn/detail/PsVAazzmy,PsVAazzmy
5169063460341753,PsYEG1qU9,Neyer,2025-05-22 11:23:48,#天价耳环事件真是公众集体仇富吗#  话说230万耳环就算富了么？那么动辄贪污几个亿的贪官算什么？老百姓不仇富  是勤劳致富发财的企业老板很多  只要合理合法赚钱发财没什么不好！大家不满意的是可能捐助灾区善款被人贪污 善心被利用 是仇恨社会不公！ 现在社会风气真的差  法律制度被各种问题带偏 ...全文,0,0,5,中国,江苏,盐城,园艺师 花园设计师 花园植物栽培应用专家 全球花卉植物贸易供应链,251,94万,男,https://weibo.com/u/1234730737,https://m.weibo.cn/detail/PsYEG1qU9,PsYEG1qU9
5169063330578748,PsYEt2qyE,青春记录册518,2025-05-22 11:23:16,#黄杨钿甜同款耳环已量产#请国家正视背后的舆论，到底作为公职人员有无贪墨？汶川雅安的赈灾款明细请公示出来！！！平息舆论最后的办法就是公平公正公开！！！！这个事情真的比任何事情都大，因为这是举全国之力，甚至没有收入的学生都拿出了钱帮扶，别人问自己钱到哪了难道有错吗？作为中国公民合理质 ...全文,0,0,2,中国,广东,深圳,知足者常乐,878,4610,女,https://weibo.com/u/6251688103,https://m.weibo.cn/detail/PsYEt2qyE,PsYEt2qyE
5169063317211326,PsYErufZI,星冰乐kiki,2025-05-22 11:23:14,黄杨钿甜的“天价耳环”事件引发网友对其家庭背景的质疑，可能影响《冰湖重生》的正常播出。该剧在开拍时就备受质疑，但主演们的表现为其带来了关注度。然而，黄杨钿甜的事件可能导致该剧延迟播出，影响其热度。此外，其他待播剧也可能受到波及……#黄杨钿甜# 星冰乐kiki的微博视频 ,0,0,0,中国,河南,郑州,我频繁的记录生活，因为一切都值得,244,15.8万,男,https://weibo.com/u/1573919467,https://m.weibo.cn/detail/PsYErufZI,PsYErufZI
5169062516883758,PsYD9sSMm,痴痴痴吐了葡萄皮,2025-05-22 11:20:02,#黄杨钿甜同款耳环已量产#没有珠宝那种不灵不灵的闪光✨，看起来不太行啊 ,0,0,4,中国,湖北,武汉,拜可纳,109,118,女,https://weibo.com/u/5311527040,https://m.weibo.cn/detail/PsYD9sSMm,PsYD9sSMm
5169062107944231,PsYCuxkEL,群体表演艺术家,2025-05-22 11:18:26,耳环风波无论真假，不会有很多人想要的结果。4+4网友扒出那么多人，明晃晃的证据都没有结果，耳环风波网民只不过是无头苍蝇，根本找不到直接证据，不可能有很多人想要的结果。 ,0,5,9,中国,贵州,N/A,规则是文明的基石,415,6.8万,男,https://weibo.com/u/7869439970,https://m.weibo.cn/detail/PsYCuxkEL,PsYCuxkEL
5169062041882532,PsYCo7TJq,吃瓜猹一号,2025-05-22 11:18:10,#黄杨钿甜同款耳环已量产#谁关心这个！公开明细有这么难吗？ ,0,0,4,中国,江苏,苏州,活久见,314,67,女,https://weibo.com/u/2950450014,https://m.weibo.cn/detail/PsYCo7TJq,PsYCo7TJq
5169008836872382,PsXezsPOS,听塵弦-,2025-05-22 07:46:45,细品人间烟火的韵味，静赏岁月长河里万事的流转。生活，无需脚步匆匆，应如那潺潺溪流，悠悠前行，如此才能将沿途的每一处风景都尽收眼底。《文作者✍️听塵弦-》塵弦素心語#天价耳环事件真是公众集体仇富吗##原创作品##创作官拯救计划##情感##遇见美好# 听塵弦-的微博视频 ,0,12,22,中国,澳门,N/A,&quot;登山攀岭始不辍，踏风霜雨步更刚。&quot; 头像与視頻內角色扮演者皆是本人，不得盜用！違者必究！,116,11.4万,女,https://weibo.com/u/3318639791,https://m.weibo.cn/detail/PsXezsPOS,PsXezsPOS
5169011987842563,PsXjEwUcX,林步里,2025-05-22 07:59:16,#天价耳环事件真是公众集体仇富吗#网友不是仇富，是仇贪。网友也不是让她自证，而是希望相关部门调查。总是污名化网友的诉求，才叫有鬼。 ,30,26,1366,中国,浙江,金华,讲讲那些流行病与防护的事，文献搬运工。,251,22.6万,女,https://weibo.com/u/5673874565,https://m.weibo.cn/detail/PsXjEwUcX,PsXjEwUcX
5168649431420950,PsNST5XEy,看看新闻KNEWS,2025-05-21 07:58:36,【#天价耳环事件真是公众集体仇富吗#】#天价耳环事件真相不能让公众等待太久#近日，某女演员在社交平台发布成人礼照片，因特意说明佩戴的230万元高奢耳环来自母亲，引发网友对其家庭财产来源的质疑。网友随后曝出其父母曾任职公务员、参与灾后重建、经营公司及居住豪宅等信息，促使相关地方纪委启动调 ...全文,899,3447,127074,中国,上海,上海,欢迎爆料提供各种新闻线索，你的声音，将直达广播与电视新闻中心。,1207,1582.5万,男,https://weibo.com/u/1845864154,https://m.weibo.cn/detail/PsNST5XEy,PsNST5XEy
