微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
1768935374,Ozce39JcK,名侦探柯南情报局,2024-09-29 10:14:11,波本/降谷零＆赤井秀一/诸星大#名侦探柯南# ,17,20,236,中国,重庆,重庆,更新柯南情报❤️不定时更新柯南语录❤️个人兴趣博❤️偶尔还会腹黑吐槽❤️,201,174万,f,https://m.weibo.cn/u/1768935374?,https://m.weibo.cn/detail/Ozce39JcK,
7585304615,Ozr9rdFvs,文春指定凛冬雪樱,2024-10-01 00:14:01,我感觉赤井秀一要是出道的话会被人骂对粉丝冷脸，不做表情管理一直冷着一张脸不会媚粉，只有见到乳追站姐降谷零会笑ooc ,6,16,222,中国,河北,邢台,if we run and hide，what will be left？,1280,1.9万,f,https://m.weibo.cn/u/7585304615?,https://m.weibo.cn/detail/Ozr9rdFvs,
6580947349,,小春酒,2024-09-28 09:02:09,我是FBI搜查官赤井秀一 工藤新一这样的小鲜肉不够看了，喜欢这样的成熟男子名侦探柯南 小春酒的微博视频 ,0,0,163,中国,山西,运城,我是非著名日常生活屁大点事分享家，平凡至极又可爱非常，虽然我们现在还不太熟不过天气热了不一会儿我们就熟了。镇魂,124,7万,f,https://m.weibo.cn/u/6580947349?,https://m.weibo.cn/detail/Oz2kjkhvL,Oz2kjkhvL
2093542865,OyvWk6nEH,工藤家的新兰君,2024-09-24 22:35:09,#名侦探柯南#角色证件照周边贴纸样式 柯南 工藤新一 毛利兰 小五郎 灰原 赤井秀一 安室透 怪盗基德 ,0,12,85,中国,重庆,重庆,愿工藤与你同在  愿为你带来第一柯讯   愿新兰永恒！ 【个人账号】  人间讃歌は「勇気」の讃歌ッ！！　人间のすばらしさは勇気のすばらしさ！！,86,4.3万,m,https://m.weibo.cn/u/2093542865?,https://m.weibo.cn/detail/OyvWk6nEH,
2808800542,Ozq2Ori7T,美貌谷子大赏bit,2024-09-30 21:24:58,【名侦探柯南—赤井秀一、安室透】 【sega 一番赏 方吧唧 亚克力板】 🔫🚂 ,9,0,71,中国,湖北,武汉,🔴投稿请先搜索“投稿要求”❗️接受投稿时间：任意时间段。同人/盗印投稿❌拿图出求物❌梦向、cp向投稿/评论❌不接与ACG无关的推广,86,29.4万,f,https://m.weibo.cn/u/2808800542?,https://m.weibo.cn/detail/Ozq2Ori7T,
6051054879,OxsvfAu7d,劳生负百年,2024-09-17 23:59:55,赤安  赤井秀一はぼくのいいなり 自汉化 作者：teltel/こいけまちこ（图源自扫） 禁止转出微博，禁止二传二改商用  中秋快乐！[饼香人团圆][好运连连]踩着假期尾巴吃一口鲜肉月饼吧 床上的PK，谁更听谁的话呢  已转实体兑换模式 同本/同作者3本/同CP6本（禁含拆逆） 当天 ...全文,12,22,181,中国,湖南,衡阳,我行我素，吾爱吾庐,137,1971,f,https://m.weibo.cn/u/6051054879?,https://m.weibo.cn/detail/OxsvfAu7d,
3115259807,OwDgLgM5t,叶不羞羞羞羞羞羞,2024-09-12 13:34:07,日网票选【最喜欢的铃村健一配音角色】TOP109.12 是声优铃村健一，你最喜欢他哪个角色？1位🥇『银魂』冲田总悟2位🥈『歌之王子殿下』圣川真斗3位🥉『鬼灭之刃』伊黑小芭内第4位《阿松》嫌味第5位《机动战士高达SEED》真·飞鸟第6位《黑子的篮球》紫原敦第7位《假面骑士电王》龙塔罗斯第 ...全文,373,51,1408,中国,香港,N/A,微博内容请勿转出。 合作qq yx-xxooaini,374,454.3万,f,https://m.weibo.cn/u/3115259807?,https://m.weibo.cn/detail/OwDgLgM5t,
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://m.weibo.cn/detail/N/A,
5152952131,Oz50EhhIO,莱伊_眼线笔,2024-09-28 15:51:57,画像 想尝试油画的笔触但是还是抹的太均匀了（x #赤井秀一# ,11,8,91,加拿大,加拿大,N/A,已经独立的赤学家/手工党/渣画手/准机械工程师/有猫  （米画师/lof同名）,159,3182,f,https://m.weibo.cn/u/5152952131?,https://m.weibo.cn/detail/Oz50EhhIO,
