用户名,粉丝数,发布时间,视频描述,视频时长,点赞数,收藏数,评论数,下载量,分享数,aweme_id,认证
黄桃,2172,2024-09-30 22:35:40,耶？这是CCTV吗？就是那个中国中央电视台吗？ 粉衣服的是王冰冰吗🤔 #央视,0分:0秒,433,37,14,0,34,7420444723514576154,
王冰冰,90,2024-09-30 21:22:25,被你改变的那部分代替了你陪在他身边#当你出现 #为什么她的脸这么红啊,0分:0秒,35,0,0,0,0,7420425873209183499,
冰冰有你,67025,2024-09-29 15:19:57,冰冰教你i人装e人，社交破冰大法#王冰冰 #笑容最治愈的女孩 #甜美女孩 #我喜欢的女孩 #笑起来很甜,3分:52秒,3294,694,193,0,360,7419961332545441034,
王冰冰,525,2024-10-01 09:40:47,#女儿控👧请你慢慢长大🖤,0分:0秒,0,0,0,0,0,7420616037810457890,
王冰冰.,343,2024-09-30 19:01:02,九🈷️。#一条plog告别九月 #生活碎片,0分:0秒,79,0,15,0,1,7420389425210805516,
青山依旧😎,5275,2024-09-30 19:00:49,师妹王冰冰做的小片，记录了大戏排练的整个过程，大戏公演非常成功，感谢整个剧组人员所付出的辛苦和努力🌹🌹🌹,3分:0秒,34,1,9,0,0,7420389374082288905,
王冰冰,1984,2024-09-30 16:54:06,#布置婚房简单又好看,1分:7秒,34,1,1,0,0,7420356683081305395,
王冰冰🌈挂车严选官,1887,2024-09-30 15:00:22,想要了解更多，锁定我的直播间 #专用车厂家,1分:7秒,13,1,1,0,4,7420327384714464512,
上木彩矢,106,2024-09-30 17:37:35,#特摄剧 #假面骑士w #卡面来打  “不好意思，我走了，这个城市就没有守护的人了”,0分:0秒,892,67,48,0,171,7420367919214759194,
娱乐汪,1070740,2024-09-28 12:14:46,#王冰冰 #撒贝宁 出门在外，面子都是自己给的！,0分:16秒,2281,176,87,5,294,7419542586693651752,
王冰冰,9168,2024-09-29 19:07:58,你敢相信吗？去成都只要60了，体验感不错，方便快捷#宜宾 #此生要去100趟宜宾 #长锋出行 #国庆,0分:45秒,977,684,285,2,659,7420020153405951241,
老王,178,2024-10-01 05:18:19,张月王一凡和王冰冰九月初二结婚了,0分:27秒,18,0,12,0,0,7420548207068990761,
香儿,168,2024-09-30 21:14:14,王冰冰正在参加【项城步步高自主学习动力营】，每天预习复习，养成自主学习的好习惯！今日学习第*天。我坚持，我快乐。每天进步一点点，学习成绩步步高！,0分:0秒,5,0,1,0,0,7420423783044910362,
黄桃,2172,2024-09-30 22:35:40,耶？这是CCTV吗？就是那个中国中央电视台吗？ 粉衣服的是王冰冰吗🤔 #央视,0分:0秒,433,37,14,0,34,7420444723514576154,
王冰冰,90,2024-09-30 21:22:25,被你改变的那部分代替了你陪在他身边#当你出现 #为什么她的脸这么红啊,0分:0秒,35,0,0,0,0,7420425873209183499,
冰冰有你,67025,2024-09-29 15:19:57,冰冰教你i人装e人，社交破冰大法#王冰冰 #笑容最治愈的女孩 #甜美女孩 #我喜欢的女孩 #笑起来很甜,3分:52秒,3294,694,193,0,360,7419961332545441034,
王冰冰,525,2024-10-01 09:40:47,#女儿控👧请你慢慢长大🖤,0分:0秒,0,0,0,0,0,7420616037810457890,
王冰冰.,343,2024-09-30 19:01:02,九🈷️。#一条plog告别九月 #生活碎片,0分:0秒,79,0,15,0,1,7420389425210805516,
青山依旧😎,5275,2024-09-30 19:00:49,师妹王冰冰做的小片，记录了大戏排练的整个过程，大戏公演非常成功，感谢整个剧组人员所付出的辛苦和努力🌹🌹🌹,3分:0秒,34,1,9,0,0,7420389374082288905,
王冰冰,1984,2024-09-30 16:54:06,#布置婚房简单又好看,1分:7秒,34,1,1,0,0,7420356683081305395,
王冰冰🌈挂车严选官,1887,2024-09-30 15:00:22,想要了解更多，锁定我的直播间 #专用车厂家,1分:7秒,13,1,1,0,4,7420327384714464512,
上木彩矢,106,2024-09-30 17:37:35,#特摄剧 #假面骑士w #卡面来打  “不好意思，我走了，这个城市就没有守护的人了”,0分:0秒,892,67,48,0,171,7420367919214759194,
娱乐汪,1070740,2024-09-28 12:14:46,#王冰冰 #撒贝宁 出门在外，面子都是自己给的！,0分:16秒,2281,176,87,5,294,7419542586693651752,
王冰冰,9168,2024-09-29 19:07:58,你敢相信吗？去成都只要60了，体验感不错，方便快捷#宜宾 #此生要去100趟宜宾 #长锋出行 #国庆,0分:45秒,977,684,285,2,659,7420020153405951241,
老王,178,2024-10-01 05:18:19,张月王一凡和王冰冰九月初二结婚了,0分:27秒,18,0,12,0,0,7420548207068990761,
香儿,168,2024-09-30 21:14:14,王冰冰正在参加【项城步步高自主学习动力营】，每天预习复习，养成自主学习的好习惯！今日学习第*天。我坚持，我快乐。每天进步一点点，学习成绩步步高！,0分:0秒,5,0,1,0,0,7420423783044910362,
