微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页
1655444627,Oyk0H9niw,潇湘晨报,2024-09-23 16:12:56,【#多名考生反映连收10多条保研拒信#，山东大学：会向考生解释】近日，多名考生在网上反映，在参加山东大学2025年保研中，一连收到该校多条“未能进入复试”的通知短信。截图显示，收到的短信从几条到十几条不等。也有网友反映，进了复试也收到了多条通知短信。潇湘晨报记者了解到，近期，该校2025年接 ...全文,78,139,3234,中国,湖南,长沙,简介：“影响湖南，湖南影响”，创刊于2001年，现为湖南发行量最多、影响力最大的纸媒。,1533,1726.9万,f,https://m.weibo.cn/u/1655444627?
1506142182,Oxr7H2YWs,山东卫视,2024-09-17 20:29:07,【#郑云龙那道光致敬科技工作者#】@郑云龙DL 与山东大学（威海）、哈尔滨工业大学（威海）青年科研人员，以及威海临港当地高新企业科研团队，用气势磅礴的合唱，致敬科技报国的科学家。#2024山东卫视中秋晚会##直播中国节# 山东卫视的微博视频 ,383,199,1573,中国,山东,济南,山东卫视：悠久文明，青春中国！,1602,1005.4万,m,https://m.weibo.cn/u/1506142182?
1720962692,Ow4tp9Bhu,极目新闻,2024-09-08 20:59:08,【#山东大学34岁博导突发心梗离世#，来该校仅三年，曾获多项荣誉】据澎湃新闻消息，知名青年科学家、山东大学能源与动力工程学院教授、博士生导师李海增教授，因突发心梗，于2024年8月29日在青岛逝世，终年34岁。  山东大学官网信息显示，李海增出生于1990年3月，系山东大学能源与动力工程学院教授，博 ...全文,1164,1891,12922,中国,湖北,武汉,全球眼，中国心，瞭望者，思想家,1758,2282.6万,m,https://m.weibo.cn/u/1720962692?
1347322121,Ow2EA5h2C,史凝眸,2024-09-08 16:21:10,只改一个字！！让山东大学上档次 ,29,505,740,中国,福建,三明,做生活的勇者，我们同行！❤️,199,78.4万,m,https://m.weibo.cn/u/1347322121?
3022732373,OxSEcjjLz,徐顺达,2024-09-20 18:33:22,我们都想不通为什么他们寒窗苦读十余年，毕业之后当宿管？ 去年山东大学也出过类似新闻，是一回事麽？  先说说山东大学去年聘用2位名校硕士当公寓的事，被录用的两人，一位是哈尔滨工业大学建筑学硕士，一位是澳大利亚阿德莱德大学葡萄酒商务专业硕士。谁看了都会觉得“大材小用”、“杀鸡焉用牛刀”！ ...全文,17,61,254,中国,天津,天津,中国技术创业协会校企专委负责人,1127,222.3万,m,https://m.weibo.cn/u/3022732373?
1410812623,Ow5jVa5Ng,植物人史军,2024-09-08 23:08:31,#山东大学34岁博导突发心梗离世# 这样的新闻不止一次出现了，太卷了。申基金，做实验，写论文，投稿，参加学术会议，没一件是轻松愉快的。 现在的考核都是非升即走，年轻老师来了就得持续产出，完全没有成长的机会，也没有休息调整的机会，即便是天才也受不了这种机械化安排吧 ,27,54,953,中国,北京,北京,植物学博士。《植物学家的锅略大于银河系》《植物塑造的人类史》《水果史话》作者。爱吃的植物学工作者。,3281,528.7万,m,https://m.weibo.cn/u/1410812623?
2729671747,OxKP0faqv,春醒时我春困,2024-09-19 22:38:01,已抵达山东大学 感觉良好 ,0,3,15,中国,山东,济南,一场风花雪月的事,384,67,m,https://m.weibo.cn/u/2729671747?
5581896125,OqLoeinyi,考研政治管琦老师,2024-08-04 23:12:40,山东大学 青岛·山东大学(青岛校区) ,0,7,65,中国,山东,青岛,政治学博士，研究生导师,310,5.5万,m,https://m.weibo.cn/u/5581896125?
2827386331,OlRTfrfM7,科技新一,2024-07-03 18:34:03,帮朋友问，山东的，今年高考成绩不错，在吉林大学、山东大学、四川大学三所学校之间纠结，综合比较，以及未来的发展，你们觉得去哪所学校比较好？ ,31,475,1244,中国,山东,N/A,商务微信:newone9988 团队招拍摄、剪辑，加微信webthinker,2136,621.7万,m,https://m.weibo.cn/u/2827386331?
6660835434,OkVIhvqF4,PETD亚洲善待导师组织,2024-06-27 14:27:43,导好！各位学长学姐好          985差专业VS211好专业   本人今年山东生史政考生 605分 排名1w9 差不多能够上末流985和好一点的211 但是985里都是很难就业的专业 包括但不限于山东大学新闻学 中央民族大学外国语言文学 兰州大学英语   我个人更想学汉语言文学 可以上很多211院校的汉语言 大家帮我选择 ...全文,2,94,508,中国,北京,北京,一位导师的日常吐槽&amp;bot，关于科研论文，出国留学，和考研读博 PETD：People for the Ethical Treatment of Daoshis,409,58.3万,m,https://m.weibo.cn/u/6660835434?
1979899604,Ow1ZbBtBj,economics-,2024-09-08 14:39:12,郑州大学，吉林大学，山东大学，三大巨头。 ,20,19,185,中国,江苏,南京,,1702,46万,f,https://m.weibo.cn/u/1979899604?
7519706333,OwHAm6pfJ,达克鸭唐,2024-09-13 00:33:23,青岛大学知道自己比311弱么，山东大学知道自己医科只比311强一丁点么？ ,12,124,849,中国,湖南,长沙,合作私信,734,51.5万,f,https://m.weibo.cn/u/7519706333?
1357064103,Oxf64x7ej,交易者简放,2024-09-16 13:52:10,山东大学青岛校区，是真不错，又大又干净，旁边就是大海，饭也实惠。大家家里有娃可以往这里考 ,5,31,318,中国,山东,青岛,简单，放下。一个有思想的交易者。,81,86万,m,https://m.weibo.cn/u/1357064103?
5233750378,Oy9oZfaBm,Dec-zz,2024-09-22 13:12:35,为国育贤 为党育才#山东大学# @山东大学 济南·山东大学中心校区 ,3,20,86,中国,山东,济南,萬事勝意,275,615,f,https://m.weibo.cn/u/5233750378?
1698857957,OyrbZfjdL,海峡都市报,2024-09-24 10:30:00,【#多名考生反映连收10多条保研拒信#，山东大学：会向考生解释】近日，多名考生在网上反映，在参加山东大学2025年保研中，一连收到该校多条“未能进入复试”的通知短信。截图显示，收到的短信从几条到十几条不等。也有网友反映，进了复试也收到了多条通知短信。  网页链接 ,0,3,54,中国,福建,福州,新海都 · 新平台 · 新产业,731,1037.7万,m,https://m.weibo.cn/u/1698857957?
1880883723,Oy0oBDzWd,山东大学,2024-09-21 14:16:56,你好，新山大人！昨晚，山东大学2024级本科生开学典礼隆重举行。本次典礼首次采用一校三地同步举行的形式，在济南、威海、青岛设立分会场，并向全体师生医务员工同步视频直播，共享开学典礼盛况！学在山大，快乐成长，愿新山大人以青春之笔、奋斗之笔，书写强国建设、民族复兴的绚烂华章！ ,10,6,81,中国,山东,济南,教育部直属重点综合性大学，国家“211工程”和“985工程”重点建设的高水平大学，世界一流大学建设高校（A类）。微博校园官博联盟会员单位。,523,128.3万,m,https://m.weibo.cn/u/1880883723?
7797700732,OyY9y4KH9,东明县融媒体中心,2024-09-27 22:24:37,【又美又飒 #山大研三大师姐当6年教官#】 9月20日，山东大学，研三大师姐给新生当教官，在山大8年带了6届新生军训。这位大师姐曾在空军服役，参加过国庆大阅兵！#热门视频# 话道君的微博视频 ,0,0,0,中国,山东,菏泽,,159,426,f,https://m.weibo.cn/u/7797700732?
6184246581,OyY5UAThA,vdfyud,2024-09-27 22:15:41,山东大学SDU 出🥝hy平板端和电脑端 ,0,0,0,中国,山东,潍坊,,374,195,f,https://m.weibo.cn/u/6184246581?
7873249149,OyX77i7Fi,用户7873249149,2024-09-27 19:45:53,济南租房 洪家楼印象城山东大学中心校区整租两室房子干净利落家具家电齐全 用户7873249149的微博视频 ,0,0,0,中国,山东,济南,,48,12,m,https://m.weibo.cn/u/7873249149?
1711530911,OyX1WEkyM,新黄河·济南时报,2024-09-27 19:33:10,【#菏泽患者直升机1小时极限转运济南# 】9月27日，一架载有急危重症患者的直升机从菏泽单县飞往山东大学齐鲁医院。“此次直升机转运患者花费一个小时左右，该患者转运过程生命体征平稳。”山东大学齐鲁医院急诊外科副主任黄齐兵介绍，转运来的患者患有高血压脑出血，在当地进行过早期手术干预，但目前 ...全文,1,0,1,中国,北京,北京,济南时报·新黄河客户端官方微博，联系邮箱：565188614@qq.com；联系电话：0531-82061110；商务合作QQ：565188614,2302,1149.3万,m,https://m.weibo.cn/u/1711530911?
7796231034,OyWZy1yyG,织山听雨zzz,2024-09-27 19:27:15,山东大学SDU  山大有跑团人吗，孤寡KP在线找固团搭子 ,0,1,1,中国,山东,济南,做饭难吃的厨子。,46,1,f,https://m.weibo.cn/u/7796231034?
7417990414,OyWJa9C9H,禾清__,2024-09-27 18:46:53,啊啊啊学校放了小黄的Do you@黄子弘凡_Lars #山东大学# 济南·山东大学中心校区 ,0,0,0,中国,山东,济南,四月裂帛,220,5,f,https://m.weibo.cn/u/7417990414?
3099896503,OyNcaydF1,合肥高楼迷,2024-09-26 18:30:53,#高校头条# 巨无霸高校——山东大学！ 山东大学任书记9月25日在济南大学生开学典礼上高调宣布山大龙山校区占地7800亩，将成为全国单体最大的大学校园，一下超过6000亩的亚洲最大单体校园临沂大学。 山东大学三校合并后就一直热衷建设新的校区。目前至少有9个校区，包括中心校区、洪家楼校区、软件园校 ...全文,2,9,24,中国,安徽,合肥,关于城建 风景 美图@或私信 欢迎投稿！,1347,17.7万,m,https://m.weibo.cn/u/3099896503?
6063289262,OyWDxqqn8,再来一杯芋泥啵啵冰,2024-09-27 18:33:01,山东大学SDU   有千佛山校区的游泳搭子吗（限女生） 另外，求问游泳馆十一假期开门吗 济南·山东大学齐鲁医院 ,0,0,0,中国,山东,济南,在橘子色的清晨与黄昏和我一起出走吧,148,131,f,https://m.weibo.cn/u/6063289262?
2968981215,OyWsJjfO1,劉偉書法,2024-09-27 18:06:24,山东大学SDU ,2,3,1,中国,辽宁,沈阳,刘伟 1953年生，第十届辽宁省政协委员、 辽宁省书法家协会会员、辽宁中华文化学院客座教授 。电话并微信：13804006292。（作品出售，概不白送）,1846,5.3万,m,https://m.weibo.cn/u/2968981215?
5848339230,OyWjIkw5V,哇塞润润啊,2024-09-27 17:44:11,山东大学(趵突泉校区)  我在对面医院（山东大学齐鲁医院）有一份报告，有没有朋友帮忙代取一下，快递给我，跑腿费35r，快递到付，超级简单，到了不用排队就能取到，就走路的时间，一点也不用等，明天上午取，医院11点就下班了 ,0,1,0,中国,山东,N/A,,78,31,f,https://m.weibo.cn/u/5848339230?
