微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,sentiment_result,crawl_time
1213536224,Ozczsfcte,演员郭晓东,2024-09-29 11:06:55,我有了想做演员的念头，想做一个能像刘德华那样的好演员念头就是从那个时候开始的。         做演员这个念想的种子，不知不觉地就埋在了心里，渐渐地夯实了我人生的方向。         刘德华，就是方向和榜样的存在。         不要惧怕自己的理想，更不要轻易地放弃梦想，万一实现了呢。 ,2216,838,6296,中国,山东,临沂,《暖》《颐和园》《推拿》《秋喜》《新结婚时代》,758,274.1万,m,https://m.weibo.cn/u/1213536224?,正面,2024-09-30 10:42:33
5883814680,OzfTooutz,晨报文艺,2024-09-29 19:34:17,#晨报文艺福利时间#由刘德华、张子枫、屈楚萧领衔主演的动作#电影危机航线# 将于明天起正式全国上映，这部国庆档新片讲述了世界上最大的双层豪华客机A380首次航行遭遇劫机，一位国际安保专家与女儿联手在万米高空对抗劫匪的故事。关注@晨报文艺 并转发此条微博，我们将抽出8位朋友每人送出2张《危机航 ...全文,219,76,74,中国,上海,上海,《新闻晨报》文艺部｜最新文娱资讯、深度采访,807,269.9万,f,https://m.weibo.cn/u/5883814680?,正面,2024-09-30 10:42:33
7718634289,Oz5PRtMRF,拉布拉蝶儿,2024-09-28 17:58:07,#刘德华危机航线打戏#感受一下刘德华在《危机航线》里的打戏，什么叫真我们父母那辈人的严选偶像，为什么能长红这么多年，因为敬业啊真的太敬业了，拍流浪地球2的时候在水里泡了那么久不用替身，《危机航线》里拳 拳 到 肉 的打戏也都是自己来，不喊苦不喊累就为了呈现最好的效果，看看这高颜值看看这 ...全文,38,61,161,中国,江苏,南京,是夸夸博主红稿博主，投稿或合作请私信戳,320,54.5万,m,https://m.weibo.cn/u/7718634289?,正面,2024-09-30 10:42:33
1855757243,OzfCha70A,1905影视频,2024-09-29 18:52:06,#小影送福利# 【小影请你看电影】关注@1905影视频 转评赞本条微博，小影将为幸运粉丝送出《危机航线》观影码～#2024国庆档观影指南##电影危机航线#   电影由刘德华、林小强监制，彭顺执导，刘德华、张子枫、屈楚萧、刘涛、郭晓东、蒋梦婕等出演。 ,189,151,152,中国,北京,北京,《1905影视频》，由1905电影网出品，每周五17:30电影频道播出。用电影的眼光，关注生活的一切。,233,769.7万,f,https://m.weibo.cn/u/1855757243?,正面,2024-09-30 10:42:33
1807269055,Ozg9UrfnU,扑倒刘德华,2024-09-29 20:14:59,刘德华  奶香糯米糍 ,18,19,79,中国,湖北,武汉,点错了点错了！但不会道歉。,410,2.7万,f,https://m.weibo.cn/u/1807269055?,正面,2024-09-30 10:42:33
1718014313,OzczIqTD0,邂逅银幕,2024-09-29 11:07:34,危机航线里面的动作场面很有《疾速特攻》、《伸冤人》这些片子的感觉，一个人单挑一个小队的设定，招招致命的动作设计，那种痛感传递得十分到位。刘德华在货仓干掉卧底那段，骨头断裂的疼痛感无延时传递到观众身体上；后面刀子插进身体里的那些场景，太疼了！真正的爽片，能达到这种水准很不容易。 ,2,1,34,中国,河北,保定,我待电影如初X 合作请私信，我都会看的,749,45.1万,m,https://m.weibo.cn/u/1718014313?,正面,2024-09-30 10:42:33
7352431479,Ozf3rxII7,刚田猛,2024-09-29 17:26:18,刚才跟我妈打电话，问她国庆怎么过。我妈：我准备去看刘德华演唱会。我妈：你该不会没安排吧？那也太无聊了。我：…… ,0,47,517,中国,浙江,宁波,社死大王。,99,24.5万,m,https://m.weibo.cn/u/7352431479?,负面,2024-09-30 10:42:33
3163693955,OzbfuDhPd,唐哲同学,2024-09-29 07:45:00,开会的刘德华， 看起来局里局气的！ ,1,3,25,中国,广东,深圳,地摊历史老照片的收集人,281,47.8万,m,https://m.weibo.cn/u/3163693955?,正面,2024-09-30 10:42:33
1396506364,OzbR41p0u,有理想的蓝大,2024-09-29 09:17:33,62岁刘德华的一日三餐，难怪看起来这么年轻，这吃的也太清淡了 ,1,2,18,中国,江西,宜春,职业股民 草根股民 小韭菜一枚,640,151.9万,m,https://m.weibo.cn/u/1396506364?,正面,2024-09-30 10:42:33
3578912684,OzjZG9Zvp,县令互联网,2024-09-30 06:00:45,2024刘德华重庆演唱会 Day1 20240830 「今天...is the Day」 音廊的微博视频 ,17,2,9,中国,广东,汕头,互联网科技，记录新鲜事，关注社会时事，传播正能量，纪录片发布。特别声明：视频、图文来源于网络，如涉版权，请提醒告知，俺立马删除。谢谢！,3391,79.2万,m,https://m.weibo.cn/u/3578912684?,正面,2024-09-30 10:42:33
