微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172649646885499,PutWQsTer,月半弯黎,2025-06-01 08:54:02,#樊振东莫雷加德成为队友#樊振东是完成了心中国家任务出国再造去了，寻找自己对乒乓球真正的热爱这是一种意义上的留学，只有回到最淳朴的环境，远离乌烟瘴气，他才能享受乒乓球，询问自己的内心 月半弯黎的微博视频  专栏 · 赛事点评 ,2,24,214,中国,重庆,重庆,热爱生活热爱乒乓,384,16万,女,https://weibo.com/u/7786229804,https://m.weibo.cn/detail/PutWQsTer,PutWQsTer,0.9996458470880766
5170344253196322,PtvYtdpvA,ITTF国际乒联,2025-05-26 00:13:13,#2025多哈世乒赛#荣耀登顶！王曼昱/蒯曼成功夺得女双冠军！🏆 一起重温决胜瞬间！ ITTF国际乒联的微博视频 ,36,68,1288,中国,陕西,西安,关注国际乒联（ITTF）官方微博获取最新资讯！ 国际乒联官方中文网站：cn.ittf.com,328,370.4万,男,https://weibo.com/u/3515112791,https://m.weibo.cn/detail/PtvYtdpvA,PtvYtdpvA,0.999605391835823
5171938798077968,PubsjxTrO,触碰过魔法,2025-05-30 09:49:22,这批代表团分为孙颖莎一队，国乒其他人一队.。#王楚钦##孙颖莎# 莎头组合 触碰过魔法的微博视频 ,12,12,785,中国,山西,太原,（可投稿，商务请私）素材来源于网络，侵删。,11523,20.2万,女,https://weibo.com/u/5741537147,https://m.weibo.cn/detail/PubsjxTrO,PubsjxTrO,0.8453600496416821
5155604084556886,Pnkw0j7sa,电池车的自由,2025-04-15 08:01:03,#中国乒乓球# 中国乒乓界九大魔王 乒乓球国家队 电池车的自由的微博视频 ,16,27,477,中国,北京,北京,,609,109万,男,https://weibo.com/u/2015344587,https://m.weibo.cn/detail/Pnkw0j7sa,Pnkw0j7sa,0.9460338672153658
5170276698429375,PtudvzmRF,人民网,2025-05-25 19:44:47,【祝贺！#孙颖莎获得多哈世乒赛女单冠军#】#国乒达成世乒赛女单16连冠#2025年世乒赛在卡塔尔多哈继续进行。在刚刚结束的女单决赛中，中国选手@孙颖莎 4比3战胜队友@王曼昱 夺得女单冠军。#孙颖莎vs王曼昱#（人民网记者 李乃妍） 网页链接 ,465,455,7416,中国,北京,北京,报道全球 传播中国,1159,8595.7万,男,https://weibo.com/u/2286908003,https://m.weibo.cn/detail/PtudvzmRF,PtudvzmRF,0.9989532311354138
5172729926125373,Puw2kpHul,Ahri_Yo,2025-06-01 14:13:02,望周知：1:樊振东没有退出国家队，没有退役。2:德甲联赛不影响国内，国际比赛，不影响乒超！3:是加入德甲俱乐部，代表俱乐部打欧洲联赛！不是代表欧洲国家去打比赛！4:德国乒乓球甲级联赛是竞技水平较高的联赛之一，可以和很多欧洲打法多样的顶尖外协选手同台共技以此保持良好的状态。5:推动乒乓 ...全文,69,163,2495,中国,重庆,重庆,推广私｜源网侵删,1803,35.4万,女,https://weibo.com/u/7814284786,https://m.weibo.cn/detail/Puw2kpHul,Puw2kpHul,0.9999306518321402
5171924135318340,Pub4FmjxG,爱生活和体育,2025-05-30 08:51:06,郭焱老师对WTT美国站大满贯赛参赛人员新的组合进行了点评！国乒加油！#涨姿势##亿点曝光计划##体育##乒乓球# 爱生活和体育的微博视频 ,9,9,224,中国,河北,秦皇岛,如有侵权，联系删除,88,34.4万,男,https://weibo.com/u/7721205342,https://m.weibo.cn/detail/Pub4FmjxG,Pub4FmjxG,0.9985530896623671
5171632415967147,Pu3u9p2kj,小蛋st,2025-05-29 13:31:55,《体坛零距离》混双我们目标一致，为国而战 小蛋st的微博视频 ,47,7,553,中国,河南,周口,莎头毒唯，素材来源于网络，侵权私删,1885,30万,女,https://weibo.com/u/5768242207,https://m.weibo.cn/detail/Pu3u9p2kj,Pu3u9p2kj,0.9520250922554736
5172443582828844,PuoAubRUw,笑得我鼻孔都没啦,2025-05-31 19:15:12,真好哇 ,18,23,597,中国,河北,,哈哈哈哈哈哈哈哈哈,140,34.9万,女,https://weibo.com/u/3239495534,https://m.weibo.cn/detail/PuoAubRUw,PuoAubRUw,0.659726197600683
5171993454577944,PucStjcVO,精神病院派来的猴子,2025-05-30 13:26:33,国乒男线群像第四弹（4/8）9：10的时候不要欺骗自己 像马龙的是我不是你cr·毕为一Yi ,64,65,463,中国,河南,郑州,野生杂食球迷 偏好明显,1114,47.7万,女,https://weibo.com/u/5229334406,https://m.weibo.cn/detail/PucStjcVO,PucStjcVO,0.01160667889309186
