微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
5172394462286733,Punjg9ASN,明日方舟Arknights,2025-05-31 16:00:01,明日方舟 #明日方舟# 【新增服饰】//搁浅 - 海沫EPOQUE系列新款/搁浅。再现了海沫居住在故乡时的穿着，特制的柔性支撑材料可以使裙子始终蓬起，洁白的飘带轻柔摆动，给无法捉摸的海风赋予了形状。_____________海沫在海滩上寻找着。温暖的灯光照亮了许多小小的甲壳、洁白的骨架，它们被 ...全文,278,221,3695,中国,上海,上海,《明日方舟》官方微博，如需联系客服，请前往官方网站：ak.hypergryph.com,46,301.8万,女,https://weibo.com/u/6279793937,https://m.weibo.cn/detail/Punjg9ASN,Punjg9ASN,0.9999725268455576
5172741749607454,PuwloEjkW,明日方舟Arknights,2025-06-01 15:00:01,明日方舟 #明日方舟# 【新增干员】//蒂比“您好，蒂比·‘裂天行者’·布克，向您报到！中间这个是我给自己起的代号！咦，代号不是这么用的？”____________天刚亮干员们就一脸扭曲地向卫生间奔去，大家互相倾诉着不敢半夜下床上厕所，只好硬生生憋到早上......聊天群里突然多出了很多干 ...全文,618,470,6137,中国,上海,上海,《明日方舟》官方微博，如需联系客服，请前往官方网站：ak.hypergryph.com,46,301.8万,女,https://weibo.com/u/6279793937,https://m.weibo.cn/detail/PuwloEjkW,PuwloEjkW,9.81183325587942e-06
5164814600246762,Prc7G12c2,FFF团微博支部,2025-05-10 18:00:21,美国音乐人·Crywolf：我不经常为自己专辑外的项目制作歌曲，但当明日方舟说他们的新DLC讲述了一个失控的数字教宗把人们控制在反乌托邦式的梵蒂冈城梦境中的故事，他们希望我为最终BOSS战和PV制作主题曲......拜托，这我怎么能拒绝呢？SOMNIOMANCER [null.set]现已在所有流媒体平台发布 🖤 ,755,25,1689,中国,北京,北京,新世界交響楽,1380,45.3万,男,https://weibo.com/u/3105001013,https://m.weibo.cn/detail/Prc7G12c2,Prc7G12c2,0.9999994105703388
5153563009618183,PmtpWEm7Z,灼眼的SABER哒,2025-04-09 16:50:33,明日方舟#明日方舟创作征集##离解复合##明日方舟# @罗德岛创作社 巅峰合奏！ 灼眼的SABER哒的微博视频 ,7,5,114,中国,贵州,贵阳,非常真实的沙雕画师，平时会画一些吊图和转一些吊图（顺便画画纯属兴趣，不接稿，不用私信力）,503,35万,男,https://weibo.com/u/1653288542,https://m.weibo.cn/detail/PmtpWEm7Z,PmtpWEm7Z,0.9974139169618838
5172782528988366,PuxpaBIhE,Tsuki_月隐,2025-06-01 17:42:03,魔法猫咪！🐈明日方舟#澄闪# Tsuki_月隐的微博视频 ,12,8,92,中国,上海,上海,虛數電子酒精海,1708,6.7万,女,https://weibo.com/u/5534236809,https://m.weibo.cn/detail/PuxpaBIhE,PuxpaBIhE,0.9970097930925033
5172724067995595,PuvSSxy1d,ZLXHIM,2025-06-01 13:49:45,#明日方舟博士##普瑞赛斯# Eclipse ,240,26,1075,中国,湖南,衡阳,男的不要关注我⚠未成年请勿关注⚠️️会发一些R向G向内容⚠️转发很多建议直奔相册或者只看原创微博❤️ 感谢网友送的svip❤️不出号不接推广,1601,7.9万,女,https://weibo.com/u/7375225084,https://m.weibo.cn/detail/PuvSSxy1d,PuvSSxy1d,0.9952374462988525
5171958460450884,PubY21Tik,阿贞_社畜讨饭中,2025-05-30 11:07:30,明日方舟 SideStory「红丝绒」PV 新增干员：蒂比、Miss Christini、酒神（傀影）新增时装：海霓、海沫、阿斯卡纶（动态）、深巡、摩根 ,80,67,1211,中国,上海,上海,主jrpg/srpg/类银河城/mrfz/lol,611,42.1万,男,https://weibo.com/u/5357699078,https://m.weibo.cn/detail/PubY21Tik,PubY21Tik,0.8860782508644002
5172460426626091,Pup1ErNKr,横川是川崽,2025-05-31 20:22:08,明日方舟#明日方舟cos##明日方舟# 女游客c假日陈路过之和大家去邮轮上玩了 开心之 ,114,47,540,中国,新疆,伊犁哈萨克自治州,吉尼斯纪录最小心眼保持者,1216,27.6万,女,https://weibo.com/u/7346295847,https://m.weibo.cn/detail/Pup1ErNKr,Pup1ErNKr,0.16344528757852883
5171956418086486,PubUJxVFc,明日方舟Arknights,2025-05-30 10:59:23,明日方舟#明日方舟# 《明日方舟》SideStory「红丝绒」活动即将开启在这里，我们将见证一部蓝卡坞新作的诞生，一位贵族夫人将用她的死谱写时代的挽歌。在这里，我们将见证一场迟来的复仇，死亡是罪孽的归宿。在这里，我们也将见证，戏剧的极致，审美的更迭。————————————更 ...全文,6175,1715,33665,中国,上海,上海,《明日方舟》官方微博，如需联系客服，请前往官方网站：ak.hypergryph.com,46,301.8万,女,https://weibo.com/u/6279793937,https://m.weibo.cn/detail/PubUJxVFc,PubUJxVFc,0.9999996997351799
5172756845170215,PuwJKlH0z,明日方舟Arknights,2025-06-01 16:00:00,明日方舟 #明日方舟# 向着巧克力冰淇淋蜜饼，出发！ ,1252,251,9555,中国,上海,上海,《明日方舟》官方微博，如需联系客服，请前往官方网站：ak.hypergryph.com,46,301.8万,女,https://weibo.com/u/6279793937,https://m.weibo.cn/detail/PuwJKlH0z,PuwJKlH0z,0.995895077251602
5172882049079106,PuzZGC5Tc,我是大腿快来抱,2025-06-02 00:17:31,我的快乐记录 #明日方舟攻略# #明日方舟# #游戏# 我是大腿快来抱的微博视频 ,0,0,0,中国,北京,北京,英雄联盟精彩集锦,106,41.6万,男,https://weibo.com/u/6042105345,https://m.weibo.cn/detail/PuzZGC5Tc,PuzZGC5Tc,0.7973837602132301
5172882016832685,PuzZDsFuB,甫十_corrosion,2025-06-02 00:17:23,明日方舟加油站 我是不会放弃 ,0,0,0,中国,河北,,,38,24,女,https://weibo.com/u/7457052181,https://m.weibo.cn/detail/PuzZDsFuB,PuzZDsFuB,0.5157967639338962
5172881991404302,PuzZB5Tk2,路子陌Lumos,2025-06-02 00:17:17,明日方舟#明日方舟迷迭香# ,0,0,0,中国,陕西,,可以当做是转发抽奖号,271,12,女,https://weibo.com/u/6631809768,https://m.weibo.cn/detail/PuzZB5Tk2,PuzZB5Tk2,0.8100800051044107
5172881820489693,PuzZk23oh,雨泪共存,2025-06-02 00:16:36,明日方舟加油站  推推音律/精干通行证 均25非最终价格，有88vip/购物金，还会再降 ,0,0,0,中国,福建,,With Ulpainus｜Nothing but you're the part of me,175,4008,女,https://weibo.com/u/7788374283,https://m.weibo.cn/detail/PuzZk23oh,PuzZk23oh,0.503732620929956
5172881799513278,PuzZhDUPY,秋青www_,2025-06-02 00:16:31,明日方舟加油站 试试看图上没划掉的可以换啥忍冬制品，倾向于外谷制品，国谷只看mini手办特典吧唧 ,0,0,0,中国,湖南,长沙,旧人间有我替他安放,670,262,女,https://weibo.com/u/5739219969,https://m.weibo.cn/detail/PuzZhDUPY,PuzZhDUPY,0.7825028896649635
5172881459513079,PuzYJDUML,Klstea_,2025-06-02 00:15:10,明日方舟可以和线条小狗联名吗 出头像和皮肤这种 ,0,0,0,中国,北京,北京,(⋟﹏⋞)///写尽无用心事,166,7,女,https://weibo.com/u/7480741138,https://m.weibo.cn/detail/PuzYJDUML,PuzYJDUML,0.7895232954516609
5172779495721427,Puxkho0p5,正经的正常人,2025-06-01 17:30:00,#2025德克萨斯生贺丨快递组24h# ◤17:30◢  今日份的祝福已送达，请注意查收🐺👼🏻💖#明日方舟##快递组#快递组 ,30,2,55,中国,广东,广州,我素杂食打架补药打我啊🏳️    ▷关注你=喜欢💕取关→我跑路了   绝对讨厌mhy相关一切 爽朗毛领勿扰,771,85,女,https://weibo.com/u/5553730429,https://m.weibo.cn/detail/Puxkho0p5,Puxkho0p5,0.7347323647817806
5172881057387524,PuzY5uZPC,空气馅面包,2025-06-02 00:13:34,明日方舟#重岳##明日方舟余# 嗯就是这个那个。可爱 ,0,0,1,中国,湖北,仙桃,一看就在干坏事,69,116,男,https://weibo.com/u/7933296534,https://m.weibo.cn/detail/PuzY5uZPC,PuzY5uZPC,0.9140332854718171
5172825927452793,PuyxavgOl,甲乙丙丙丙丙_,2025-06-01 20:34:30,明日方舟 很快速的摸了。。。 ,23,3,59,中国,湖北,武汉,头像素脉脉画的&gt;&lt; mhs:Nover_诺亚  暂不接私稿（我画过的角色除外～但时不时会有橱窗掉落,1369,5145,男,https://weibo.com/u/1685354521,https://m.weibo.cn/detail/PuyxavgOl,PuyxavgOl,0.8927678155207549
5172672536248680,PuuxLqdza,蓝沐初霁,2025-06-01 10:24:58,明日方舟#舟水月##澄闪# 儿童节快乐！！ ,19,1,42,中国,重庆,重庆,初霁/阿沐，什么都吃一点，接稿在mhs同名🕊️,356,506,女,https://weibo.com/u/5944104356,https://m.weibo.cn/detail/PuuxLqdza,PuuxLqdza,0.9839166037343775
5172878691539409,PuzUh6stb,-鹿队立贝咯-,2025-06-02 00:04:10,明日方舟  ❤️请大家吃一口宗师lily#重岳# ,1,3,18,中国,辽宁,沈阳,❤️猫猫心上的童话❤️25年8月前接漫画定制,309,3653,女,https://weibo.com/u/6531383424,https://m.weibo.cn/detail/PuzUh6stb,PuzUh6stb,0.3575707612542276
5172880368468638,PuzWYzx4W,十里_坡,2025-06-02 00:10:49,明日方舟加油站 有妈咪没买到重岳黑田余量的吗，原价转单，邮费店铺实收 ,0,0,0,中国,江苏,苏州,,148,33,女,https://weibo.com/u/6264321676,https://m.weibo.cn/detail/PuzWYzx4W,PuzWYzx4W,0.26122347331916285
5172734304977392,Puw9okSQw,玻璃啾,2025-06-01 14:30:26,明日方舟#2025德克萨斯生贺丨快递组24h# ◤14:30◢“企鹅物流！——锵!”德克萨斯生日快乐！（久违的原皮德和原皮能（大概 ,60,3,132,美国,美国,,画画，画，画不出来啊啊啊,1223,2724,女,https://weibo.com/u/3167585134,https://m.weibo.cn/detail/Puw9okSQw,Puw9okSQw,0.9999013509941561
5172741749607454,PuwloEjkW,明日方舟Arknights,2025-06-01 15:00:01,明日方舟 #明日方舟# 【新增干员】//蒂比“您好，蒂比·‘裂天行者’·布克，向您报到！中间这个是我给自己起的代号！咦，代号不是这么用的？”____________天刚亮干员们就一脸扭曲地向卫生间奔去，大家互相倾诉着不敢半夜下床上厕所，只好硬生生憋到早上......聊天群里突然多出了很多干 ...全文,618,470,6137,中国,上海,上海,《明日方舟》官方微博，如需联系客服，请前往官方网站：ak.hypergryph.com,46,301.8万,女,https://weibo.com/u/6279793937,https://m.weibo.cn/detail/PuwloEjkW,PuwloEjkW,9.81183325587942e-06
5172879353187229,PuzVldn8V,登登登今天有早点睡吗,2025-06-02 00:06:48,20 变 80，我可以玩明日方舟 [博士]小鸟这个挂件也太好看了 ,0,0,0,中国,浙江,台州,我即青山，青山即我。,1799,480,男,https://weibo.com/u/2287009645,https://m.weibo.cn/detail/PuzVldn8V,PuzVldn8V,0.999681349177317
5172879299449603,PuzVfDEgX,要天天努力吖,2025-06-02 00:06:35,明日方舟加油站 哪里还有小咪和好价ACE让我吃口好吗，带价来 ,0,0,0,中国,湖南,,,310,16,男,https://weibo.com/u/6367249614,https://m.weibo.cn/detail/PuzVfDEgX,PuzVfDEgX,0.981587875370637
5172879173361726,PuzV3e6xo,要逃就往未來逃吧,2025-06-02 00:06:05,明日方舟加油站  支个摊子随便换换，先换后出，东西很杂多换优先龙舌兰贴纸如果可以想优先换忍冬人事部简历 ,0,1,0,中国,湖南,长沙,镇魂｜我还想和你谈论宇宙和天空,48,13,女,https://weibo.com/u/7114503197,https://m.weibo.cn/detail/PuzV3e6xo,PuzV3e6xo,0.14979892345489654
5172879119619412,PuzUXEmrO,松萝茶信,2025-06-02 00:05:52,明日方舟加油站 问问有没有正在开的设三国插二在开的团w ,0,1,0,中国,广西,南宁,镇魂.属性搜“置顶”｜叭菈芙厨，崩鸟厨，拒一切虾毛,306,73,女,https://weibo.com/u/7795357236,https://m.weibo.cn/detail/PuzUXEmrO,PuzUXEmrO,0.07638396658605962
5172879077409216,PuzUTv5tu,明日方舟德克萨斯主页,2025-06-02 00:05:41,德克萨斯#德克萨斯0601生日快乐# #明日方舟# 【双狼组/图】,0,0,1,中国,重庆,重庆,「我们的工作是搬运生命与死亡」 您好，这里是德克萨斯的同人主页，欢迎投稿,978,15.6万,女,https://weibo.com/u/6558119538,https://m.weibo.cn/detail/PuzUTv5tu,PuzUTv5tu,0.8841750989231137
5172878756810168,PuzUnszDq,0341308nmsdyslpwllglnz,2025-06-02 00:04:26,明日方舟加油站  推推名创 ,0,0,0,日本,日本,,我在这个世间唯一真正恨的人只有幻想黑土,97,14,女,https://weibo.com/u/7455269813,https://m.weibo.cn/detail/PuzUnszDq,PuzUnszDq,0.27878976945768674
5172878640158239,PuzUc0Faf,是爱你的玺啊,2025-06-02 00:03:58,啊啊啊，德克萨斯我爱你啊啊啊啊啊，要赶不上了，草草画一半，生日快乐，下次我一定要提前画完。。。还有一张我姐画的明日方舟德克萨斯#啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊# ,1,0,0,中国,山西,吕梁,致力于画OC与同人的摸鱼学生党，本人超级 懒。。 是个什么圈都能混的闲鱼（平时想画什么就画什么） 啊啊可以找我画无偿（懦弱）,21,3,女,https://weibo.com/u/7998863875,https://m.weibo.cn/detail/PuzUc0Faf,PuzUc0Faf,0.9999999999997979
5172878482080714,PuzTW8JhU,倒三角Nabla,2025-06-02 00:03:20,明日方舟加油站 推推精干通行证，烫热有余，鹿有包尾 ,0,0,0,中国,江苏,,那又如何？反正什么事也干不好,310,58,女,https://weibo.com/u/5026902585,https://m.weibo.cn/detail/PuzTW8JhU,PuzTW8JhU,0.29922848025322235
5172877994230775,PuzT9hKCj,还没醒怎么办,2025-06-02 00:01:23,明日方舟  为什么有的干员第二天赋加强是在最后一潜有的是在倒数第二潜 ,0,0,0,中国,黑龙江,哈尔滨,夏天还会到来吗,645,113,男,https://weibo.com/u/6983447694,https://m.weibo.cn/detail/PuzT9hKCj,PuzT9hKCj,0.9980066113442422
