微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id
6652018095.0,,青丘小仙-,2024-09-29 20:15:30,#疑似前女友曝kid出轨家暴#啊啊啊啊？又发生了啥？我的天哪出轨家暴还是一个循环性问题 ,0.0,0.0,19.0,中国,安徽,,演员杨幂,1391.0,2.3万,m,https://m.weibo.cn/u/6652018095?,https://m.weibo.cn/detail/Ozga7z1OT,Ozga7z1OT
2505838100.0,,张海露Eric,2024-09-30 22:02:18,我应该是全网 Diary of a Wimpy Kid 最认真的成人读者。   目前出版了 18 本，每一本我都一字一句读过、写过，其中几本还做成了英语口语课程，一句一句模仿书中的朗读。每一本我都可以从中整理 100 个语言点，对自己时复习和学习，对读者来说是分享，读过 10 多本读过，不知不觉就学习了上千个地道的英 ...全文,21.0,6.0,62.0,泰国,泰国,,I’m sporadically rude.,54.0,27.9万,m,https://m.weibo.cn/u/2505838100?,https://m.weibo.cn/detail/OzqhYijp7,OzqhYijp7
7869811617.0,,钻石们的恋爱头脑战,2024-09-30 22:23:52,花园口：名侦探……你还好吗 花园口：我听到了……很痛吧…… 花园口：要不要帮忙联系小小姐和博士？ 罐头新：别操心了 kid 罐头新：你管好你自己的人生吧 罐头新：你不是也有自己的事情吗 花园口：现在就是在管我的人生 ,0.0,8.0,45.0,中国,北京,北京,ks产品测丨男的别来丨拆逆棍丨投稿看置顶,15.0,2546,m,https://m.weibo.cn/u/7869811617?,https://m.weibo.cn/detail/OzqqJ4dGI,OzqqJ4dGI
3535395383.0,,熙墨澹雅,2024-09-30 11:47:29,kid关于双相情感障碍的脱口秀，太好笑了，直戳心窝。 熙墨澹雅的微博视频 ,5.0,2.0,43.0,中国,上海,上海,于无声处听惊雷，于无色中见繁花。,52.0,37.8万,f,https://m.weibo.cn/u/3535395383?,https://m.weibo.cn/detail/OzmgpFwUI,OzmgpFwUI
7819800760.0,,戏精林克,2024-09-29 21:02:00,#疑似前女友曝kid出轨家暴#连续两天有瓜，🐧的脱口秀和Ta的朋友们今年刚复岀… ,1.0,10.0,41.0,中国,广东,广州,待播剧毒奶，云合每日估算，发发游戏，吃吃瓜，做做图。,533.0,18.2万,m,https://m.weibo.cn/u/7819800760?,https://m.weibo.cn/detail/Ozgt06jSA,Ozgt06jSA
7906820605.0,,谁把鱼放我礼帽里了,2024-09-30 09:44:37,557【关于KID Mark】 第一次出现自画像是魔快第一卷机器人斗那章kk给警部留了封信，紧接着就是忙碌假期第一次盗取失败给警部的留言，再然后到了第二卷撞球高手kk发了预告函，但是有听说这一章是原本的第二话来着。终于在第三卷蓝色生日（1993/8/27），kid小图标（非预告函）出现与现在的相差无几。下一 ...全文,7.0,2.0,36.0,中国,香港,,模块四小黑/羽/快/斗/怪/盗/基/德私测，♀厕🈲♂，投稿详情请搜[置顶]。,12.0,1423,f,https://m.weibo.cn/u/7906820605?,https://m.weibo.cn/detail/OzlsxDOBM,OzlsxDOBM
7850826867.0,,Nebula_星云0325,2024-09-29 23:20:31,【240929】日推更新🧭相关  Stra/y Kid/s  KING GIANT ,3.0,0.0,18.0,中国,福建,,🧭stay not stray｜专注拌匀❤️🕊,6.0,1.9万,f,https://m.weibo.cn/u/7850826867?,https://m.weibo.cn/detail/OzhndC0oC,OzhndC0oC
5389720333.0,,软柿子扒星,2024-09-29 15:04:11,#疑似前女友曝kid出轨家暴#晓卉：我就输给这样的PPT人？？？此时此刻小卉牙都咬碎了！ ,5.0,34.0,533.0,中国,吉林,吉林市,娱乐点评人。商务：shinyzii,857.0,805万,m,https://m.weibo.cn/u/5389720333?,https://m.weibo.cn/detail/Oze7L4F4C,Oze7L4F4C
5393035055.0,,落日放映室,2024-09-29 15:34:00,他不是说他双相情感障碍吗？？小佳还调侃比心理他健康，以后姑娘们避开就是了#疑似前女友曝kid出轨家暴##脱口秀和Ta的朋友们# 落日放映室的微博视频 ,7.0,35.0,987.0,中国,广东,深圳,内容来源网络 侵删,172.0,13万,f,https://m.weibo.cn/u/5393035055?,https://m.weibo.cn/detail/OzejRqoRD,OzejRqoRD
7690478167.0,,Creamy蕉,2024-09-29 16:56:13,#疑似前女友曝kid出轨家暴# 说句难听的，这行业。。。。。 算了，不说了。 ,9.0,47.0,400.0,中国,上海,上海,Pro-China🇨🇳。纯个人键政号，不仅仅为了玩，也为了做有意义的事。网名最早随便起的，后来也一直懒得改了。你不喜欢，我不在乎。,350.0,15.1万,m,https://m.weibo.cn/u/7690478167?,https://m.weibo.cn/detail/OzeResvfW,OzeResvfW
1727233074.0,OzuZhrGTH,Young_Gilpin,2024-10-01 10:00:00,拥有最多钻石单曲的说唱歌手：  • Drake (7) • Eminem (6) • Cardi B (3) • Jay Z (3) • Travis Scott (2) • Lil Wayne (2) • Future (2) • Nicki Minaj (2) • Tupac (2) • Kanye West (2) • XXXTentacion (2) • Macklemore (2) • Kid Cudi (2) ,0.0,8.0,14.0,中国,广东,揭阳,Hip Hop 文化 / 音乐 / 视频,599.0,109.3万,m,https://m.weibo.cn/u/1727233074?,https://m.weibo.cn/detail/OzuZhrGTH,
