微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数,国家,省份,城市,用户简介,用户关注数,粉丝数,性别,主页,url,uni_id,情感倾向
,,,,,,,,,,,,,,,,https://m.weibo.cn/detail/N/A,,0.5
1687379911.0,,马孔多作坊,2024-09-30 20:23:14,可能是最近总看李诞的小卖部直播吧，又刷到黑尾酱去英国读书的视频，感慨她真的好漂亮，于是在想俩人为什么be，翻到某篇文里写李诞喜欢黑尾酱的是她“幼稚天真，敏感忧伤”，想起他的两本书里关于典典的描述，李诞那句“我血是蓝色的啊朋友们”。两个敏感的人相爱。我天，破碎的少女心为之一动。 ,2.0,1.0,77.0,中国,湖北,武汉,天蝎座叛逆男孩,527.0,2466,f,https://m.weibo.cn/u/1687379911?,https://m.weibo.cn/detail/OzpDL3m54,OzpDL3m54,0.9999997436280026
1642591402.0,Ozxxs7uRi,新浪娱乐,2024-10-01 16:29:40,#徐志胜回应脱口秀大叫驴#  哈哈#没有人比徐志胜更懂嗓门大的痛#！他细数嗓门大的落寞时刻，“别人是春风化雨，我是春雷”，和司机聊天却被系统检测为吵架现场回应@李诞 评他“大叫驴脱口秀”演化成了“脱口秀大叫驴”，“前面那个，是在形容我的艺术风格，后面那个，是在剥夺我做人的资格！” ...全文,3.0,2.0,49.0,中国,北京,北京,新浪娱乐,3477.0,4315万,f,https://m.weibo.cn/u/1642591402?,https://m.weibo.cn/detail/Ozxxs7uRi,,0.9941834493948213
1573919467.0,OzomfwACK,星冰乐kiki,2024-09-30 17:07:21,李诞直播讲述股市大师段永平对自己的感触……祝大家找到热爱，并不痛苦的做下去。一直都觉得，世界上最幸运的事就是能找到自己热爱的事情，并努力下去，每一次的成就感都让自己很快乐。#A股疯涨普通人是否要入局# ,82.0,6.0,318.0,中国,河南,郑州,我频繁的记录生活，因为一切都值得,238.0,15.4万,m,https://m.weibo.cn/u/1573919467?,https://m.weibo.cn/detail/OzomfwACK,,0.9999999999496505
5861117661.0,,老猫笔记,2024-09-30 13:23:56,李诞说呼兰他A股大赚，两眼放光 老猫笔记的微博视频 ,3.0,4.0,35.0,中国,辽宁,大连,gzh：猫财神,174.0,12.3万,f,https://m.weibo.cn/u/5861117661?,https://m.weibo.cn/detail/OzmTzjGEn,OzmTzjGEn,0.2801467477900125
2303129363.0,Ozgs30thK,你别说还真是这样,2024-09-29 20:59:39,其实我觉得最好的脱口秀领笑员阵容是李诞、杨笠、鲁豫、大张伟，会把关会点评会聊天会鼓励支持。现在这几个节目就真的就跟评委一样，高高在上点评分析段子结构、价值分析、观众喜好什么… 还有罗永浩，看到好多repo都是在吐槽他爹味 ,22.0,34.0,873.0,中国,广东,深圳,啊半，想发啥就发啥，但一些并不代表个人观点,911.0,95.9万,m,https://m.weibo.cn/u/2303129363?,https://m.weibo.cn/detail/Ozgs30thK,,0.9999701568982959
1639498782.0,,南方周末,2024-09-28 13:58:20,#李诞说外行不能理解贫嘴和幽默#【李诞：贫嘴，我是绝对不要的；幽默是少言，但准确的】李诞在《文学馆之夜》里谈到：“贫嘴和幽默的分别，是外行特别不能理解的。幽默是少言的，他进来的话，他一直在那贫嘴，我是绝对不要的，他虽然看起来很热闹很好笑，是绝对不要的。就是不说的人，就那么几个字很准 ...全文,11.0,14.0,53.0,中国,广东,广州,中国深具公信力和发行量最大的新闻周报 新闻热线：020-87361587,275.0,1859.9万,m,https://m.weibo.cn/u/1639498782?,https://m.weibo.cn/detail/Oz4gxd68O,Oz4gxd68O,0.47345833730340525
,,,,,,,,,,,,,,,,https://m.weibo.cn/detail/N/A,,0.5
3252784800.0,OzcVR58b0,李诞工作室,2024-09-29 12:02:06,李诞 朋友们事情没有你想的那么糟❗️这位姐妹说自己和男友感情稳定，却隐隐觉得危机四伏、波涛汹涌。@李诞 说不要给危机以关注，就不会有危机，不要给波涛以关注，它就不会汹涌。不要为了将来不一定发生的不好，惩罚现在的好，共勉！ 李诞工作室的微博视频 ,2.0,6.0,44.0,中国,北京,北京,编剧、作家李诞工作室,66.0,14.3万,m,https://m.weibo.cn/u/3252784800?,https://m.weibo.cn/detail/OzcVR58b0,,0.999998662072164
1380420394.0,,一千多岁大鲤鱼精,2024-09-29 01:00:11,李诞以前的东西我没看过也不了解，印象中好像他也引起过一些争议，但是看这人直播，说的东西还挺实在的。  比如说一个女性问婚姻，就说自己原来在国外留学，回国相亲找了个老公，在二线城市，老公答应以后跟她出国生活，但是意愿越来越不强，英语也学不下去了，自己留在这个地方找工作也只有几千块钱的 ...全文,2.0,2.0,13.0,中国,河北,石家庄,,521.0,7万,f,https://m.weibo.cn/u/1380420394?,https://m.weibo.cn/detail/Oz8Bb6wRZ,Oz8Bb6wRZ,0.6870820711771846
