微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
1000236164.0,,https://m.weibo.cn/detail/OzzdqdFRD,,2024-10-01 20:45:49,中国,天津,OzzdqdFRD,灰原哀SherryT_V,,,0.5,,2024-10-01 21:30:27,,,天津,,,
7711618288.0,,https://m.weibo.cn/detail/OzzkHsLJd,https://m.weibo.cn/u/6636765688?,2024-10-01 21:03:45,日本,,OzzkHsLJd,肉肉post,名侦探柯南周边 出主兰盘少量新兰纸片 共355半包非偏 走pt但尾火需提确 另开链接放单号 可定尾 定金30% ,f,0.2347799533544751,0.0,2024-10-01 21:30:27,513.0,镇魂/看主页默认新兰永恒 男主解女主解擦擦闭嘴你家正主超爱兰,日本,78,0.0,0.0
7084741095.0,,https://m.weibo.cn/detail/Ozz3E4VVy,https://m.weibo.cn/u/7338767320?,2024-10-01 20:21:43,中国,,Ozz3E4VVy,-樹楠椿下_,名侦探柯南周边  出出赤井秀一吧唧 🥬多收🍞 ,f,0.9877102958145864,0.0,2024-10-01 21:30:27,443.0,,青海,29,3.0,0.0
7218935462.0,,https://m.weibo.cn/detail/OzyYaxvgK,https://m.weibo.cn/u/5637592830?,2024-10-01 20:08:15,中国,福州,OzyYaxvgK,柯研所,名侦探柯南周边  出/换 ,m,0.936969435245518,0.0,2024-10-01 21:30:27,399.0,赤安宝贝💒,福建,373,0.0,0.0
7291410882.0,,https://m.weibo.cn/detail/OzyPwk52T,https://m.weibo.cn/u/7775566969?,2024-10-01 19:46:56,中国,天津,OzyPwk52T,天津画饼大师_,玩辣大侦探，你坠入爱河辣！ #名侦探柯南##工藤新一##毛利兰##新兰#新兰 ,m,0.9999730258988648,65.0,2024-10-01 21:30:27,91.0,我是莫子 职业是蹲五年大牢业余画点破画 混乱邪恶杂食人 bg纯爱战士！！！,天津,4591,20.0,10.0
7311202912.0,OztBjEbxB,https://m.weibo.cn/detail/OztBjEbxB,https://m.weibo.cn/u/7399514400?,2024-10-01 06:28:13,中国,深圳,,钩钩人,名侦探柯南周边  换其他兰谷 ,f,0.9929938749499844,0.0,2024-10-01 21:30:27,306.0,因为收出物互关的宝宝隔一段时间会移出粉丝哦,广东,30,0.0,0.0
7338767320.0,,https://m.weibo.cn/detail/OzzdY0trP,https://m.weibo.cn/u/5758293620?,2024-10-01 20:47:09,中国,临沂,OzzdY0trP,协奏曲7717,“如果让你哭泣的话，我会很伤脑筋的。”  ——《名侦探柯南》第10话 ,f,0.9999147383296944,3.0,2024-10-01 21:30:27,149.0,天天看动漫,山东,12.9万,0.0,0.0
7372836436.0,,https://m.weibo.cn/detail/Ozzf0pjUy,https://m.weibo.cn/u/7748322260?,2024-10-01 20:49:43,中国,潮州,Ozzf0pjUy,可爱的名侦探,名侦探柯南周边  韩国M1快闪 有人拼吗！ 明天去 已找好代！ 吧唧30/个 （不含车马） 大家一起均摊车马 ！ ,f,0.7263810468426309,0.0,2024-10-01 21:30:27,333.0,出/收物～人很好 有什么大胆问,广东,149,0.0,0.0
7399514400.0,,https://m.weibo.cn/detail/OzzakaC8f,https://m.weibo.cn/u/7733124537?,2024-10-01 20:38:11,中国,邯郸,OzzakaC8f,烤了一辈子玉米的玉米叔,世界果然是属于厚脸皮或者坚持不懈的人的 我今天去福尔摩斯博物馆 柯南的活动已经结束了 我问了两个工作人员都说结束了 我坚持问到收银台那儿 她就送了我一张明信片 ,f,0.9990198604783532,2.0,2024-10-01 21:30:27,369.0,喜欢胡言乱语,河北,57,0.0,0.0
7455610975.0,,https://m.weibo.cn/detail/OzyR7oXLy,https://m.weibo.cn/u/7892518684?,2024-10-01 19:50:52,中国,泰安,OzyR7oXLy,Odwbimd_等鸡总新书完结版,名侦探柯南周边 求出tv版啊啊啊啊啊啊特别想吃还没凑齐！！妈咪有的尽快联系我！ ,m,0.9431920308160991,0.0,2024-10-01 21:30:27,160.0,删删改改晦涩的瘾,山东,148,0.0,0.0
