微博id,uni_id,url,主页,发布时间,国家,城市,微博bid,微博作者,微博内容,性别,情感倾向,点赞数,爬取时间,用户关注数,用户简介,省份,粉丝数,评论数,转发数
1728875812.0,P80Rx5qct,https://m.weibo.cn/detail/P80Rx5qct,https://m.weibo.cn/u/2719690694?,2025-01-04 14:24:35,中国,,P80Rx5qct,海尔,王冰冰一张相对比较清晰的吉林春晚录制返图，来自小红📖用户 大耳朵仔 图②单人版 可做壁纸 ,m,0.0959134466575006,194.0,2025-01-06 00:52:09,132.0,在这里，你将认识一个不一样的海尔！,山东,6.7万,56.0,12.0
7884341394.0,,https://m.weibo.cn/detail/P8egvizPZ,https://m.weibo.cn/u/7884341394?,2025-01-06 00:31:49,中国,,P8egvizPZ,再见冰与鱼之歌,第五章 陌生  今天是游泳队出门充电日，这阳光蓝天过于给力，以致于爱笑的眼睛都快睁不开了。 “惠姐，看我这张拍的怎么样？” “不错，不错，给我也拍一张。” 咔嚓-- “来，让我看看，咦，等等，你的相册怎么把这张照片置顶了……” 甲鱼赶忙说到：“你有没有想过，我们可能被困在了2022年。” 看着 ...全文,m,0.9799236935444678,0.0,2025-01-06 00:44:37,25.0,,广西,70,0.0,0.0
5272589514.0,,https://m.weibo.cn/detail/P8dZUEPLh,https://m.weibo.cn/u/5272589514?,2025-01-05 23:50:57,中国,北京,P8dZUEPLh,伊芙布德甘市糖葫芦,超开心，在阳光明媚狂风大作的这天，我的菊陪我到故宫圆了还珠格格梦 路上还被一个旅行团的几位国外友人排队轮流跟我们要了合照，夸我们beautiful，hhh自信心瞬间爆棚了，跟着五矿王冰冰出门就是沾光啊 ,f,0.9999254853565264,0.0,2025-01-06 00:33:33,576.0,Life is fantastic~！,北京,636,0.0,0.0
6041830248.0,,https://m.weibo.cn/detail/P8dTaukEx,https://m.weibo.cn/u/6041830248?,2025-01-05 23:34:20,中国,北京,P8dTaukEx,今天综艺笑料,小尼说发出来要加tag 央视 尼格买提 王耀庆 王冰冰 此生要去的100个地方   改写后的文本：小尼提到发布时要加上标签 #央视# #尼格买提# #王耀庆# 王冰冰 此生要去的100个地方 今天综艺笑料的微博视频 ,m,0.7975200039736294,0.0,2025-01-06 00:33:33,307.0,为了寻找到王子，我要吻遍所有的青蛙。,北京,35.2万,0.0,0.0
6293328029.0,,https://m.weibo.cn/detail/P8e8LloN3,https://m.weibo.cn/u/6293328029?,2025-01-06 00:12:45,中国,北京,P8e8LloN3,三小只的快乐老家,#说走就走# #新年送你一套小红花# 定格美好瞬间，启航全新旅程。锁定央视频，与总台记者王冰冰一同开启新年之旅，让心愿照亮前行的道路。 三小只的快乐老家的微博视频 ,m,0.9997362895760148,0.0,2025-01-06 00:33:33,150.0,只为凯源玺，只为TFBOYS！ 不接广告，勿扰！,北京,15.6万,0.0,0.0
6296575654.0,P7rxh3xyQ,https://m.weibo.cn/detail/P7rxh3xyQ,https://m.weibo.cn/u/6296575654?,2024-12-31 20:28:32,中国,温州,,哎哟哥哥在三年二班,王冰冰#和2024好好告个别#  冰冰谢谢你，二五年继续 ,m,0.004185570353731,95.0,2025-01-06 00:33:33,131.0,行到水穷处，坐看云起时,浙江,2225,120.0,10.0
6341534190.0,P8dbsixEu,https://m.weibo.cn/detail/P8dbsixEu,https://m.weibo.cn/u/6341534190?,2025-01-05 21:46:38,中国,西安,,龙首原上望长安,王冰冰  大家晚上好 截修·《说走就走·哈尔滨 | 冰天雪地任逍遥》 横屏5120×2880，竖屏2880×5120 冰冰就是冰天雪地中的暖宝宝 （大家记得加载原图） ,m,0.1924642712691895,33.0,2025-01-06 00:33:33,489.0,别取关，换了个昵称而已，会继续发冰冰截修,陕西,439,22.0,9.0
7629231377.0,,https://m.weibo.cn/detail/P8dLf8vi9,https://m.weibo.cn/u/7629231377?,2025-01-05 23:14:48,中国,大连,P8dLf8vi9,娱乐冲浪菌,🍉 王冰冰被退回来了，现在主持吉林卫节目了。 ,m,0.2691552863780196,0.0,2025-01-06 00:33:33,417.0,一定要身材好才行吗，胃口好爱吃🍉不行吗 商务私,辽宁,2165,0.0,0.0
7696990499.0,,https://m.weibo.cn/detail/P8dQp9yRr,https://m.weibo.cn/u/7696990499?,2025-01-05 23:27:31,中国,呼和浩特,P8dQp9yRr,小猪可约,有这种好事怎么不早点告诉我！任鲁豫、王冰冰化身人形许愿机，哈尔滨冰雪大世界桃花树成许愿池。 小猪可约的微博视频 ,f,0.9992308707634514,0.0,2025-01-06 00:33:33,889.0,不约，谢谢！视频来源网络，如有侵权请联系删除！,内蒙古,2.6万,0.0,0.0
1945087734.0,,https://m.weibo.cn/detail/P6LJFA4dQ,https://m.weibo.cn/u/6325535696?,2024-12-27 10:03:43,中国,北京,P6LJFA4dQ,央视少儿,王冰冰这也忒土了，，，怎么做到每一身都土的，，，我愿称之为嫩土装扮。。。。好爱穿背心 ,m,0.9034725718226346,19.0,2025-01-06 00:33:33,2062.0,接投稿，合作请私信,北京,60万,23.0,23.0
2207472983.0,,https://m.weibo.cn/detail/P8blTwFDh,https://m.weibo.cn/u/7756518066?,2025-01-05 17:06:52,中国,北京,P8blTwFDh,吃栟糖的喵酱,王冰冰 大家好，我是新人请问一下发帖需要注意什么？ ,f,0.0361099615527903,8.0,2025-01-06 00:33:33,63.0,欲买桂花同载酒，终不似，少年游!,北京,71,20.0,0.0
2719690694.0,,https://m.weibo.cn/detail/P7SPEbUJt,https://m.weibo.cn/u/6216754384?,2025-01-03 17:57:58,中国,南京,P7SPEbUJt,吃花蜜的喵酱,感觉听完心情都舒畅了不少。 #许魏洲# #王冰冰# #央视网络春晚# 综艺大杂烩的微博视频 ,f,0.0062592268263564,3.0,2025-01-06 00:33:33,149.0,综艺安利专业户 不接广告，勿扰！,江苏,37.8万,1.0,0.0
1799906660.0,,https://m.weibo.cn/detail/P7STvgaoo,https://m.weibo.cn/u/6293328029?,2025-01-03 18:07:28,中国,温州,P7STvgaoo,吻奶珊的喵酱,#说走就走# #新年送你一套小红花# 定格美好瞬间，启航全新旅程。锁定央视频，与总台记者王冰冰一同开启新年之旅，让心愿照亮前行的道路。 三小只的快乐老家的微博视频 ,m,0.9997362895760148,0.0,2025-01-06 00:33:33,150.0,只为凯源玺，只为TFBOYS！ 不接广告，勿扰！,浙江,15.6万,0.0,0.0
7498786940.0,,https://m.weibo.cn/detail/P87I0hDTU,https://m.weibo.cn/u/3844400647?,2025-01-05 07:50:21,中国,石家庄,P87I0hDTU,娱八囡,王冰冰  消息一则 日前，国家广播电视总局发布“微短剧陪你过大年”2025年微短剧春节档推荐片单，冰冰姐演的《今人不见古时玥》在这份名单中，名单显示，这部微短剧一共15集，每一集13分钟，预计1.31（正月初三）在腾讯视频上线！ PS：央视频应该也会播出的 ,m,0.0299431458646151,21.0,2025-01-05 20:39:56,94.0,普普通通打工人，勤勤恳恳打工魂,河北,696,17.0,7.0
7503663344.0,,https://m.weibo.cn/detail/P7Zzc5u9Y,https://m.weibo.cn/u/7906919558?,2025-01-04 11:06:39,中国,杭州,P7Zzc5u9Y,影视侃侃圈,王冰冰  网页链接 ,m,0.1935122148978063,4.0,2025-01-05 20:39:56,125.0,,浙江,20,4.0,1.0
7616440063.0,,https://m.weibo.cn/detail/P80WJyM7P,https://m.weibo.cn/u/7616440063?,2025-01-04 14:37:25,中国,,P80WJyM7P,熊熊乐宠,报告冰冰，今天快乐烤地瓜王冰冰 ,m,0.8496092145859543,10.0,2025-01-05 20:39:56,64.0,,福建,2,11.0,0.0
7685837601.0,,https://m.weibo.cn/detail/P7YLy70vV,https://m.weibo.cn/u/7051923132?,2025-01-04 09:04:21,中国,,P7YLy70vV,等雨停的杰,慕名看了下王冰冰在小红书的穿搭分享，感觉土土的。。。 ,m,0.2741630744063887,16.0,2025-01-05 20:39:56,744.0,我花开后百花杀🌸,湖南,32.5万,24.0,24.0
7734995295.0,,https://m.weibo.cn/detail/P8aIdac3t,https://m.weibo.cn/u/6325535696?,2025-01-05 15:29:06,中国,呼和浩特,P8aIdac3t,刚刚的萌宠,王冰冰这也忒土了，，，怎么做到每一身都土的，，，我愿称之为嫩土装扮。。。。好爱穿背心 ,m,0.9034725718226346,19.0,2025-01-05 20:39:56,2062.0,接投稿，合作请私信,内蒙古,60万,23.0,23.0
7748938571.0,,https://m.weibo.cn/detail/P8blvdsDa,https://m.weibo.cn/u/7756518066?,2025-01-05 17:05:54,中国,苏州,P8blvdsDa,梁山好烟,王冰冰 大家好，我是新人请问一下发帖需要注意什么？ ,f,0.0361099615527903,8.0,2025-01-05 20:39:56,63.0,欲买桂花同载酒，终不似，少年游!,江苏,71,20.0,0.0
7756518066.0,,https://m.weibo.cn/detail/P802E7ieQ,https://m.weibo.cn/u/3844400647?,2025-01-04 12:19:13,中国,广州,P802E7ieQ,小小乖乖下士,王冰冰  页面有啦，大家可以点预约，这样就不会错过了  本次活动邀请任鲁豫老师，冰冰姐，还邀请了歌手亚森，谭杰希，魏巡，短道速滑任子威作为嘉宾帮帮团，共同带领观众在冰天雪地欣赏美景，感受幸福“温度” ,m,0.9999910157127304,18.0,2025-01-05 20:39:56,94.0,普普通通打工人，勤勤恳恳打工魂,广东,696,8.0,2.0
